reporter,partner,Imported value in 2001,Imported value in 2002,Imported value in 2003
Sweden,Germany,11390976,12553413,16180587
Sweden,Denmark,5679507,6232996,7875014
Sweden,United Kingdom,5733361,5770254,6285730
Sweden,Finland,3660099,3720891,5197705
Sweden,Netherlands,4436745,4217891,5265525
Sweden,France,4326243,4374695,4922212
Sweden,Norway,4775790,4453659,5018241
Sweden,Belgium,2650552,2967751,3571603
Sweden,Italy,2262199,2443482,3014007
Sweden,United States of America,3541037,3153003,3223396
Sweden,Poland,964745,1308330,1913448
Sweden,China,931508,910015,1452933
Sweden,Japan,1386395,1420276,1653792
Sweden,Spain,1166922,1147705,1514450
Sweden,Russian Federation,1631678,1000763,931002
Sweden,Switzerland,956694,958246,1210460
Sweden,Ireland,1212744,1206646,1323240
Sweden,Hungary,301182,1483809,1397806
Sweden,Austria,756869,789938,999416
Sweden,Estonia,473329,539824,701578
Sweden,Czech Republic,326046,504202,554116
Sweden,"Hong Kong, China",658987,617612,679182
Sweden,"Korea, Republic of",396044,395242,546440
Sweden,Türkiye,214132,295847,457504
Sweden,Brazil,175215,183431,239800
Sweden,Lithuania,167817,229404,286827
Sweden,"Taipei, Chinese",368391,359882,367517
Sweden,Latvia,191497,240807,305384
Sweden,Portugal,364131,383305,423959
Sweden,Thailand,240197,228034,269059
Sweden,Canada,201557,182800,225802
Sweden,Slovakia,103972,123473,167993
Sweden,India,161246,162501,204630
Sweden,Malaysia,168924,155238,171984
Sweden,South Africa,74003,70224,109171
Sweden,Australia,110183,111439,144233
Sweden,Chile,84228,148190,114325
Sweden,Greece,98948,93259,140762
Sweden,Luxembourg,81028,95040,144319
Sweden,Slovenia,73391,92047,118259
Sweden,Bangladesh,75012,80746,115800
Sweden,Belarus,20329,27235,65376
Sweden,Romania,61425,65938,91277
Sweden,Indonesia,118081,127659,110397
Sweden,Israel,139931,104820,91518
Sweden,Croatia,27916,23065,45846
Sweden,Viet Nam,53244,62370,89971
Sweden,Singapore,79668,112890,78698
Sweden,Mexico,35526,43216,28441
Sweden,Costa Rica,45698,56136,71618
Sweden,Pakistan,,,62916
Sweden,Panama,30306,46119,49870
Sweden,Argentina,23201,41548,70212
Sweden,Bulgaria,26775,30668,37459
Sweden,New Zealand,22089,20650,28770
Sweden,Iceland,21411,23725,30625
Sweden,Jamaica,14211,21908,20970
Sweden,Colombia,32732,29721,26775
Sweden,Ukraine,19219,19500,20424
Sweden,Tunisia,13165,18445,22805
Sweden,Peru,10559,18693,26266
Sweden,Sri Lanka,16699,18299,19793
Sweden,Saudi Arabia,12162,8187,8941
Sweden,Serbia and Montenegro,14047,9354,
Sweden,"Macao, China",20771,17605,15851
Sweden,"Iran, Islamic Republic of",7478,10564,11433
Sweden,Kenya,8738,6153,8391
Sweden,Philippines,22190,18440,18270
Sweden,Uruguay,5520,7293,9707
Sweden,Malta,3326,5329,10448
Sweden,New Caledonia,7,1,103
Sweden,Cyprus,5790,5810,7016
Sweden,Faroe Islands,5746,7337,7188
Sweden,Cambodia,6688,9844,8320
Sweden,Bosnia and Herzegovina,,,4907
Sweden,Madagascar,6139,4596,1762
Sweden,Lebanon,3994,3972,4710
Sweden,Morocco,7261,5503,9368
Sweden,"Macedonia, North",2765,3595,5646
Sweden,Syrian Arab Republic,0,0,5204
Sweden,Kazakhstan,208,13263,727
Sweden,Honduras,3386,4215,4646
Sweden,Ethiopia,1232,1264,1968
Sweden,Mauritania,3529,2796,2811
Sweden,Guatemala,8624,5928,6397
Sweden,Nicaragua,1009,837,986
Sweden,"Venezuela, Bolivarian Republic of",112296,190284,11268
Sweden,Bahrain,429,460,489
Sweden,Albania,550,950,635
Sweden,Cuba,2089,965,2080
Sweden,Egypt,3155,2000,19558
Sweden,Sudan (before 2012),380,2367,671
Sweden,Benin,757,28,796
Sweden,Ecuador,2103,2033,1220
Sweden,El Salvador,269,295,460
Sweden,Dominican Republic,1179,13240,3336
Sweden,Mauritius,6509,4881,5229
Sweden,Oman,281,1504,406
Sweden,Jordan,158,152,294
Sweden,Papua New Guinea,0,4,482
Sweden,"Tanzania, United Republic of",139,179,1208
Sweden,"Bolivia, Plurinational State of",1271,378,352
Sweden,Andorra,177,172,371
Sweden,Côte d'Ivoire,408,600,839
Sweden,Zimbabwe,39,2650,456
Sweden,Kuwait,95,206,18
Sweden,Zambia,1796,874,346
Sweden,Ghana,501,,408
Sweden,"Moldova, Republic of",87,517,37
Sweden,Mozambique,13,117,76
Sweden,Kyrgyzstan,1662,41,255
Sweden,Barbados,635,401,2431
Sweden,Namibia,90,240,157
Sweden,Uganda,374,125,650
Sweden,Qatar,0,218,354
Sweden,Malawi,349,42,18
Sweden,Bahamas,27,67,1
Sweden,Yemen,,,
Sweden,Brunei Darussalam,27,78,45
Sweden,Saint Lucia,0,20,0
Sweden,Burkina Faso,202,103,9
Sweden,Paraguay,17,96,60
Sweden,French Polynesia,4,22,9
Sweden,Saint Vincent and the Grenadines,0,0,0
Sweden,Angola,,,
Sweden,Georgia,249,15,36
Sweden,Mali,0,20,20
Sweden,Algeria,11158,13736,13100
Sweden,Trinidad and Tobago,6143,43,1360
Sweden,Mongolia,14,,97
Sweden,Fiji,,135,27
Sweden,Botswana,34,175,177
Sweden,Cameroon,178,181,111
Sweden,Armenia,1,135,58
Sweden,Gabon,23,32,29
