reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Taiwan,China,13544859,16549683,20733250,23462252,25877295,20505295,29674922,35109073,36777357,40634145,46276868,45055573,40400323,43934720,48656780,55109309,60117346,78360583,81586754,68469035
Taiwan,Japan,42012040,43578163,44102734,44889148,46117644,36434430,52470976,50960357,46017248,41612716,39959020,36962037,39337034,40638392,42391676,43013040,44403796,54587373,52527961,42915304
Taiwan,United States of America,21585196,21614481,23023313,26358498,25279403,18432346,26049999,25929814,24336124,25470045,26670065,25826013,26033903,25735823,30479674,31204903,30219093,36837943,43712824,39776336
Taiwan,Singapore,8339299,9018077,9547732,9234404,9636644,8826896,12981846,14603664,14456193,15300516,16133629,14442257,14741164,16600489,16972084,16391207,18225849,23321801,25253344,20549266
Taiwan,"Korea, Republic of",9844213,10862932,12995658,13027109,11461972,9501115,14830499,18205965,14814856,15701955,15103475,12006814,12220700,14884953,20794216,15658130,16462952,24292826,26198240,20178766
Taiwan,"Hong Kong, China",6433115,6769351,7023639,7125188,7318993,7459698,9309598,11621624,10846166,10663460,10918108,8906271,10185130,12246780,11733116,11630002,13186477,19043355,20141531,17976722
Taiwan,Germany,5308088,5333426,5690276,6569570,7162790,5444145,8057183,8757159,7471026,7854773,9171519,8190716,8348888,8679474,9323399,8729005,9348268,11026687,11615672,10690793
Taiwan,Australia,3001660,4205237,4710207,4985958,6946794,5093460,7700729,9419509,7923937,6780792,6239794,4685508,5244945,6196472,6684396,6808883,5524154,9171362,12618365,10062803
Taiwan,Malaysia,4226946,3976060,4376855,4809342,5055314,4099965,6275233,7420962,7066283,6894803,7593962,6118015,5116198,5501292,8065739,8920160,8060211,9786118,11764723,9488919
Taiwan,Netherlands,2622513,2304259,2601724,3060649,2249364,1797055,3262710,3133744,3689482,4760420,3311842,3047509,3446394,3881756,5280410,8919164,7341176,11523722,11893028,8891748
Taiwan,Thailand,2597009,2693693,3388413,3323934,2695211,2250963,3230726,3871389,3420117,3371019,4012843,3469685,3333900,3974457,3897345,3980349,3753129,4588022,4656425,4718271
Taiwan,France,2034728,2593140,2234706,2273794,1867224,1417887,1823687,2620342,2460998,2197857,2127876,2076737,2260226,3130521,2580498,1961411,1945312,2203708,3048750,3048617
Taiwan,Italy,1157577,1202805,1374599,1276006,1292779,1149203,1325196,1559323,1248219,1343702,1479356,1376764,1466353,1684055,1682070,1619185,1659809,1911478,2660755,2473160
Taiwan,Belgium,602505,583004,610264,585072,608869,716807,891630,1186660,1055208,928792,872077,905077,782312,856760,961366,993419,1144586,1153573,1615803,2254807
Taiwan,United Kingdom,1748811,1719443,1677365,1880951,1564143,1182123,1623162,2082579,1708014,1865817,1795972,1772966,1536003,1515157,1751850,1869374,1680671,1839158,2014361,2185565
Taiwan,Switzerland,1212519,1132891,1189608,1328321,1667368,1223756,1476868,2039582,2163574,2093326,2047446,1979085,1897083,1904428,2109061,2074171,2527769,2673552,2647984,2161261
Taiwan,Brazil,812901,826875,759536,815861,1474218,960990,1737564,2301205,2341219,2306279,1687145,1574775,1445015,1834797,1126237,1533032,1264906,1366695,1422980,1999739
Taiwan,Canada,952849,1122048,1234988,1443445,1469536,970045,1250569,1763736,1465284,1462123,1263681,1141893,1197024,1306037,1543036,1537004,1332105,1952214,1982368,1481995
Taiwan,Chile,966089,1296968,1552856,1771229,1982087,1311729,2035774,2132203,1865058,1678878,1743287,1493880,1134382,1289834,1310263,1525743,1183359,1946776,1567165,1261767
Taiwan,South Africa,1367822,785440,591749,890893,1138775,822250,1055982,1199237,1037120,1144934,865045,579513,456742,878319,789005,385185,397188,784428,1200323,937525
Taiwan,New Zealand,466172,545299,497395,569079,535767,474939,608051,898791,670901,724924,840449,780198,758440,801861,831744,769074,847444,952006,1062040,925650
Taiwan,Austria,275882,350181,418848,363853,328199,295907,444881,468402,371268,433467,467456,483568,428689,427464,581282,712951,663805,924274,958505,823311
Taiwan,Spain,303154,368232,344991,421089,405094,405094,425251,507867,566353,646308,1353689,538481,533581,565279,550628,583374,724737,825135,795896,812028
Taiwan,Sweden,608922,495960,480283,457537,435283,332800,455979,571144,466627,498623,520612,442879,444876,481439,531785,511680,569716,678729,792110,777281
Taiwan,Denmark,191436,162842,201406,204232,234203,205809,229567,273671,245150,239799,358648,269623,322489,302836,273325,323273,379876,1105591,790045,746173
Taiwan,Ireland,441969,409570,365543,329052,330247,352922,228756,267060,166274,173091,194580,188081,239783,301713,377291,429060,533435,411246,531923,490195
Taiwan,Czech Republic,37562,51247,55819,73422,78798,59333,103539,153984,159303,150759,178558,205619,192872,235972,211617,244930,262189,291550,339194,369433
Taiwan,Norway,157699,127606,130891,214286,212261,198471,397110,392893,457753,602397,332756,289409,201675,205263,227756,211123,223880,334446,349388,340382
Taiwan,Peru,242591,297007,419557,392381,591601,276271,293258,365276,262435,212492,317937,269793,312571,258995,252532,199447,196936,268525,406681,333714
Taiwan,Poland,70002,75979,109090,117711,81880,147072,146625,193706,172130,157522,170132,142343,153761,173928,148710,159989,222228,167539,206494,232613
Taiwan,Paraguay,6805,5404,4630,17527,14849,3268,5226,32115,10561,7302,25239,20562,15391,39536,36710,73810,121486,158750,221870,224065
Taiwan,Hungary,63296,58205,55487,52924,61321,39339,81140,99797,91923,138625,147622,164733,174104,217396,176985,187272,191465,179545,335458,207310
Taiwan,Colombia,76780,89660,94172,65182,322030,27532,188087,110271,44583,40153,40537,58283,41406,91291,110281,73656,66508,86821,148429,205145
Taiwan,Türkiye,162542,77586,80030,94701,97448,129931,137051,163740,119462,119801,142781,157067,138819,204462,269068,256925,235903,253583,224948,195768
Taiwan,Finland,359847,254069,343444,496481,319626,300002,274004,240942,242014,250970,177564,177386,173968,193993,257079,249503,283956,354535,274500,193470
Taiwan,Portugal,22471,28509,15924,18329,22653,19030,33420,85975,33355,35031,36783,43425,144813,275055,283887,243771,241834,158411,176375,158824
Taiwan,Bulgaria,15899,18361,14594,15106,15581,16496,30539,29641,31314,31621,26320,28783,28386,36229,45964,31574,46693,45273,60325,158024
Taiwan,Slovakia,24307,29444,28376,34514,30381,37023,22444,36253,39533,29541,41820,43338,37895,36129,45216,32916,38170,84376,103062,152179
Taiwan,Argentina,81445,107724,83769,85684,74346,68141,221165,173825,307351,382983,145491,81586,81295,107198,102432,163908,187371,336716,437059,122216
Taiwan,Guatemala,1639,12362,12838,19622,19956,27081,43761,37199,52197,58875,60989,44861,73974,76711,54948,57659,65149,68003,112659,112242
Taiwan,Ecuador,4257,5066,5664,15238,21123,18303,15248,10717,6409,8354,6852,5704,9338,12150,6765,12890,16709,145480,93536,102457
Taiwan,Madagascar,400,688,347,400,404,360,412,447,159,94,6222,14925,21135,22681,44407,47127,13953,45967,82872,84642
Taiwan,Romania,38956,29834,10107,27536,28993,7323,13094,18252,28975,31133,42182,48785,45641,49843,51188,47667,47272,56893,57321,58656
Taiwan,Luxembourg,24449,25177,16360,19976,15633,17441,17299,26639,6686,13077,12040,25659,10507,0,17830,18161,43320,38706,43026,51770
Taiwan,Slovenia,15075,15699,12646,10562,19694,10568,19641,27564,17537,17066,16275,23476,25677,24322,28204,28451,28875,36100,30931,44629
Taiwan,Costa Rica,34771,83470,95522,84587,64017,37575,71604,91164,190501,78634,54315,18085,16852,14558,29785,26609,22108,36452,39995,41264
Taiwan,Greece,16940,23954,22927,13840,16233,11177,18999,21072,19775,20618,56053,78480,12976,20282,18398,20027,58364,26389,36480,38391
Taiwan,Lithuania,2460,2826,6661,8972,8272,4828,7260,8070,5953,10247,8581,10142,10437,14293,22988,21931,21643,25752,29211,28659
Taiwan,Iceland,16528,9033,2468,3753,6500,18070,16444,14055,13058,8200,8497,13622,24090,14161,20689,9978,6720,28959,22521,25691
Taiwan,Ukraine,212713,134532,98106,115453,27479,60115,80047,129178,91993,123022,85124,41458,54304,49212,68840,61216,43261,107120,32034,17917
Taiwan,Croatia,646,3183,2293,3230,906,5613,6720,2392,10698,4637,4982,7197,6492,4852,3011,6782,6279,13815,12075,12349
Taiwan,Latvia,2807,1976,1904,5611,3746,3741,12152,14573,6982,5185,3727,5221,5492,5912,9201,7987,10134,10715,13694,9863
Taiwan,El Salvador,1878,5836,6038,6168,8016,14761,14684,33355,7748,46953,15670,30015,36327,53383,28805,23681,27141,37493,7627,9778
Taiwan,Malta,1829,1009,518,2208,10234,8754,14796,14518,12195,21244,4282,5636,5945,7213,6471,9628,5586,4667,9524,8811
Taiwan,Estonia,5654,4853,7689,27333,8447,4349,9278,10292,9821,11040,11491,6380,5023,6715,9710,8546,28109,25414,25356,7578
Taiwan,Cyprus,909,853,1098,1356,1590,2680,2337,3414,3615,2971,3270,3173,5007,3659,4237,4022,3021,2954,3249,4992
Taiwan,Serbia,,,1235,371,747,141,337,613,548,472,562,710,1707,2090,2240,2938,782,2479,3566,4918
Taiwan,Belize,4,0,39,30,0,17,112,489,450,954,772,835,1147,1331,835,816,161,394,4411,2641
Taiwan,"Bolivia, Plurinational State of",149,553,590,969,332,221,619,1541,1462,3386,2450,735,1716,810,2515,2140,1001,2184,1938,1748
Taiwan,Bosnia and Herzegovina,14,10,18,41,5,27,67,65,305,217,225,161,229,253,392,441,296,222,243,1555
Taiwan,Cabo Verde,0,152,0,0,0,0,0,0,0,0,0,0,0,0,570,286,0,0,0,0
Taiwan,Uzbekistan,,,,,,,,,,,,,,339,1882,662,1011,1374,186,
Taiwan,Curaçao,,,,,,,,,,,,,,1240,2467,2553,2102,,,
Taiwan,"Congo, Democratic Republic of the",,,,,,,,,,,,1244,971,834,1684,482,741,726,812,
