reporter,partner,Exported value in 2001,Exported value in 2002,Exported value in 2003
Tajikistan,Norway,11110,55052,37394
Tajikistan,Russian Federation,129704,65986,70010
Tajikistan,Türkiye,13662,40696,56999
Tajikistan,Italy,22324,25497,51220
Tajikistan,Bulgaria,7152,19844,30220
Tajikistan,Hungary,40194,71775,80717
Tajikistan,Poland,19491,26945,20642
Tajikistan,Estonia,4828,10432,16212
Tajikistan,Bangladesh,0,596,9218
Tajikistan,Algeria,10784,17315,9365
Tajikistan,Czech Republic,10731,19706,15764
Tajikistan,Switzerland,1779,91,6663
Tajikistan,China,5452,5886,18008
Tajikistan,Netherlands,211,3070,1006
Tajikistan,Slovakia,6428,22114,25205
Tajikistan,Germany,8284,5390,6321
Tajikistan,France,12352,9529,13434
Tajikistan,Belgium,6661,6075,10811
Tajikistan,Ukraine,1556,2880,3966
Tajikistan,Japan,128,1821,6999
Tajikistan,United States of America,5219,1275,7701
Tajikistan,Austria,1538,5896,1341
Tajikistan,Greece,0,50,8375
Tajikistan,Croatia,456,198,3264
Tajikistan,Slovenia,567,2242,3933
Tajikistan,"Iran, Islamic Republic of",1215,3658,15171
Tajikistan,Belarus,1723,1550,1907
Tajikistan,"Korea, Republic of",6919,5974,5434
Tajikistan,India,1378,0,3096
Tajikistan,Romania,1254,673,755
Tajikistan,Viet Nam,1435,2383,1464
Tajikistan,Kazakhstan,2254,2993,7255
Tajikistan,Portugal,2462,3489,3728
Tajikistan,Pakistan,,,76
Tajikistan,Spain,2339,1895,2479
Tajikistan,Serbia and Montenegro,475,66,
Tajikistan,Lithuania,1736,741,1826
Tajikistan,Kyrgyzstan,1502,3483,3069
Tajikistan,Morocco,908,1040,358
Tajikistan,United Kingdom,4485,5780,4851
Tajikistan,Latvia,589,362,504
Tajikistan,"Macedonia, North",0,59,1192
Tajikistan,Thailand,1415,369,161
Tajikistan,Paraguay,391,229,372
Tajikistan,"Taipei, Chinese",318,1,1704
Tajikistan,Bosnia and Herzegovina,,,3
Tajikistan,Indonesia,0,0,361
Tajikistan,Mexico,11,21,33
Tajikistan,Denmark,138,525,302
Tajikistan,Saudi Arabia,375,100,2445
Tajikistan,Georgia,122,2,27
Tajikistan,Yemen,,,
Tajikistan,Brazil,0,5,0
Tajikistan,Canada,4,241,29
Tajikistan,Tunisia,37,74,183
Tajikistan,Lebanon,50,37,50
Tajikistan,Egypt,43,25,3
Tajikistan,Luxembourg,0,0,37
Tajikistan,Honduras,0,0,0
Tajikistan,Sri Lanka,11,37,51
Tajikistan,Ireland,0,3,13
Tajikistan,Ecuador,0,0,0
Tajikistan,Oman,2,326,0
Tajikistan,"Moldova, Republic of",2,0,14
Tajikistan,Australia,4,3,105
Tajikistan,Azerbaijan,858,423,984
Tajikistan,Kuwait,0,8,12
Tajikistan,Finland,0,0,0
Tajikistan,South Africa,30,3,4
Tajikistan,Sweden,123,1,1
Tajikistan,Argentina,0,0,0
Tajikistan,Costa Rica,0,0,0
Tajikistan,Faroe Islands,1,2,5
Tajikistan,"Hong Kong, China",0,0,0
Tajikistan,Malaysia,31,12,51
Tajikistan,Papua New Guinea,0,0,21
Tajikistan,Fiji,,1,0
Tajikistan,Mongolia,10,,0
Tajikistan,Albania,0,0,7
Tajikistan,Andorra,1,0,1
Tajikistan,Bahrain,0,250,133
Tajikistan,Barbados,0,1,0
Tajikistan,"Bolivia, Plurinational State of",0,0,41
Tajikistan,Botswana,0,11,0
Tajikistan,Chile,0,1,1
Tajikistan,Colombia,0,1,0
Tajikistan,Cyprus,0,147,0
Tajikistan,El Salvador,21,23,0
Tajikistan,Greenland,0,0,1
Tajikistan,Israel,0,225,0
Tajikistan,Jordan,2,8,0
Tajikistan,New Zealand,1,0,3
Tajikistan,Qatar,0,13,0
Tajikistan,Singapore,44,0,0
Tajikistan,"Venezuela, Bolivarian Republic of",0,11,0
