reporter,partner,Imported value in 2001,Imported value in 2002,Imported value in 2003
Togo,China,108752,138472,262540
Togo,India,44760,70747,53023
Togo,Burkina Faso,2533,6812,153818
Togo,France,97432,159699,177674
Togo,Côte d'Ivoire,85248,81120,121411
Togo,Malaysia,4777,16238,35238
Togo,Germany,34497,41773,52488
Togo,Italy,44410,42649,58341
Togo,United Kingdom,49166,38778,62184
Togo,Thailand,25141,15835,20877
Togo,Belgium,29265,32335,50493
Togo,Netherlands,22855,51662,79523
Togo,Indonesia,24195,28023,20524
Togo,"Hong Kong, China",57158,45912,33638
Togo,United States of America,16285,13790,15239
Togo,"Korea, Republic of",40755,15781,18531
Togo,Spain,12924,18594,16066
Togo,Senegal,6331,8579,14966
Togo,Japan,21648,19417,19822
Togo,Brazil,1136,3104,7085
Togo,Benin,2457,4150,12396
Togo,Qatar,0,0,152
Togo,Russian Federation,3937,2805,8069
Togo,Switzerland,8648,11699,12602
Togo,South Africa,9105,4621,20378
Togo,Ukraine,5305,10062,8053
Togo,Morocco,2151,5227,9938
Togo,Pakistan,,,6418
Togo,Türkiye,1504,8112,2499
Togo,Cameroon,3299,3389,5149
Togo,Viet Nam,2976,1375,1450
Togo,"Taipei, Chinese",3666,3071,4105
Togo,Greece,353,683,240
Togo,Canada,14673,8876,7202
Togo,Mali,64,570,4496
Togo,Ireland,1087,1889,3784
Togo,Ghana,52867,,30034
Togo,Bulgaria,27,31,202
Togo,Denmark,1673,2557,3881
Togo,Tunisia,1865,2014,1267
Togo,Egypt,199,1352,1810
Togo,Argentina,541,281,1287
Togo,Mauritius,102,111,118
Togo,Saudi Arabia,0,107,777
Togo,Sweden,339,655,913
Togo,Lebanon,857,796,1421
Togo,Austria,1016,2058,2244
Togo,Poland,2127,976,568
Togo,Czech Republic,389,1219,761
Togo,Niger,129,1062,744
Togo,Gabon,315,297,1060
Togo,Colombia,44,23,66
Togo,"Iran, Islamic Republic of",548,727,97
Togo,Portugal,640,564,936
Togo,Kazakhstan,0,0,0
Togo,Malta,0,0,247
Togo,Norway,280,754,814
Togo,Israel,36,172,308
Togo,Luxembourg,113,130,219
Togo,Finland,91,318,337
Togo,Romania,291,380,2437
Togo,Hungary,25,278,32
Togo,Lithuania,60,35,288
Togo,Bangladesh,123,48,194
Togo,Australia,449,905,141
Togo,Kuwait,0,49,15
Togo,Sri Lanka,498,210,365
Togo,Mozambique,0,0,0
Togo,Peru,12,15,87
Togo,Chile,527,408,254
Togo,Mauritania,300,575,149
Togo,Uruguay,0,0,0
Togo,Bosnia and Herzegovina,,,0
Togo,Kenya,126,16,105
Togo,Slovenia,36,42,0
Togo,Serbia and Montenegro,0,366,
Togo,New Zealand,0,20,299
Togo,Algeria,3,0,1
Togo,Slovakia,99,0,298
Togo,Jordan,0,0,0
Togo,Belize,0,0,0
Togo,Cyprus,0,0,0
Togo,Madagascar,4,0,0
Togo,Estonia,2309,242,4
Togo,Cuba,0,5685,0
Togo,"Tanzania, United Republic of",0,0,0
Togo,Angola,,,
Togo,Fiji,,11,1
Togo,Zimbabwe,0,24,18
Togo,Bahrain,0,0,129
Togo,Ecuador,0,0,0
Togo,Philippines,1,7,187
Togo,Belarus,275,365,0
Togo,Guinea,32,6,
Togo,Paraguay,0,0,0
Togo,Guyana,0,231,3
Togo,Latvia,0,5,1
Togo,Rwanda,3,18,0
Togo,Barbados,0,4,0
Togo,Burundi,0,0,49
Togo,Cambodia,60,61,0
Togo,Comoros,0,18,0
Togo,Croatia,24,0,0
Togo,Ethiopia,0,0,0
Togo,Gambia,0,0,0
Togo,Guatemala,0,0,37
Togo,Malawi,1,0,0
Togo,Mexico,70,6,168
Togo,Oman,110,0,0
Togo,Namibia,16,0,0
Togo,Papua New Guinea,0,2,0
Togo,Singapore,5166,7231,0
Togo,Sudan (before 2012),0,0,5691
Togo,Syrian Arab Republic,0,0,280
Togo,Uganda,0,0,9
Togo,Samoa,0,14,1
Togo,Zambia,2,0,0
Togo,Central African Republic,194,113,14
Togo,Lesotho,4,0,0
Togo,Nigeria,43,371055,3999
