reporter,partner,Exported value in 2001,Exported value in 2002,Exported value in 2003
Trinidad and Tobago,United States of America,2380003,2667921,4722917
Trinidad and Tobago,Jamaica,357952,292403,396325
Trinidad and Tobago,France,191273,221567,255350
Trinidad and Tobago,Mexico,33786,72391,78562
Trinidad and Tobago,Guyana,88794,88704,149073
Trinidad and Tobago,United Kingdom,92115,101174,157597
Trinidad and Tobago,Suriname,76843,,
Trinidad and Tobago,Canada,126049,106266,166565
Trinidad and Tobago,Barbados,174237,116165,236440
Trinidad and Tobago,Honduras,41173,76992,56996
Trinidad and Tobago,Saint Lucia,43641,47696,54166
Trinidad and Tobago,Brazil,14449,27940,46989
Trinidad and Tobago,Saint Vincent and the Grenadines,37104,36570,30494
Trinidad and Tobago,Grenada,41109,41594,47526
Trinidad and Tobago,Colombia,33975,24688,33576
Trinidad and Tobago,Germany,24489,10339,12743
Trinidad and Tobago,Spain,47389,64260,39380
Trinidad and Tobago,Dominica,22854,20404,23199
Trinidad and Tobago,Cuba,23729,40384,34902
Trinidad and Tobago,Saint Kitts and Nevis,23389,18038,26552
Trinidad and Tobago,Qatar,0,0,4760
Trinidad and Tobago,Dominican Republic,45810,17436,31879
Trinidad and Tobago,Belgium,24639,16195,22531
Trinidad and Tobago,Panama,1888,38551,19549
Trinidad and Tobago,Costa Rica,9640,12865,15024
Trinidad and Tobago,Indonesia,269,2652,7318
Trinidad and Tobago,Nicaragua,14110,15791,19948
Trinidad and Tobago,Japan,8498,2417,14312
Trinidad and Tobago,India,93,156,692
Trinidad and Tobago,"Venezuela, Bolivarian Republic of",41015,141384,24547
Trinidad and Tobago,Netherlands,2483,4005,4327
Trinidad and Tobago,Italy,8235,21668,24496
Trinidad and Tobago,El Salvador,11158,19301,45232
Trinidad and Tobago,Peru,6332,5107,10263
Trinidad and Tobago,Ecuador,828,3125,25147
Trinidad and Tobago,"Korea, Republic of",593,708,339
Trinidad and Tobago,Chile,30,212,18
Trinidad and Tobago,Belize,6991,6461,8042
Trinidad and Tobago,Senegal,955,1887,6597
Trinidad and Tobago,Thailand,31,67,5
Trinidad and Tobago,Singapore,5517,12617,5260
Trinidad and Tobago,Portugal,776,5744,9501
Trinidad and Tobago,Bahamas,10255,8429,9747
Trinidad and Tobago,China,67,4811,10243
Trinidad and Tobago,Argentina,154,3200,90
Trinidad and Tobago,Czech Republic,1,7,1594
Trinidad and Tobago,Australia,724,1032,2742
Trinidad and Tobago,"Taipei, Chinese",304,476,716
Trinidad and Tobago,Guatemala,1179,1595,2154
Trinidad and Tobago,Uruguay,54,23,22
Trinidad and Tobago,Trinidad and Tobago,0,946,1689
Trinidad and Tobago,Montserrat,998,1071,1008
Trinidad and Tobago,Greece,473,539,461
Trinidad and Tobago,Switzerland,94,504,5867
Trinidad and Tobago,Denmark,99,585,244
Trinidad and Tobago,South Africa,158,3317,233
Trinidad and Tobago,Ireland,5911,98,269
Trinidad and Tobago,Viet Nam,1120,29,21
Trinidad and Tobago,Cabo Verde,0,0,265
Trinidad and Tobago,Norway,8,7289,101
Trinidad and Tobago,Ghana,2695,,46
Trinidad and Tobago,New Zealand,66,55,73
Trinidad and Tobago,"Bolivia, Plurinational State of",180,171,214
Trinidad and Tobago,Sweden,130,74,1633
Trinidad and Tobago,"Hong Kong, China",28,164,319
Trinidad and Tobago,Austria,2207,572,66
Trinidad and Tobago,Slovenia,0,11,2
Trinidad and Tobago,Pakistan,,,4
Trinidad and Tobago,"Macao, China",0,0,0
Trinidad and Tobago,Azerbaijan,0,0,36
Trinidad and Tobago,Hungary,7,24,11
Trinidad and Tobago,Burkina Faso,0,0,0
Trinidad and Tobago,Türkiye,0,196,1853
Trinidad and Tobago,Turks and Caicos Islands,0,0,0
Trinidad and Tobago,Yemen,,,
Trinidad and Tobago,Comoros,0,0,11
Trinidad and Tobago,Albania,0,0,0
Trinidad and Tobago,Tunisia,3,10,0
Trinidad and Tobago,Lebanon,26,10,19
Trinidad and Tobago,Togo,19,13,12
Trinidad and Tobago,Poland,118,407,89
Trinidad and Tobago,Luxembourg,24,1,7
Trinidad and Tobago,Sri Lanka,0,0,0
Trinidad and Tobago,Slovakia,1,0,3
Trinidad and Tobago,Fiji,,0,30
Trinidad and Tobago,Benin,0,95,7
Trinidad and Tobago,Bosnia and Herzegovina,,,5
Trinidad and Tobago,Bangladesh,98,5,11
Trinidad and Tobago,Botswana,0,2,22
Trinidad and Tobago,Finland,2617,2,2
Trinidad and Tobago,Russian Federation,48,97,144
Trinidad and Tobago,Serbia and Montenegro,20,25,
Trinidad and Tobago,Faroe Islands,0,0,1
Trinidad and Tobago,Belarus,6,11,9
Trinidad and Tobago,Malaysia,5,3,254
Trinidad and Tobago,Croatia,7,0,1
Trinidad and Tobago,Malta,0,0,23
Trinidad and Tobago,Romania,0,0,0
Trinidad and Tobago,Ukraine,5,0,10
Trinidad and Tobago,Algeria,0,0,7280
Trinidad and Tobago,Bulgaria,0,1,0
Trinidad and Tobago,Burundi,1,0,0
Trinidad and Tobago,Cambodia,1,0,0
Trinidad and Tobago,Cameroon,0,159,2
Trinidad and Tobago,Cyprus,17,5,64
Trinidad and Tobago,Ethiopia,0,0,2
Trinidad and Tobago,Estonia,2,2,3
Trinidad and Tobago,French Polynesia,1,0,1
Trinidad and Tobago,Gabon,0,0,3
Trinidad and Tobago,Georgia,0,1,0
Trinidad and Tobago,Greenland,0,0,2
Trinidad and Tobago,Iceland,0,4,0
Trinidad and Tobago,Israel,3,3,1
Trinidad and Tobago,Côte d'Ivoire,0,251,869
Trinidad and Tobago,Kazakhstan,0,0,2
Trinidad and Tobago,Kenya,0,0,14
Trinidad and Tobago,Kuwait,0,0,4
Trinidad and Tobago,Madagascar,19,0,3
Trinidad and Tobago,Malawi,15,0,4
Trinidad and Tobago,Mali,7,0,0
Trinidad and Tobago,Mauritius,0,574,15
Trinidad and Tobago,Morocco,488,0,2801
Trinidad and Tobago,Paraguay,141,69,22
Trinidad and Tobago,Rwanda,3,0,0
Trinidad and Tobago,Saudi Arabia,103,0,111
Trinidad and Tobago,Zimbabwe,13,1340,13
Trinidad and Tobago,Uganda,658,383,0
Trinidad and Tobago,"Macedonia, North",15,0,0
Trinidad and Tobago,Egypt,0,0,4
