report,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Trinidad and Tobago,United States of America,1207578,1416748,1614775,1779495,2251172,1989107,1924925,2185138,2477826,2404157,2411034,2511636,2341456,1817043,2117849,2816831,2400559,2675686,3585676,2249985
Trinidad and Tobago,China,75909,100433,164754,263460,349632,244055,291064,286550,312169,321390,427977,481805,348524,430167,347256,363502,341200,424604,543557,563546
Trinidad and Tobago,Brazil,537953,693596,553585,690443,745401,319875,539031,727347,601416,478320,534584,266633,188160,205205,247471,218238,214409,319616,281178,289408
Trinidad and Tobago,Canada,107576,131590,176673,210660,258269,232720,290007,345035,330042,331779,286254,239518,164161,234533,267726,209428,164770,248417,233538,205799
Trinidad and Tobago,Japan,173857,174395,202799,224600,323233,112690,163740,178749,190816,227702,206176,226049,156809,202809,148585,160598,126140,77906,112880,192832
Trinidad and Tobago,Belgium,28850,19534,19039,27478,85636,25125,17342,23695,26810,28120,37246,41157,34918,38251,44596,35879,40821,67119,171741,154652
Trinidad and Tobago,Germany,567426,122749,133060,167517,321438,243149,173110,134789,165620,147256,157721,132791,147752,96376,109015,111406,115676,117776,119129,152987
Trinidad and Tobago,United Kingdom,177288,187934,187691,237376,216579,165964,156094,190997,182358,205363,199531,221909,173502,139108,179613,136557,190848,143011,166111,130869
Trinidad and Tobago,France,43029,43857,45293,53900,76430,29812,32098,75119,105562,195932,74550,45675,33241,36424,33745,34764,38351,48991,39026,130351
Trinidad and Tobago,Thailand,22095,31162,63646,71690,98461,59139,86867,80692,96485,123486,134133,129474,101125,98793,97059,100441,66789,73741,83205,104174
Trinidad and Tobago,Netherlands,58914,60540,54127,52906,97992,62407,76763,56554,117667,78429,83446,80690,84796,54762,100105,252120,91153,60033,116691,98495
Trinidad and Tobago,Türkiye,4220,4055,8124,8578,26722,19452,24954,24141,36220,43187,50299,35347,30222,50691,74135,78369,76007,96540,116160,84166
Trinidad and Tobago,Italy,257755,82609,83070,133435,183669,78988,83702,94937,68775,111046,73095,98854,83450,66616,88627,95252,73357,72032,517898,69898
Trinidad and Tobago,"Korea, Republic of",22924,35998,47323,63557,76278,48284,53717,90338,82221,98470,111576,105623,97394,119103,90816,85641,52142,49222,59535,64496
Trinidad and Tobago,Costa Rica,16337,16956,27192,38908,35921,38055,46909,55682,55305,56543,59517,61749,59391,60279,53597,57970,51288,61093,58941,60821
Trinidad and Tobago,Malaysia,6190,7677,14690,17205,26648,17710,22031,26924,25532,28754,26383,28792,56809,29699,28214,25823,20412,29906,35296,56353
Trinidad and Tobago,Denmark,5022,3578,9292,7277,13041,4257,2872,4572,15263,8829,7045,6788,7003,8220,12752,10820,11691,15855,24839,55704
Trinidad and Tobago,New Zealand,14990,24201,21037,32342,41465,28811,38823,63155,45470,44639,44538,37521,33992,46165,45718,48098,43134,46803,49358,43085
Trinidad and Tobago,Colombia,70537,197745,206563,342267,522794,378992,240103,1000916,570695,446804,142426,191577,84471,255574,308040,36996,61132,50412,53918,40965
Trinidad and Tobago,Ireland,15421,12374,14780,21021,40641,18041,16582,17951,19931,19331,26484,21331,19455,17957,19227,20440,21293,30247,23752,34468
Trinidad and Tobago,Chile,5451,6036,11466,14937,18643,20111,19703,19140,20000,19051,25593,18457,17325,19416,20101,22616,19864,23795,31990,32527
Trinidad and Tobago,Austria,9268,10676,8625,15302,24490,8775,14153,14779,12525,14397,10799,8798,4848,6959,9262,28155,6009,3464,5105,22423
Trinidad and Tobago,Spain,318530,30060,28115,40325,55584,24993,26921,31425,23920,28016,25565,30306,33856,27858,28790,35236,46624,75327,29623,21200
Trinidad and Tobago,"Taipei, Chinese",35029,34238,38597,49784,62516,41889,48139,52828,55682,38773,37581,35611,32219,31289,32456,31557,24773,23522,34119,20293
Trinidad and Tobago,Guatemala,3130,11157,1709,4649,10204,13010,18599,14424,27730,22759,18874,23006,23573,22070,24202,20835,19691,18532,21924,20099
Trinidad and Tobago,Singapore,34956,54365,77535,67513,65572,26378,16992,15539,27890,16823,15462,270512,17571,14016,16180,23638,27230,11347,28241,19421
Trinidad and Tobago,Peru,11649,20029,42664,37701,56555,21475,19912,17329,16386,17915,23071,17957,15882,17789,19633,17417,16760,16000,20236,17667
Trinidad and Tobago,Australia,17814,10197,16207,17528,14908,61534,91619,24999,14886,15281,18657,15529,13564,18490,14153,24848,15687,108373,18639,16941
Trinidad and Tobago,Belize,10167,10482,7979,10658,7818,6473,7705,9784,16225,19866,13780,13477,9931,7535,9226,9843,10161,12447,14376,15508
Trinidad and Tobago,Norway,6036,3267,6283,7126,6069,6185,5630,4736,4759,5008,15100,12254,9867,5324,10647,9745,20428,18917,13353,12858
Trinidad and Tobago,Sweden,6527,29867,29864,15939,50733,9550,8415,19161,16756,26604,21552,15743,12586,34157,27004,31061,6378,5940,9952,12561
Trinidad and Tobago,Argentina,23430,26534,29070,27455,35451,21747,22222,26609,20999,15177,13153,11537,11574,11346,10824,12123,14702,18943,19335,11883
Trinidad and Tobago,Ecuador,1292,30376,1410,2124,2039,3320,5533,4585,5419,5941,4037,5682,4051,4083,3852,3667,10848,9640,10849,11337
Trinidad and Tobago,"Hong Kong, China",8636,8426,8234,7335,7641,6868,20589,14144,11719,8504,29930,28854,45302,41727,17508,19185,8734,10528,9745,9208
Trinidad and Tobago,El Salvador,977,1716,1017,1058,1634,3477,2660,1879,3237,3915,4073,3295,4213,3520,3879,3646,2674,6384,10335,8804
Trinidad and Tobago,Czech Republic,6654,1328,1790,2098,4796,979,1045,2527,2936,5132,2630,1030,1564,1643,1002,1938,823,2904,3340,7848
Trinidad and Tobago,Hungary,564,978,1202,2679,3263,973,1523,2937,2037,6412,5232,11090,7266,14818,7263,7183,5661,5945,8665,7130
Trinidad and Tobago,Switzerland,7549,9612,8109,7070,19516,9176,10989,6227,4627,6352,9626,6872,11640,9064,8929,4973,9149,7462,6368,6854
Trinidad and Tobago,Slovakia,774,1564,1215,1911,1830,1424,256,1347,1763,1354,2746,656,2230,1119,1798,7572,6806,6023,3812,6738
Trinidad and Tobago,South Africa,3792,2674,3177,3649,3649,6291,4614,4445,15679,17935,5473,4523,13681,8379,10884,7163,4621,4237,3868,6084
Trinidad and Tobago,Poland,4752,4637,3456,2067,1323,2138,2982,1429,3293,1367,1733,2861,3144,5040,7873,6404,6458,5219,4573,3341
Trinidad and Tobago,Greece,617,721,2010,2194,2234,2771,1206,821,3710,1209,1684,1497,1709,10792,1797,2109,1613,24539,2327,2572
Trinidad and Tobago,Luxembourg,4761,3331,1641,1703,4709,2250,1836,3979,4828,2769,13575,7406,2123,0,6622,2233,2459,6586,4195,2472
Trinidad and Tobago,Finland,1135,1400,3369,9273,36220,3309,3669,2988,747,2358,2831,1581,1204,1398,2121,3681,1651,1161,3930,2119
Trinidad and Tobago,Portugal,827,707,781,1978,1836,1745,2852,6247,4848,4928,3650,2794,1346,1756,2323,5901,7190,2661,9803,1622
Trinidad and Tobago,Bulgaria,34,82,17083,21476,18612,109,83,82,123,330,236,533,514,338,221,703,222,558,396,1126
Trinidad and Tobago,Latvia,102,143,40,17,0,27,0,28,70,38,46,37,61,60,349,416,708,751,573,1036
Trinidad and Tobago,Lithuania,0,86,86,43,29,2,31,23,62,150,366,145,176,658,1269,1770,682,1967,1008,966
Trinidad and Tobago,Estonia,68,831,22,0,30,0,65,9,4,56,116,40,18,43,106,128,9891,129,2196,925
Trinidad and Tobago,Cyprus,131,196,147,72,182,95,52,18,187,253,213,1054,174,360,621,801,884,572,751,803
Trinidad and Tobago,Slovenia,41,160,443,262,397,164,211,78,426,822,924,1759,1215,2853,656,1716,244,371,1009,800
Trinidad and Tobago,Serbia,,,140,324,321,32,60,19,0,466,103,159,9,34,19,103,350,875,328,612
Trinidad and Tobago,Croatia,23,4,15,0,2120,1,4913,29,2328,35,43,337,1217,721,2961,4,3401,27,1324,600
Trinidad and Tobago,Ukraine,4945,9403,11268,1632,1923,155,4608,2669,740,354,286,343,262,506,654,457,754,1682,56,360
Trinidad and Tobago,Romania,2613,1117,1519,3483,527,1910,167,490,253,927,888,1370,2801,779,5216,3784,3633,405,1455,325
Trinidad and Tobago,"Bolivia, Plurinational State of",51,69,107,186,6,13,934,803,1199,1570,0,63,109,0,0,509,99,365,174,36
Trinidad and Tobago,Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Trinidad and Tobago,Iceland,5,1,0,6,0,0,0,0,0,0,33,1,33,0,0,0,2,4,0,0
Trinidad and Tobago,Madagascar,0,9,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,12,0
Trinidad and Tobago,Malta,782,130,164,223,64,14,7,21,158,90,54,179,148,95,76,88,776,1162,0,0
Trinidad and Tobago,Paraguay,60,33,0,281,756,469,2094,1372,1852,1691,1063,1045,992,678,29,110,3400,16,0,0
Trinidad and Tobago,Curaçao,,,,,,,,,,,,,,765,863,3867,602,,,
Trinidad and Tobago,"Congo, Democratic Republic of the",,,,,,,,,,,,0,0,0,0,0,0,2,0,
Trinidad and Tobago,Haiti,,,,,,,,,,275,31,134,362,38,,,,,,
Trinidad and Tobago,Bermuda,,,,,,,,,0,0,0,0,0,0,1,0,5,0,0,
Trinidad and Tobago,Myanmar,,,,,,,0,0,0,0,0,0,1117,3547,958,2741,59,425,297,
Trinidad and Tobago,Lao People's Democratic Republic,,,,,,,0,0,0,0,0,0,0,75,0,35,0,0,,
Trinidad and Tobago,Nepal,,,,,,0,0,7,0,0,0,0,0,0,0,0,8,50,8,
Trinidad and Tobago,Tonga,,,,,0,0,0,0,0,1,0,,,0,0,0,0,0,0,
Trinidad and Tobago,Congo,,,,3,0,0,0,0,0,0,0,31850,53,14,0,627,89,166,32,
Trinidad and Tobago,Montenegro,,,0,0,0,0,0,0,0,0,0,0,0,0,0,112,71,0,0,
Trinidad and Tobago,Nigeria,,,0,0,28,11177,30,46,0,0,0,8,0,0,0,0,0,12,3,
Trinidad and Tobago,Antigua and Barbuda,,1224,,642,,206,239,1994,944,635,834,413,462,329,177,444,14,219,127,
Trinidad and Tobago,United Arab Emirates,,276,,1449,3307,,,,6257,1837,6655,12897,6791,30717,18363,35248,29313,13495,32426,
Trinidad and Tobago,Aruba,,537,674,199,444,261,708,48,207,193,40,0,0,0,0,0,0,0,0,
Trinidad and Tobago,Netherlands Antilles,,891,905,1077,961,,,,,,,,,,,,,,,
Trinidad and Tobago,Andorra,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Trinidad and Tobago,Kuwait,0,,0,52,0,9,3,5,76,158,123,49,45,27,629,106,131,199,0,
Trinidad and Tobago,Suriname,6766,11051,,19564,,61531,45471,58633,34727,37642,69660,3435,1911,40789,35637,4229,76117,77063,125776,
Trinidad and Tobago,Mauritania,0,0,,0,0,0,0,177,4,0,0,0,0,0,0,0,0,0,0,
Trinidad and Tobago,Togo,0,0,,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,5,
Trinidad and Tobago,Cuba,2735,2079,549,,,,,,,,,,5279,22,3350,75,5,281,5,
Trinidad and Tobago,Seychelles,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Trinidad and Tobago,Angola,1,0,1751,0,,0,0,0,0,0,0,2598,53,1434,170,136,3,152,12,
Trinidad and Tobago,Saint Lucia,9686,14449,28207,12770,38112,,,,27846,19294,25518,15685,11721,11260,7433,8086,8122,,,
Trinidad and Tobago,Grenada,506,2756,1840,1275,584,,761,969,1569,3482,1761,2595,2842,2080,3226,2655,1938,1319,699,
Trinidad and Tobago,Montserrat,1420,34,136,84,620,481,,,106,175,326,150,0,157,1,2,51,,0,
Trinidad and Tobago,Dominica,3072,3745,3138,3003,3515,2296,4744,5341,6942,4695,,,189,136,546,231,2409,2566,815,
Trinidad and Tobago,Bangladesh,18,15,20,14,205,26,227,135,623,287,,703,,,,,,,,
Trinidad and Tobago,Qatar,0,0,0,22,0,0,63,331,1819,217,30,443,,0,27,35,0,363,0,
Trinidad and Tobago,Sri Lanka,854,235,1268,990,1638,1265,1149,1460,1694,2112,2507,2063,2119,2279,,1306,1674,2529,2487,
Trinidad and Tobago,Albania,0,0,0,0,0,0,0,32,0,0,0,0,0,81,0,0,0,0,0,
Trinidad and Tobago,Azerbaijan,0,0,6,7,3,6,17,1,44,46,123,19,20,59,34,81,170,160,10,
Trinidad and Tobago,Bahamas,282,20,314,200,1077,167,77,75,108,75,134,26,403,32,6,32,0,40,1,
