reporter,partner,Exported value in 2001,Exported value in 2002,Exported value in 2003
Turkmenistan,Ukraine,1654058,1885690,1746206
Turkmenistan,Slovakia,467,359,902
Turkmenistan,Türkiye,71739,106348,123682
Turkmenistan,Italy,74556,105660,138342
Turkmenistan,Romania,52318,74382,51770
Turkmenistan,"Iran, Islamic Republic of",11318,20230,38134
Turkmenistan,Azerbaijan,135172,119778,188359
Turkmenistan,Poland,4045,324,45683
Turkmenistan,United States of America,45476,63372,81416
Turkmenistan,Kazakhstan,77488,74571,49084
Turkmenistan,Hungary,462,121,86
Turkmenistan,Germany,6304,19833,76027
Turkmenistan,Russian Federation,39138,32054,28371
Turkmenistan,Spain,14256,9579,18356
Turkmenistan,Greece,4738,2558,34055
Turkmenistan,Georgia,17638,14483,9798
Turkmenistan,China,1224,735,4096
Turkmenistan,Austria,18736,7993,243
Turkmenistan,United Kingdom,2564,6211,2934
Turkmenistan,India,1673,4672,8622
Turkmenistan,Lebanon,96,13,11
Turkmenistan,Bangladesh,15754,3439,0
Turkmenistan,Portugal,1362,1876,5047
Turkmenistan,Belgium,3341,579,174
Turkmenistan,France,16369,10707,904
Turkmenistan,Pakistan,,,91
Turkmenistan,Canada,802,7715,4786
Turkmenistan,Albania,1327,0,1478
Turkmenistan,Brazil,811,654,8219
Turkmenistan,Israel,1880,748,861
Turkmenistan,Czech Republic,6159,29016,1179
Turkmenistan,Estonia,3121,6131,143
Turkmenistan,Bulgaria,1480,650,26
Turkmenistan,Kyrgyzstan,8977,1732,398
Turkmenistan,Lithuania,985,266,1
Turkmenistan,Belarus,1431,434,41
Turkmenistan,Kuwait,15,127,154
Turkmenistan,Malaysia,11,15,1585
Turkmenistan,Slovenia,468,53,140
Turkmenistan,Latvia,727,6,0
Turkmenistan,Japan,418,876,2467
Turkmenistan,Australia,0,97,48
Turkmenistan,Norway,13,18,0
Turkmenistan,"Korea, Republic of",1901,1442,946
Turkmenistan,Switzerland,858,242,426
Turkmenistan,Finland,36,0,12
Turkmenistan,Mexico,36,102,254
Turkmenistan,Armenia,755,24960,48
Turkmenistan,Chile,0,0,0
Turkmenistan,"Taipei, Chinese",862,565,2
Turkmenistan,Croatia,258,2,21
Turkmenistan,Qatar,17,22,8
Turkmenistan,Bosnia and Herzegovina,,,0
Turkmenistan,Guyana,0,0,0
Turkmenistan,"Moldova, Republic of",296,252,134
Turkmenistan,Indonesia,107,31,3
Turkmenistan,Serbia and Montenegro,1142,2,
Turkmenistan,Netherlands,474,450,416
Turkmenistan,Morocco,196,490,171
Turkmenistan,"Tanzania, United Republic of",0,0,3
Turkmenistan,Iceland,0,0,0
Turkmenistan,Cyprus,1134,0,0
Turkmenistan,Costa Rica,0,0,0
Turkmenistan,Gabon,0,0,0
Turkmenistan,Tunisia,299,118,25
Turkmenistan,Nicaragua,0,0,0
Turkmenistan,New Caledonia,0,3,6
Turkmenistan,Peru,9,0,0
Turkmenistan,Ireland,3,4,6
Turkmenistan,"Hong Kong, China",1,2,2
Turkmenistan,Luxembourg,0,1,0
Turkmenistan,"Macao, China",1,0,0
Turkmenistan,Sweden,0,0,12
Turkmenistan,Zambia,0,0,0
Turkmenistan,Faroe Islands,1,1,2
Turkmenistan,Bahrain,0,260,0
Turkmenistan,Barbados,28,0,0
Turkmenistan,Cambodia,0,0,0
Turkmenistan,Mayotte,0,8,0
Turkmenistan,Denmark,1746,73,93
Turkmenistan,El Salvador,6,0,0
Turkmenistan,Greenland,0,0,1
Turkmenistan,Guatemala,13,0,0
Turkmenistan,Honduras,8,0,0
Turkmenistan,Jamaica,0,29,0
Turkmenistan,Jordan,767,0,0
Turkmenistan,Kenya,0,0,117
Turkmenistan,Mali,2,3,51
Turkmenistan,Oman,0,10,8
Turkmenistan,New Zealand,0,0,0
Turkmenistan,Philippines,0,0,0
Turkmenistan,Saudi Arabia,0,0,168
Turkmenistan,Singapore,0,222,0
Turkmenistan,Viet Nam,2088,0,150
Turkmenistan,South Africa,15,0,1
Turkmenistan,Thailand,426,276,2
Turkmenistan,Trinidad and Tobago,0,1,0
Turkmenistan,Uganda,0,96,0
Turkmenistan,Egypt,0,2,0
Turkmenistan,Sierra Leone,,28,
