reporter,partner,Imported value in 2001,Imported value in 2002,Imported value in 2003
Turkmenistan,United States of America,248448,47128,34203
Turkmenistan,Russian Federation,140280,142735,221614
Turkmenistan,Ukraine,106071,111749,177267
Turkmenistan,Türkiye,105278,110021,170347
Turkmenistan,Germany,110763,152150,160593
Turkmenistan,Azerbaijan,12047,8667,5827
Turkmenistan,France,45866,91539,76152
Turkmenistan,Georgia,28878,36734,54906
Turkmenistan,"Iran, Islamic Republic of",73088,88499,129465
Turkmenistan,China,31488,86780,78828
Turkmenistan,Italy,14471,15891,56550
Turkmenistan,Japan,32434,5319,26119
Turkmenistan,Kazakhstan,14178,15254,37169
Turkmenistan,United Kingdom,9632,10449,12131
Turkmenistan,Belgium,7890,5020,8102
Turkmenistan,India,4152,7589,16416
Turkmenistan,Belarus,2175,20619,39732
Turkmenistan,Netherlands,5379,10733,12459
Turkmenistan,Austria,8738,6431,29354
Turkmenistan,"Korea, Republic of",14674,21667,36441
Turkmenistan,Canada,2142,6671,833
Turkmenistan,Czech Republic,2537,3442,4296
Turkmenistan,Israel,4638,433,6701
Turkmenistan,Brazil,35,306,7393
Turkmenistan,Poland,3508,1579,3380
Turkmenistan,Switzerland,6190,2187,4842
Turkmenistan,Spain,1657,2022,1630
Turkmenistan,Kyrgyzstan,1546,2404,2342
Turkmenistan,Romania,11012,3083,2871
Turkmenistan,Malta,0,0,0
Turkmenistan,Finland,1730,1716,3654
Turkmenistan,Hungary,1472,694,699
Turkmenistan,Norway,504,283,259
Turkmenistan,Saudi Arabia,27,5019,85
Turkmenistan,Lithuania,902,1669,4442
Turkmenistan,Denmark,1282,617,1347
Turkmenistan,Pakistan,,,1622
Turkmenistan,Slovakia,300,687,1123
Turkmenistan,Thailand,354,433,667
Turkmenistan,Oman,872,850,1056
Turkmenistan,Bulgaria,1231,1709,982
Turkmenistan,Serbia and Montenegro,71,49,
Turkmenistan,Sweden,1047,784,2257
Turkmenistan,Indonesia,599,630,909
Turkmenistan,"Hong Kong, China",178,320,193
Turkmenistan,Malaysia,355,120,393
Turkmenistan,"Moldova, Republic of",2737,909,1457
Turkmenistan,Ireland,724,1053,1374
Turkmenistan,Armenia,808,2684,3467
Turkmenistan,Australia,92,190,146
Turkmenistan,Latvia,517,77,172
Turkmenistan,Lebanon,156,46,15
Turkmenistan,Slovenia,47,90,190
Turkmenistan,Estonia,1090,1027,2102
Turkmenistan,Sri Lanka,61,152,158
Turkmenistan,Kuwait,80,64,78
Turkmenistan,Luxembourg,138,198,477
Turkmenistan,Greece,434,1546,208
Turkmenistan,South Africa,285,28,23
Turkmenistan,Ghana,0,,0
Turkmenistan,Portugal,93,29,36
Turkmenistan,"Taipei, Chinese",36,9,35
Turkmenistan,Viet Nam,6,11,0
Turkmenistan,Qatar,0,0,0
Turkmenistan,"Macedonia, North",0,0,0
Turkmenistan,Croatia,6,1,486
Turkmenistan,Philippines,0,2,2
Turkmenistan,Bosnia and Herzegovina,,,41
Turkmenistan,Bahrain,0,5,0
Turkmenistan,Botswana,0,1,0
Turkmenistan,Cambodia,0,44,0
Turkmenistan,Dominican Republic,0,6,0
Turkmenistan,Jordan,0,151,375
Turkmenistan,Mali,0,42,0
Turkmenistan,Mauritius,0,6,6
Turkmenistan,Morocco,0,0,107
Turkmenistan,New Caledonia,0,0,0
Turkmenistan,New Zealand,52,81,83
Turkmenistan,Singapore,5232,274,0
Turkmenistan,Tunisia,117,0,0
Turkmenistan,"Tanzania, United Republic of",0,0,181
