reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Tuvalu,China,2244,6349,10882,6644,46251,6058,8417,14939,143449,7534,4645,15337,5624,18345,12147,21738,16141,46425,33201,41897
Tuvalu,Singapore,0,0,0,0,0,0,0,0,61936,46782,38113,16273,17759,20437,22894,21614,35437,41837,53833,38258
Tuvalu,Australia,2772,2715,2846,3125,2822,2560,1928,1844,1242,1488,1704,4959,2496,2854,1628,3469,2196,3850,7058,12987
Tuvalu,Japan,4976,6632,14182,17046,33711,57943,45657,32271,16090,32854,13943,18511,15791,18899,20178,20036,25836,41972,26281,11263
Tuvalu,"Korea, Republic of",88,90,58,33,81,80,128,239,125,176,177,185,280,4785,194,277,9254,11502,4015,3387
Tuvalu,New Zealand,1554,1421,1809,2092,4302,1693,1736,4573,1784,1721,6278,3224,2743,2376,2081,2656,1204,2615,3828,2981
Tuvalu,Spain,0,4975,0,6,16,0,0,0,2,18,10,3,18,3,6,11,1,1,7,2729
Tuvalu,"Taipei, Chinese",32,3,30,3,4,19032,2190,2521,337,18,44,280,119,239,86,231,623,456,608,1820
Tuvalu,Belgium,0,3,0,145,18,3,0,0,13,1,12,24,0,0,0,0,25,26,71,514
Tuvalu,Türkiye,0,0,35,100,159,57,11,70,213,234,988,433,343,289,654,1165,279,1217,581,413
Tuvalu,"Hong Kong, China",24,25,77,40,397,17,9,29,47,51,47,75,196,154,117,143,59,168,126,399
Tuvalu,United States of America,322,42,64,52,130,152,621,724,612,560,592,626,1140,796,1359,832,1682,486,911,320
Tuvalu,Greece,0,0,0,61,0,88,0,0,0,0,0,126,293,479,516,199,33,0,526,190
Tuvalu,Malaysia,29,37,84,232,651,1092,3948,5931,4536,3708,4324,3007,982,288,344,208,349,216,152,177
Tuvalu,Thailand,180,277,66,50,58,18,45,189,288,132,241,169,115,44,46,123,53,1,62,124
Tuvalu,Ukraine,0,0,0,0,0,0,0,3,8,10,0,0,1,12,6,9,4,0,0,74
