reporter,partner,Exported value in 2001,Exported value in 2002,Exported value in 2003
United Kingdom,United States of America,41348915,41685152,43870286
United Kingdom,Germany,32813932,30821191,36113976
United Kingdom,France,22047084,22198818,24381836
United Kingdom,Belgium,13882741,14803376,17713897
United Kingdom,Ireland,17239700,18021089,15446091
United Kingdom,Netherlands,17429012,15558466,16999878
United Kingdom,Spain,10895794,10823787,13617514
United Kingdom,Italy,12119179,12628664,14295968
United Kingdom,Sweden,5689197,5916705,6724699
United Kingdom,Canada,7568808,6207489,6596724
United Kingdom,Japan,6003450,5414953,5846476
United Kingdom,Switzerland,6592471,4420463,4234758
United Kingdom,United Kingdom,4921059,5357856,5446113
United Kingdom,China,3526939,3335960,3570342
United Kingdom,Australia,3376323,3312087,3706981
United Kingdom,Türkiye,1913846,2438296,3500015
United Kingdom,Denmark,3381891,4333170,3921106
United Kingdom,"Korea, Republic of",2353529,2437297,2703216
United Kingdom,"Hong Kong, China",3856538,3344372,3109331
United Kingdom,India,2758525,2643053,2980324
United Kingdom,South Africa,2143902,2372859,2989614
United Kingdom,Norway,2593715,2537473,2852979
United Kingdom,Singapore,2442415,2354428,2542806
United Kingdom,Poland,2055992,2105612,2495767
United Kingdom,Portugal,1986883,2080393,2306022
United Kingdom,Israel,2208280,2226529,2283207
United Kingdom,Saudi Arabia,2033614,1822032,2250873
United Kingdom,Finland,2130767,1898706,2190086
United Kingdom,Greece,1273095,1273318,1856211
United Kingdom,Austria,1864453,1903943,2093805
United Kingdom,Russian Federation,1003218,1119708,1442900
United Kingdom,Czech Republic,1456902,1456616,1389384
United Kingdom,Malaysia,1808358,1588838,1576107
United Kingdom,"Taipei, Chinese",1442646,1361150,1417676
United Kingdom,Hungary,992732,1069007,1292623
United Kingdom,Mexico,1325552,1349145,1241865
United Kingdom,Brazil,1287439,1386695,1248522
United Kingdom,Thailand,982822,853521,930641
United Kingdom,Romania,539383,683105,794124
United Kingdom,"Iran, Islamic Republic of",661851,688971,886959
United Kingdom,New Zealand,510586,552298,613926
United Kingdom,Indonesia,643004,656229,463698
United Kingdom,Morocco,601945,583185,560008
United Kingdom,Slovakia,375583,421333,481710
United Kingdom,Kuwait,391252,401812,490521
United Kingdom,Cyprus,345011,341256,371770
United Kingdom,"Venezuela, Bolivarian Republic of",344920,279329,234955
United Kingdom,Philippines,488171,503399,506028
United Kingdom,Malta,273271,295344,314905
United Kingdom,Pakistan,,,403019
United Kingdom,Oman,348238,364397,39262
United Kingdom,Azerbaijan,53961,85240,286482
United Kingdom,Algeria,252136,305468,411229
United Kingdom,Lebanon,284355,251879,315370
United Kingdom,Syrian Arab Republic,390612,338826,261057
United Kingdom,Ukraine,222748,259040,564954
United Kingdom,Bulgaria,181139,208765,271267
United Kingdom,Slovenia,233410,228052,246593
United Kingdom,Ghana,315948,,219050
United Kingdom,Zambia,107768,97518,97954
United Kingdom,Croatia,226206,217733,290570
United Kingdom,Sri Lanka,220946,262662,269130
United Kingdom,Argentina,407336,195222,215453
United Kingdom,Qatar,302942,308688,392971
United Kingdom,Egypt,299973,311121,262423
United Kingdom,Kazakhstan,249437,259720,248607
United Kingdom,Lithuania,212952,252112,325524
United Kingdom,Tunisia,228868,225317,244060
United Kingdom,Luxembourg,473517,475774,322926
United Kingdom,Trinidad and Tobago,191391,130731,141218
United Kingdom,Iceland,171405,169300,210125
United Kingdom,Chile,193436,202065,201736
United Kingdom,Bahrain,174172,189099,203709
United Kingdom,Viet Nam,171551,166524,219838
United Kingdom,Jordan,175364,187153,197837
United Kingdom,Colombia,179557,149678,164271
United Kingdom,Estonia,90178,98976,137397
United Kingdom,Sudan (before 2012),157760,121842,153581
United Kingdom,Serbia and Montenegro,69376,139064,
United Kingdom,Georgia,25783,27111,123739
United Kingdom,Yemen,,,
United Kingdom,Latvia,84582,94017,117977
United Kingdom,Zimbabwe,58912,71594,31491
United Kingdom,Belarus,61406,67734,79311
United Kingdom,Bangladesh,140304,141637,117390
United Kingdom,"Tanzania, United Republic of",110120,95944,108194
United Kingdom,Côte d'Ivoire,82844,64581,0
United Kingdom,Armenia,91206,28186,83272
United Kingdom,Angola,,,
United Kingdom,Jamaica,102467,129712,149165
United Kingdom,Mauritius,72306,79187,78022
United Kingdom,Uganda,72252,67738,86411
United Kingdom,Costa Rica,49090,85950,80394
United Kingdom,Peru,90625,73449,77423
United Kingdom,Ethiopia,65468,79926,89585
United Kingdom,Barbados,85953,78624,74450
United Kingdom,Ecuador,43937,64175,53989
United Kingdom,Namibia,17627,34291,17502
United Kingdom,"Macao, China",50499,49293,51143
United Kingdom,"Macedonia, North",26250,32778,39477
United Kingdom,Brunei Darussalam,44493,95315,45614
United Kingdom,Senegal,23743,25161,49409
United Kingdom,Cameroon,44016,60051,39958
United Kingdom,Malawi,43410,36179,41571
United Kingdom,Benin,20866,35908,41541
United Kingdom,Botswana,79976,115263,116894
United Kingdom,Guatemala,53686,47548,36599
United Kingdom,Gabon,33981,29909,27569
United Kingdom,Saint Lucia,24848,27576,32484
United Kingdom,Bosnia and Herzegovina,,,25391
United Kingdom,Faroe Islands,21563,23066,25935
United Kingdom,Seychelles,26689,27473,31955
United Kingdom,Andorra,22840,23683,27306
United Kingdom,Guyana,35915,42600,35759
United Kingdom,New Caledonia,20981,19961,23119
United Kingdom,Dominican Republic,21652,45619,51682
United Kingdom,Paraguay,36628,23022,23776
United Kingdom,Uruguay,38285,24554,24966
United Kingdom,Cuba,25600,31309,22044
United Kingdom,French Polynesia,21245,20761,25906
United Kingdom,Saint Vincent and the Grenadines,18311,14805,14555
United Kingdom,El Salvador,14795,15460,24052
United Kingdom,Mali,32109,21013,19328
United Kingdom,Madagascar,12900,4861,13757
United Kingdom,Gambia,13702,16355,16414
United Kingdom,Mozambique,12050,18325,19907
United Kingdom,Grenada,15003,12611,15221
United Kingdom,Belize,15112,10296,13552
United Kingdom,Panama,20660,18606,25262
United Kingdom,Albania,47395,46142,45042
United Kingdom,Niger,14551,11548,17739
United Kingdom,Saint Kitts and Nevis,15621,9567,13348
United Kingdom,Maldives,10512,6447,8283
United Kingdom,"Moldova, Republic of",11079,9756,13498
United Kingdom,Honduras,9794,8260,10335
United Kingdom,"Bolivia, Plurinational State of",14238,11551,13580
United Kingdom,Togo,8225,6770,5241
United Kingdom,Bahamas,9871,8732,16523
United Kingdom,Guinea,15681,15726,
United Kingdom,Papua New Guinea,5854,38697,10180
United Kingdom,Fiji,,7539,7230
United Kingdom,Dominica,13264,9973,9687
United Kingdom,Nicaragua,4302,6141,8325
United Kingdom,Cabo Verde,3901,2988,5686
United Kingdom,Rwanda,3722,7655,5714
United Kingdom,Cambodia,23072,14041,5949
United Kingdom,Mauritania,1240,1323,3004
United Kingdom,Burkina Faso,17016,5094,4221
United Kingdom,Suriname,3802,,
United Kingdom,Kyrgyzstan,4830,2778,2499
United Kingdom,Montserrat,1531,2850,5700
United Kingdom,Mongolia,3642,,3855
United Kingdom,Mayotte,1295,1672,1918
United Kingdom,Burundi,3277,1537,1710
United Kingdom,Eswatini,29747,19218,716
United Kingdom,Comoros,838,663,874
United Kingdom,Greenland,155,15,4392
United Kingdom,Samoa,468,1874,1313
United Kingdom,Solomon Islands,694,732,211
United Kingdom,Sao Tome and Principe,8,0,26
United Kingdom,Guinea-Bissau,,,3
United Kingdom,"Micronesia, Federated States of",,0,0
United Kingdom,Kenya,371654,284024,241333
United Kingdom,Timor-Leste,,,
United Kingdom,Turks and Caicos Islands,8,1,0
United Kingdom,Nepal,,,16349
United Kingdom,Eritrea,,,11761
United Kingdom,Sierra Leone,,11861,
United Kingdom,Tuvalu,,38,
United Kingdom,Central African Republic,0,352,206
United Kingdom,Lesotho,25,0,650
United Kingdom,Nigeria,1069791,1097074,1420789
United Kingdom,Tonga,82,230,797
United Kingdom,Anguilla,2415,2149,1025
