reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
Uzbekistan,Switzerland,680615,1196653,610985,1401049,3381460,2710656,32843,9375,543185,1539042,1337660,1872861,2844489,3675445,2481301,2611681,6265,2391298,3922919,8096774
Uzbekistan,United Kingdom,693127,188662,168415,74147,785534,52038,103621,54572,42188,12324,1586,2681,2887,2541,2314,2384252,6029510,1881513,753845,2674821
Uzbekistan,China,403066,450495,565937,363450,328882,349419,1300780,807315,1091833,1938093,1597910,1266792,1606926,1474606,2324395,1108431,915719,1371786,2276414,1647666
Uzbekistan,Türkiye,178671,261466,415841,613810,580810,413079,861373,939882,813287,853058,846432,711555,709292,823275,795545,1140193,969984,1800044,1682528,1209164
Uzbekistan,Brazil,2,1411,614,1283,7009,2262,1114,2711,2166,391,1356,2462,476,725,200,7482,1601,4534,449,377520
Uzbekistan,Ukraine,69469,205320,418046,546008,2118238,1640771,81733,643873,108962,91630,72843,62330,71060,122721,121381,112741,136961,273421,159568,191518
Uzbekistan,Italy,53662,68870,126337,111495,37982,25452,38952,96427,13672,23352,47084,5824,15773,31871,20142,34484,16314,47091,113147,146379
Uzbekistan,Poland,58429,171783,631469,671871,53676,29132,53596,44230,31352,25766,29107,27995,32437,50500,54399,53314,71868,105304,165631,141677
Uzbekistan,France,40081,44061,64639,216066,15811,195577,115701,158463,156296,167775,131921,177366,65913,52048,10840,12773,24189,116015,143120,110682
Uzbekistan,Lithuania,3713,12790,21476,22608,36110,5187,8119,4595,3868,25835,10251,4866,4110,7537,9691,12105,16261,78175,115781,107874
Uzbekistan,United States of America,89951,97513,153297,165670,292989,89854,68779,51483,26296,26913,15085,10739,31078,14853,19015,34887,81510,189145,61036,96786
Uzbekistan,"Korea, Republic of",76945,28828,40087,103890,262934,47410,21979,39822,42362,53095,27361,16138,20777,18170,21920,19708,18161,22053,27932,90299
Uzbekistan,Canada,28287,46722,353,31025,1315,10431,1336,1902,593,403,504,294,308,329,538,1458,106775,202414,257456,82290
Uzbekistan,Germany,66468,58202,68100,96874,66911,39898,48777,46074,38840,30791,49652,19892,26973,27036,32095,35447,36174,64677,95316,81729
Uzbekistan,Latvia,9030,14886,7781,10598,13167,3699,8943,9856,8460,12230,11877,10132,8882,9141,11315,9602,8640,14355,13766,65504
Uzbekistan,Belgium,42113,26840,32368,30061,30021,19575,20124,14398,9219,5426,10119,7916,6923,7060,7283,5243,5176,8623,41311,64877
Uzbekistan,Romania,15257,7602,154482,89899,24787,784,8056,14148,4357,1991,1496,2597,1207,1532,1070,1750,2335,10790,16127,34816
Uzbekistan,Japan,86828,124873,178821,160647,312452,105116,173440,48374,107376,102144,27553,2726,2606,4497,5335,4654,8738,15425,53652,30137
Uzbekistan,Netherlands,3573,3212,15921,11806,14527,3171,5609,72295,3819,2868,3655,2859,2502,4329,1685,6749,8982,12264,16998,27177
Uzbekistan,Estonia,5571,12078,10529,5267,6765,3803,1110,1820,1015,785,1083,1035,2310,2210,26054,11485,13737,9514,22259,19128
Uzbekistan,Bulgaria,1023,2272,10079,2311,3493,4957,3485,4711,5382,2214,2024,1931,1506,4480,3550,2573,1621,14835,6300,13880
Uzbekistan,Thailand,1893,3213,6991,6833,36147,1104,8797,61715,2759,130775,2220,1194,78,386,1762,361,7,8584,30375,9879
Uzbekistan,Austria,61804,127227,6963,5267,5248,2624,3655,4612,2405,2808,3949,3108,3027,2666,5081,5962,4950,6728,10164,8281
Uzbekistan,Greece,31558,34496,27047,81495,185974,44235,7980,87,108,14,16386,69,865,1877,1933,1240,2278,12005,14769,7592
Uzbekistan,Spain,10746,4736,3608,9119,6418,3144,4443,4577,947,5066,2880,2691,5890,8052,3429,3374,1604,13671,6748,7568
Uzbekistan,Portugal,18293,10347,11047,13598,16533,13221,20587,13740,10657,11303,6433,6537,5758,6195,3568,3829,3608,14514,12852,7359
Uzbekistan,South Africa,1126,1889,74,1292,66,465,152,1912,1311,973,1442,196,464,20,31,0,54,828,3220,6683
Uzbekistan,Czech Republic,19134,12474,10326,9624,21394,9779,11084,10156,7913,6043,6895,5213,5088,7022,6498,5265,7797,7800,10303,6438
Uzbekistan,Slovenia,3565,3219,1640,1796,911,561,612,929,25,160,495,87,419,1290,759,835,1285,3327,4667,5883
Uzbekistan,Hungary,22347,19037,134093,198709,162954,8008,15567,8272,1813,2062,652,632,126,83,486,578,473,1201,3535,2988
Uzbekistan,Sweden,18,13,100,41,1,23,10,7,122,298,202,883,208,218,82,181,170,166,96,2482
Uzbekistan,"Taipei, Chinese",13892,5171,3313,2303,1755,955,2052,1052,1027,2199,226,1828,1368,1847,2740,1000,1401,2392,929,2418
Uzbekistan,Norway,0,1,0,116,166,310,17,80,459,796,164,37,33,141,27,74,42,66,88,2111
Uzbekistan,"Hong Kong, China",1546,1052,75,714,1914,373,1412,5514,1110,3124,13970,2375,1151,1450,1429,658,655,456,1883,1783
Uzbekistan,Finland,152,187,562,8461,69244,927,46,2,122,59,58,20,556,355,45,346,114,3522,4580,1742
Uzbekistan,Serbia,,,144,1440,8617,3703,9544,16306,4284,442,26,50,244,437,333,751,488,1155,2367,1229
Uzbekistan,Bosnia and Herzegovina,192,166,151,79,244,821,269,1431,2381,3396,2304,1092,8,135,875,243,2123,1399,1897,1026
Uzbekistan,Chile,13,0,18,1,6372,7,338,392,88,378,198,220,731,160,18,114,137,1344,3335,940
Uzbekistan,Slovakia,1492,630,4896,6962,13017,2926,725,323,166,466,366,400,1205,566,488,2412,1053,633,7889,925
Uzbekistan,Malta,0,0,0,1,0,0,0,0,0,0,0,1,0,2,1,9,5,2,38,769
Uzbekistan,Malaysia,212,1,49,3176,2406,1186,15595,9098,7055,1612,15943,6570,1288,2282,3324,5953,8073,4822,1108,415
Uzbekistan,Costa Rica,0,3,3,23,1,0,0,0,0,43,0,0,0,1,141,0,0,6,0,396
Uzbekistan,Peru,134,9,227,1,5,3,0,229,969,275,82,0,2097,3617,3054,292,1003,8835,11585,389
Uzbekistan,Australia,14,75,27,19,15,154,591,1318,2601,2049,1632,1276,18,172,147,352,217,292,1765,371
Uzbekistan,Denmark,79,22,814,92,667,147,32,47,94,8,13,60,1352,690,41,21,24,96,92,341
Uzbekistan,Croatia,1179,490,235,517,625,97,217,1183,442,52,20,77,70,0,270,6084,97,604,453,324
Uzbekistan,Colombia,607,107,84,114,42,0,0,0,1095,801,1293,612,2903,1721,924,130,251,4503,2718,287
Uzbekistan,Argentina,6,0,0,33,0,13,29,0,600,940,2047,2428,3163,183,106,301,483,374,368,253
Uzbekistan,Madagascar,0,0,0,0,0,0,0,0,107,0,0,9,0,0,0,0,0,0,0,168
Uzbekistan,Ireland,130,32,0,56,1,203,713,351,27,6,117,74,88,224,65,362,25,144,175,149
Uzbekistan,Singapore,0,0,0,0,0,0,0,296,194,1857,151,80,269,1217,10159,2172,135,279552,90,125
