reporter,partner,Imported value in 2001,Imported value in 2002,Imported value in 2003
Yemen,China,209692,305233,353381
Yemen,France,144741,158679,159413
Yemen,Saudi Arabia,130737,99380,120532
Yemen,United States of America,185393,366110,191400
Yemen,India,187381,146491,215005
Yemen,Türkiye,100362,119362,156069
Yemen,Russian Federation,4978,204578,89351
Yemen,Germany,100091,114597,131349
Yemen,Japan,67781,73303,115173
Yemen,United Kingdom,105823,114398,131367
Yemen,Brazil,105250,102634,105385
Yemen,Italy,89572,97027,97063
Yemen,Malaysia,50820,76554,104591
Yemen,Syrian Arab Republic,43028,114474,0
Yemen,Thailand,57775,76602,103929
Yemen,Oman,46685,50095,31732
Yemen,Australia,72195,67541,51910
Yemen,Netherlands,48782,54108,67552
Yemen,"Korea, Republic of",45806,52269,59941
Yemen,Indonesia,88587,81983,52423
Yemen,Finland,3208,26510,6910
Yemen,Pakistan,,,52689
Yemen,Egypt,17949,31809,27877
Yemen,Denmark,32417,34871,33503
Yemen,Belgium,21786,20922,22488
Yemen,Singapore,23888,20302,23265
Yemen,Canada,23246,30375,24312
Yemen,Switzerland,19867,26759,31054
Yemen,Jordan,17660,18527,22647
Yemen,Kenya,17252,7397,32146
Yemen,Sweden,20037,23147,24302
Yemen,Spain,21440,24082,25854
Yemen,"Taipei, Chinese",18392,13146,17048
Yemen,Ukraine,5443,9061,26905
Yemen,New Zealand,8040,10359,8933
Yemen,South Africa,5244,3318,3213
Yemen,Austria,6278,7479,8179
Yemen,Ethiopia,8361,7599,16114
Yemen,Romania,1364,3238,2556
Yemen,Qatar,7471,8814,3210
Yemen,Poland,32047,34056,9862
Yemen,"Iran, Islamic Republic of",9724,10237,8617
Yemen,Viet Nam,9270,236,1382
Yemen,Lebanon,4347,4417,4670
Yemen,Czech Republic,5005,11912,2334
Yemen,Morocco,2257,4336,5294
Yemen,"Hong Kong, China",4439,4249,4360
Yemen,Greece,9221,8080,9346
Yemen,Hungary,2311,3713,6802
Yemen,Kuwait,7798,10215,7515
Yemen,Slovakia,2863,2238,2073
Yemen,Sudan (before 2012),36152,11352,4288
Yemen,Ireland,8620,3764,3427
Yemen,Bangladesh,310,355,891
Yemen,Colombia,9,138,9
Yemen,Malta,1092,2096,1757
Yemen,Azerbaijan,0,13,4677
Yemen,Norway,1660,1577,1686
Yemen,Zimbabwe,0,1596,512
Yemen,Bulgaria,154,2437,1331
Yemen,Slovenia,1932,1902,1315
Yemen,Bahrain,5491,3788,2751
Yemen,Cyprus,879,532,687
Yemen,Portugal,1495,647,664
Yemen,Sri Lanka,823,633,1196
Yemen,Belarus,22,401,206
Yemen,Tunisia,2184,1942,428
Yemen,Luxembourg,32,197,733
Yemen,Latvia,1360,1153,945
Yemen,Philippines,1060,823,1672
Yemen,Algeria,0,503,44
Yemen,Mexico,269,740,467
Yemen,Croatia,845,327,324
Yemen,Chile,330,0,0
Yemen,Serbia and Montenegro,4373,2050,
Yemen,Madagascar,0,2,1
Yemen,Cuba,39,262,18
Yemen,Guatemala,80,187,62
Yemen,Iceland,26,97,146
Yemen,"Tanzania, United Republic of",98,34,38
Yemen,Bosnia and Herzegovina,,,7
Yemen,Botswana,0,0,0
Yemen,Trinidad and Tobago,9,2,0
Yemen,Namibia,0,0,0
Yemen,Mozambique,0,0,0
Yemen,"Bolivia, Plurinational State of",0,37,0
Yemen,Lithuania,75,57,13
Yemen,Albania,0,0,0
Yemen,Brunei Darussalam,0,0,0
Yemen,Peru,643,544,621
Yemen,Uruguay,27,0,42
Yemen,Guinea,0,0,
Yemen,Ecuador,0,4,14
Yemen,"Venezuela, Bolivarian Republic of",0,0,0
Yemen,Ghana,0,,311
Yemen,Argentina,37248,39134,0
Yemen,Belize,0,52,0
Yemen,Cambodia,0,0,0
Yemen,Comoros,0,0,427
Yemen,Dominican Republic,0,0,8
Yemen,Estonia,2060,33,2
Yemen,Honduras,0,0,19
Yemen,Côte d'Ivoire,0,0,0
Yemen,Kazakhstan,300,0,0
Yemen,Kyrgyzstan,0,2,0
Yemen,"Macao, China",0,0,56
Yemen,Mauritania,0,0,49
Yemen,Mauritius,10,0,0
Yemen,"Moldova, Republic of",11,8,0
Yemen,Papua New Guinea,0,103,0
Yemen,Uganda,0,4,12
Yemen,"Macedonia, North",2,43,64
Yemen,Nepal,,,1
Yemen,Eritrea,,,134
