reporter,partner,Imported value in 2001,Imported value in 2002,Imported value in 2003
Zambia,South Africa,575814,525620,536964
Zambia,Zimbabwe,11569,131755,79234
Zambia,China,38836,37191,34875
Zambia,India,25115,28565,37245
Zambia,United Kingdom,34359,28620,35083
Zambia,Kenya,5018,10074,23999
Zambia,United States of America,15909,35735,19460
Zambia,France,10941,13351,17505
Zambia,Sweden,12141,7483,8148
Zambia,"Tanzania, United Republic of",5502,17640,17535
Zambia,Japan,18390,19423,15209
Zambia,Germany,12592,11257,20820
Zambia,Canada,2970,5189,8182
Zambia,Netherlands,4451,4798,8508
Zambia,"Korea, Republic of",4127,3459,4832
Zambia,Malawi,5346,4763,9411
Zambia,Finland,10759,9778,10949
Zambia,Namibia,892,159,52
Zambia,Switzerland,1989,1453,3329
Zambia,Brazil,1250,1420,5525
Zambia,Belgium,6904,9152,5128
Zambia,Ireland,2812,3979,6082
Zambia,Thailand,1361,1835,2205
Zambia,Italy,3787,5837,4191
Zambia,Botswana,8389,8196,2542
Zambia,Denmark,2825,3289,4981
Zambia,Spain,1738,1902,5092
Zambia,Indonesia,818,1811,6246
Zambia,Australia,1532,2797,1490
Zambia,"Taipei, Chinese",2355,2806,2384
Zambia,Pakistan,,,3265
Zambia,Israel,884,929,2259
Zambia,Malaysia,909,1601,1213
Zambia,Saudi Arabia,239,372,877
Zambia,"Hong Kong, China",1374,931,1644
Zambia,Jordan,46,274,545
Zambia,Austria,2237,1469,2124
Zambia,Mauritius,303,661,708
Zambia,Egypt,692,644,3926
Zambia,Mozambique,107,2107,896
Zambia,Viet Nam,475,133,767
Zambia,Czech Republic,253,838,241
Zambia,Côte d'Ivoire,356,1348,355
Zambia,Türkiye,244,127,349
Zambia,Lebanon,10,184,312
Zambia,Norway,319,944,865
Zambia,Singapore,1039,1555,1506
Zambia,Greece,27,7,103
Zambia,Senegal,276,418,361
Zambia,Oman,29825,31665,13
Zambia,Peru,0,273,432
Zambia,"Iran, Islamic Republic of",38,115,21
Zambia,Qatar,0,0,2
Zambia,Luxembourg,40,647,64
Zambia,Romania,2,1,327
Zambia,Hungary,41,136,124
Zambia,Poland,0,0,0
Zambia,Chile,99,42,49
Zambia,New Zealand,71,122,155
Zambia,Ethiopia,0,4,13
Zambia,Uganda,8609,2154,253
Zambia,Slovenia,6,28,44
Zambia,Bangladesh,194,125,0
Zambia,Cyprus,134,68,58
Zambia,Sri Lanka,102,64,834
Zambia,Colombia,24,89,0
Zambia,Eswatini,6900,1,950
Zambia,Serbia and Montenegro,5,374,
Zambia,Angola,,,
Zambia,Mexico,15,0,0
Zambia,Bulgaria,103,86,129
Zambia,"Venezuela, Bolivarian Republic of",0,0,0
Zambia,Lithuania,7,40,23
Zambia,Uruguay,0,20,13
Zambia,Costa Rica,0,1,0
Zambia,Russian Federation,93,4,22
Zambia,Rwanda,0,52,0
Zambia,Slovakia,19,2931,450
Zambia,Madagascar,0,0,0
Zambia,Latvia,0,0,0
Zambia,Burkina Faso,0,0,0
Zambia,Bosnia and Herzegovina,,,0
Zambia,Belarus,362,28,0
Zambia,Fiji,,0,0
Zambia,Timor-Leste,,,
Zambia,Ukraine,10,57,79
Zambia,Cambodia,0,0,0
Zambia,Philippines,100,208,90
Zambia,Burundi,1,0,228
Zambia,Portugal,871,599,5
Zambia,Ghana,18,,28
Zambia,Argentina,546,399,0
Zambia,Bahrain,0,43,0
Zambia,Armenia,0,0,5
Zambia,Brunei Darussalam,1,1,0
Zambia,Croatia,0,17,0
Zambia,Dominican Republic,0,0,6
Zambia,Gabon,0,0,12
Zambia,Guatemala,0,0,4
Zambia,Honduras,86,0,0
Zambia,Kuwait,1,1,0
Zambia,Mali,0,0,0
Zambia,Malta,0,1538,2865
Zambia,Morocco,13,23,10
Zambia,Nicaragua,0,5,0
Zambia,Seychelles,1,0,0
Zambia,Syrian Arab Republic,0,0,353
Zambia,Trinidad and Tobago,2900,0,0
Zambia,"Macedonia, North",0,5,0
Zambia,Lesotho,6,36,0
