reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Zimbabwe,South Africa,929079,1161503,1065169,1194814,1688951,1607999,2123011,2429606,2418140,2396618,2277816,2021090,2015534,2146612,2347747,1982846,2219764,2927887,3227868,3384680
Zimbabwe,China,113063,125370,136293,203347,133100,156285,315863,410278,430484,413826,403801,546347,390871,441285,446070,368805,524709,920006,1124587,1408645
Zimbabwe,Japan,16461,17542,12844,22008,22986,14526,24652,31271,28420,42542,37727,28045,16688,18537,29320,15466,14852,21465,45606,55013
Zimbabwe,Thailand,9991,9714,13954,19025,22345,8895,18264,19928,12156,5245,7436,5676,5890,10820,14923,8063,16167,11679,22353,54321
Zimbabwe,United Kingdom,47992,40183,35986,45883,38381,30525,46611,89455,95483,81519,67443,59499,36641,38096,60479,49967,52572,55523,48335,52421
Zimbabwe,Germany,55264,36514,67303,51767,62306,26467,48312,69245,74431,51046,42478,50118,30078,32604,38754,36702,48755,46007,42892,50467
Zimbabwe,France,12357,11076,11426,15919,11676,10692,14329,21212,26909,27491,19564,22594,19012,26753,26558,21987,23960,28316,20341,40910
Zimbabwe,Belgium,10357,6707,7402,11607,9913,10880,23625,9621,8153,18508,35918,27104,25806,26134,29647,17225,17254,25827,26413,40210
Zimbabwe,Italy,14345,10060,8856,10074,19517,7741,22061,24645,31196,53413,24345,21570,17614,21961,17653,13454,15636,18189,25168,39635
Zimbabwe,United States of America,47297,45541,47584,105241,92884,85481,67565,61598,53478,60526,48699,37845,30062,39926,33747,39958,46419,45134,41117,37664
Zimbabwe,"Hong Kong, China",2868,2123,1160,1191,1678,3340,18433,16499,12654,30373,27497,32706,22349,57978,35001,10575,34830,50626,11300,33180
Zimbabwe,Netherlands,22281,19795,13811,36616,20032,22052,32473,32163,29471,33950,23554,15660,15117,19551,26599,20232,18038,34259,20434,33091
Zimbabwe,Türkiye,328,696,1361,1550,1243,838,2247,5380,8435,7911,5007,4385,4632,5354,11769,6023,15347,14731,19921,23491
Zimbabwe,"Korea, Republic of",9514,10288,14898,14494,9208,13788,20750,28336,28552,25899,27343,21150,17814,23244,25964,14088,15514,20404,16083,19563
Zimbabwe,Lithuania,28,0,1,0,24,11,64,43,288,185,816,100,1034,249,625,290,573,808,11413,15890
Zimbabwe,Ireland,2307,2463,1884,939,952,2313,1560,1389,3838,2878,3304,2372,1599,2712,5646,6415,7644,10737,11582,12796
Zimbabwe,Brazil,1929,1782,3426,8389,11710,3833,7129,10989,20104,11217,34732,11178,2646,3466,7552,3629,4047,10329,6431,10874
Zimbabwe,Switzerland,6009,6663,3759,7970,3207,4289,6485,7107,9144,8788,8222,11273,8370,9272,17668,3680,3876,4980,4908,9775
Zimbabwe,Slovakia,139,850,278,256,160,3121,87,406,157,12,110,44,103,76,98,1010,4685,2646,5419,7814
Zimbabwe,Austria,2581,2225,1609,967,1174,1007,2989,1209,1145,1915,4991,1533,2511,3462,6368,1329,3054,3337,2346,7785
Zimbabwe,Spain,3946,2593,2663,5477,2993,1243,2932,4937,4382,4416,7369,3687,3387,14539,11585,7748,6553,9358,7803,7464
Zimbabwe,Sweden,4768,15648,23664,10084,10159,23065,36882,35827,55093,16930,11483,15576,10535,8203,10626,12460,5689,3081,8781,6973
Zimbabwe,Poland,172,208,138,311,388,353,1923,570,1185,5165,19573,2852,7277,5422,5880,4107,5653,7175,16993,6756
Zimbabwe,Denmark,3523,3016,2761,2234,3357,1842,5760,4672,8456,6047,6968,6086,3641,4201,7904,6485,5740,12658,19738,6741
Zimbabwe,Malaysia,7324,5142,3458,1343,2382,4409,6239,8631,7198,7530,5609,30064,12042,5122,8481,1115,72759,2301,1804,4310
Zimbabwe,Canada,6567,5295,4535,6258,4894,7472,5731,9253,7544,4115,3916,4341,8551,10040,9497,3825,2513,7170,4393,4294
Zimbabwe,Malta,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3951
Zimbabwe,Hungary,471,91,183,833,427,917,960,1100,2847,3183,1717,1607,1102,1400,852,357,268,437,2498,3416
Zimbabwe,Croatia,38,0,0,0,0,0,0,2,10,21,0,3,0,105,450,197,9,50,543,2888
Zimbabwe,Czech Republic,440,419,339,324,13,474,842,4173,1312,1584,1255,1099,943,903,2029,2454,475,3382,1193,2280
