reporter,partner,Imported value in 2001,Imported value in 2002,Imported value in 2003,Imported value in 2004
Afghanistan,Pakistan,,,408203,487469
Afghanistan,"Iran, Islamic Republic of",36529,123988,227367,232565
Afghanistan,India,20875,50111,115148,167745
Afghanistan,United States of America,5824,80011,60759,150392
Afghanistan,Germany,13801,45304,94777,118213
Afghanistan,Kazakhstan,18184,31130,49446,86387
Afghanistan,"Korea, Republic of",95013,127909,124597,77174
Afghanistan,Russian Federation,7784,32261,54504,75941
Afghanistan,Türkiye,6983,20232,36489,70945
Afghanistan,Japan,44732,83564,104537,65994
Afghanistan,China,17265,19911,26447,56973
Afghanistan,France,3829,13921,33168,52220
Afghanistan,Kenya,35890,16426,69827,36619
Afghanistan,Austria,142,5399,3742,26407
Afghanistan,United Kingdom,5562,4478,16130,26003
Afghanistan,Italy,1334,7325,19742,24707
Afghanistan,Mexico,329,220,129,19602
Afghanistan,Denmark,812,9440,7412,17684
Afghanistan,Netherlands,2691,17830,14141,14112
Afghanistan,Indonesia,6528,9225,17071,13923
Afghanistan,Belarus,1844,9001,16061,13694
Afghanistan,Ukraine,4125,5703,7703,10639
Afghanistan,Belgium,7202,6208,6401,8235
Afghanistan,Thailand,1579,2784,10771,8078
Afghanistan,Kyrgyzstan,1592,4406,6128,8023
Afghanistan,Canada,108,1201,6447,7507
Afghanistan,Bangladesh,6071,4947,1957,7054
Afghanistan,Oman,1213,4727,6320,6620
Afghanistan,Australia,470,1670,2411,5324
Afghanistan,Czech Republic,157,832,1449,5226
Afghanistan,Bulgaria,2156,3643,5740,4991
Afghanistan,Sweden,20,468,874,4557
Afghanistan,Egypt,15,78,147,4218
Afghanistan,Spain,137,2778,2605,3868
Afghanistan,Kuwait,71,185,2135,3683
Afghanistan,Malaysia,2351,2312,1835,3344
Afghanistan,Norway,840,46,2690,3342
Afghanistan,Hungary,46,71,2994,3316
Afghanistan,Romania,0,429,1923,2845
Afghanistan,Ireland,545,1679,2876,2817
Afghanistan,Poland,2934,1536,3129,2585
Afghanistan,Saudi Arabia,0,56,174,2515
Afghanistan,Azerbaijan,191,694,615,2195
Afghanistan,Switzerland,70,1260,806,1827
Afghanistan,"Hong Kong, China",3297,3217,1681,1742
Afghanistan,Singapore,2539,1342,1934,1315
Afghanistan,Sri Lanka,57,392,476,1274
Afghanistan,South Africa,748,128,6418,1207
Afghanistan,Slovenia,32,343,96,1151
Afghanistan,Jordan,0,24,215,952
Afghanistan,Tunisia,96,54,31,697
Afghanistan,New Zealand,77,410,690,508
Afghanistan,Colombia,0,0,41,458
Afghanistan,Argentina,0,84,165,451
Afghanistan,Greece,342,373,210,436
Afghanistan,Lebanon,67,98,27,383
Afghanistan,"Taipei, Chinese",20,49,62,345
Afghanistan,Bahrain,4,13,0,301
Afghanistan,Latvia,194,397,381,276
Afghanistan,Finland,7,367,551,275
Afghanistan,Lithuania,0,177,79,252
Afghanistan,Ecuador,277,106,4,205
Afghanistan,Serbia and Montenegro,0,0,,179
Afghanistan,Brazil,17,2,337,172
Afghanistan,Slovakia,645,849,507,164
Afghanistan,Croatia,11,39,1535,141
Afghanistan,Zimbabwe,0,0,0,131
Afghanistan,Philippines,30,89,343,99
Afghanistan,Peru,0,0,0,85
Afghanistan,Portugal,104,15,310,75
Afghanistan,Qatar,300,167,1380,74
Afghanistan,Luxembourg,6,130,21,68
Afghanistan,Cyprus,0,33,12,63
Afghanistan,Guatemala,0,2,180,62
Afghanistan,Senegal,0,0,0,56
Afghanistan,Israel,0,0,30,46
Afghanistan,Morocco,0,7,63,42
Afghanistan,Madagascar,0,0,75,36
Afghanistan,Mauritius,0,0,0,34
Afghanistan,"Macedonia, North",0,69,0,30
Afghanistan,Uganda,0,13,0,17
Afghanistan,Bosnia and Herzegovina,,,559,16
Afghanistan,Chile,1400,7,0,15
Afghanistan,Estonia,0,4,95,11
Afghanistan,Belize,0,0,0,10
Afghanistan,Bahamas,0,0,0,9
Afghanistan,Guyana,0,6,0,9
Afghanistan,Malta,0,0,0,7
Afghanistan,Burkina Faso,0,0,0,5
Afghanistan,Albania,0,99,0,4
Afghanistan,Timor-Leste,,,,2
Afghanistan,Trinidad and Tobago,0,0,1,2
Afghanistan,Barbados,0,0,14,1
Afghanistan,Dominican Republic,0,0,0,1
Afghanistan,Fiji,,0,5,0
Afghanistan,Ghana,662,,168,0
Afghanistan,Algeria,0,0,0,0
Afghanistan,Brunei Darussalam,0,1,9,0
Afghanistan,Cambodia,0,0,34,0
Afghanistan,Costa Rica,1017,1226,0,0
Afghanistan,Dominica,0,0,0,0
Afghanistan,Gabon,16,0,60,0
Afghanistan,Georgia,15,127,27,0
Afghanistan,Honduras,0,0,18,0
Afghanistan,Côte d'Ivoire,0,42,0,0
Afghanistan,Mali,0,29,0,0
Afghanistan,"Moldova, Republic of",0,5,0,0
Afghanistan,Mozambique,0,0,21,0
Afghanistan,Papua New Guinea,0,0,2917,0
Afghanistan,Syrian Arab Republic,0,0,382,0
Afghanistan,"Tanzania, United Republic of",0,286,0,0
Afghanistan,Uruguay,14,0,27,0
