reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
Algeria,Italy,1865434,1909659,10071998,8358841,12644179,8425144,10682493,11568210,11594642,8327998,5093361,3349722,4733283,5601144,6757609,4860707,3588599,7316884,19193997,15233374
Algeria,France,3574410,4582170,5190544,4627197,7082517,3817858,3073577,6112713,5039141,5632882,5834117,4321345,3320638,3832406,4920622,4665199,3064701,5158826,7011189,7747893
Algeria,Spain,3598396,5071994,5766636,6146388,9502609,5288350,6041019,7887611,8852529,12302603,12044765,7214366,5007528,5193988,5513037,4373334,2869001,5639436,7994455,6929078
Algeria,"Korea, Republic of",240486,166227,577540,646508,844723,688359,286903,130428,302033,893445,1948089,864932,199882,709665,1965025,1746023,904040,1902850,3371797,3152860
Algeria,United States of America,7926532,10931931,16088930,18431958,20032289,11150476,14943690,14912503,10201300,4960483,4794597,3537242,3418707,3991780,4781633,2592963,502717,1970364,3166407,3150866
Algeria,Netherlands,1284943,1829325,2017956,3081411,3746262,2479129,3107248,3584302,5300109,4204087,3115529,1301889,954268,901015,1192240,1268589,734966,1659446,2935320,2072083
Algeria,Belgium,1644382,2101986,2552301,1825282,2092680,1418712,2222713,2055853,2488413,2066006,2053458,1087690,1089290,1181839,1398330,880853,699450,1097873,1804317,2017030
Algeria,United Kingdom,579633,810278,1604057,1686848,1551460,800270,915446,2387033,3239148,5344071,5460104,2730795,907160,1741326,2896332,2503295,605862,1434044,2177879,1927533
Algeria,Brazil,2002002,2896309,2025552,2299549,2574269,1441616,2458434,3234653,3290771,3105620,3016976,1813063,1620844,2313330,2420594,1732847,770126,1139928,1182450,1824742
Algeria,Germany,1027560,2024528,1423849,1383150,2554567,910780,920379,2769397,2430170,2718916,3356943,1730505,1449910,1304549,760756,741554,714013,911353,2076335,1617046
Algeria,Türkiye,625889,861809,718740,943808,1587506,768995,1068380,1150325,924934,711359,924505,740547,463775,766803,1138064,719267,567384,1194880,1367257,1452412
