reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
Armenia,China,2156,351,8413,37774,11506,23939,46703,34632,35166,73139,167173,219081,274572,294824,313972,531304,794487,1083855,941064,998746
Armenia,"Hong Kong, China",1293,1433,1253,942,1020,431,486,2862,1039,790,1034,4793,55776,318,412,1482,772,3483,16209,654016
Armenia,Netherlands,18984,103877,97977,111228,60560,17080,32027,33431,3877,1964,1741,3386,8266,7070,5567,7552,7238,7719,204382,287871
Armenia,Belgium,106991,109857,104982,95520,84466,40131,65193,74527,97512,116859,59430,49154,42176,38011,61138,61901,53419,82095,143544,240584
Armenia,Germany,78359,152475,153476,173303,197862,120459,157294,184956,126562,96648,141715,153271,126000,127506,170512,128555,77814,129340,163731,187146
Armenia,United States of America,47630,47203,48083,33851,43379,79103,78832,96718,93100,106559,101212,66017,44859,70903,56132,57335,71031,91074,85720,138807
Armenia,"Korea, Republic of",80,93,4062,2739,1129,6459,2788,825,1572,7151,3211,3190,3733,6884,7570,16743,27032,47380,30964,96828
Armenia,Spain,10793,24163,13143,18201,18845,12909,26713,84768,51677,33858,51250,37133,110167,134231,47678,84891,120902,76203,71548,69900
Armenia,Italy,15724,15067,19857,20481,17643,7882,13541,20237,17015,26598,38300,34212,33332,37511,50301,58841,41987,61902,69406,65456
Armenia,Slovakia,379,312,142,728,2881,431,107,219,407,216,449,856,848,793,1088,1528,8675,16067,22813,43547
Armenia,Japan,583,1219,376,4946,584,2049,3431,2231,1729,3380,9181,10631,12244,10410,16187,20250,20727,25453,28927,33612
Armenia,United Kingdom,706,648,4609,875,1529,2646,7339,217,1064,3620,708,346,680,3944,3159,2691,3386,3809,27971,27864
Armenia,Poland,970,10177,10339,8341,12171,2889,3854,1071,595,2463,8310,17652,25531,12561,11785,15959,15574,24142,31632,21015
Armenia,Ukraine,5566,13211,21319,35793,25455,28217,17946,18487,22949,19696,13276,7377,8216,10865,21083,20098,17643,26033,12298,19978
Armenia,France,2418,2134,2482,3739,8831,6983,9399,22178,12260,16333,18470,8445,7639,9586,14038,11832,7980,17172,21677,18495
Armenia,Chile,0,153,0,18,12823,3,3,13,199,83,1,22,8,5,11082,2,714,597,8405,12661
Armenia,Thailand,130,374,581,1661,1631,2290,1669,2918,3597,1683,9188,719,787,9771,1291,849,1218,131,4931,12566
Armenia,Switzerland,28640,22571,18357,17377,2388,1601,3214,6850,9031,8120,4854,6235,3106,143526,198158,254376,176731,13212,10242,11384
