reporter,Exporters,Imported value in 2001,Imported value in 2002,Imported value in 2003
Aruba,Mexico,29664,167351,783818
Aruba,United States of America,276475,464578,354943
Aruba,Brazil,3770,4982,33868
Aruba,Netherlands,62314,83005,108702
Aruba,"Venezuela, Bolivarian Republic of",34614,26011,24043
Aruba,Russian Federation,82,0,0
Aruba,Colombia,10948,7698,12611
Aruba,United Kingdom,47490,41551,22982
Aruba,Italy,11719,10333,8208
Aruba,Switzerland,4348,6382,8051
Aruba,"Korea, Republic of",5994,5788,9490
Aruba,Ireland,60,101,60
Aruba,France,4773,5486,5959
Aruba,Canada,1809,2687,4504
Aruba,Trinidad and Tobago,7396,7322,9535
Aruba,Germany,8149,4623,18225
Aruba,Argentina,0,0,3666
Aruba,China,3622,2764,2218
Aruba,Spain,4143,4355,3641
Aruba,Paraguay,296,103,1898
Aruba,"Hong Kong, China",2200,2173,2262
Aruba,Dominican Republic,0,992,1374
Aruba,Belgium,2533,2988,1594
Aruba,Thailand,376,1350,1696
Aruba,Peru,637,2238,1270
Aruba,Guyana,3377,1746,894
Aruba,Guatemala,3735,1163,282
Aruba,Costa Rica,2043,1518,1464
Aruba,Uruguay,73,104,1002
Aruba,Denmark,2001,920,944
Aruba,Panama,1193,848,777
Aruba,Luxembourg,27,10,11
Aruba,Austria,186,257,317
Aruba,Indonesia,651,388,578
Aruba,El Salvador,482,616,531
Aruba,Philippines,807,830,312
Aruba,Sweden,1060,5874,2618
Aruba,Cuba,312,385,446
Aruba,India,0,0,138
Aruba,Israel,196,326,2413
Aruba,Honduras,0,518,166
Aruba,Jamaica,169,154,613
Aruba,Malaysia,52,168,542
Aruba,Barbados,236,421,442
Aruba,"Taipei, Chinese",181,284,306
Aruba,Poland,0,0,0
Aruba,Estonia,0,0,3
Aruba,Suriname,1695,,
Aruba,Bahamas,325,305,262
Aruba,Finland,136,33,39
Aruba,Sri Lanka,0,122,363
Aruba,South Africa,85,1788,249
Aruba,Ecuador,142,200,122
Aruba,Greece,255,123,177
Aruba,New Zealand,379,170,132
Aruba,Cyprus,49,80,81
Aruba,Türkiye,238,289,415
Aruba,Cambodia,0,2,14
Aruba,Portugal,65,156,120
Aruba,"Bolivia, Plurinational State of",4,0,1
Aruba,Dominica,0,0,0
Aruba,Norway,429,186,127
Aruba,Slovakia,1,0,0
Aruba,Czech Republic,135,41,24
Aruba,Pakistan,,,28
Aruba,Chile,0,0,0
Aruba,Romania,165,0,0
Aruba,Lebanon,50,15,19
Aruba,Yemen,,,
Aruba,Kenya,0,0,0
Aruba,Slovenia,0,0,0
Aruba,Mongolia,68,,0
Aruba,Ukraine,0,0,1
Aruba,Bangladesh,0,6,0
Aruba,Bulgaria,8,0,0
Aruba,Croatia,2,1,0
Aruba,"Iran, Islamic Republic of",6024,2069,85
Aruba,Lithuania,40,0,0
Aruba,Malta,0,98,0
Aruba,Nicaragua,1,0,0
Aruba,Saint Lucia,18,3,6
Aruba,Saint Vincent and the Grenadines,0,0,0
Aruba,Singapore,416,136,0
Aruba,Viet Nam,686,443,53
Aruba,Sudan (before 2012),641,42,0
Aruba,Anguilla,0,0,1
