reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Australia,China,8838251,11061501,13624882,17996590,22247264,20645567,27220264,33910013,37734920,37554163,39145950,40378582,37634374,41582543,47547551,48229554,53468167,66383683,78827036,74022144
Australia,United States of America,13958030,15588653,17782205,19206823,22428618,19604111,21808100,27623034,31145607,26110918,26494856,25033316,22145065,24519387,25333736,25867258,23381674,26454062,30209759,33678509
Australia,"Korea, Republic of",3378483,3812063,4692088,4691190,5171339,5243141,6641619,8163844,9250484,9563658,10308827,10839238,7488836,19851353,9626365,7890601,6187064,9745267,18753026,17791354
Australia,Japan,11814728,12418294,12489136,14202594,17296006,12168641,15897304,17813084,18425372,16969964,14176009,12853711,14119933,16010774,17087806,14495808,12146209,15265489,16643288,16754996
Australia,Singapore,6609681,8513011,10392290,11319563,14201621,10610492,12601702,16078723,17067024,15752450,15481411,11494260,9371205,10000214,12680449,11297061,8555067,13046362,16596834,15131009
Australia,Germany,5767661,6243211,6900775,7972180,9787978,8874506,10482158,11676187,12077909,11441295,10395623,9339124,9938902,10728864,11820076,10320292,9696329,11674577,12418950,12621092
Australia,Thailand,2461489,3161274,4371247,5747508,7988657,8579115,9369587,7997111,9762752,10348959,9298849,9640264,10230408,10475974,10678100,10154352,9722118,10729150,11066221,11852887
Australia,Malaysia,4156723,4790396,4558867,5927779,7302303,5681913,7467064,8206252,9418819,9268223,10076154,7233231,6460606,7540245,8284520,6857577,5788577,8483997,11106852,10945464
Australia,United Kingdom,4418936,4955626,5187245,6822024,7936373,4756151,5147792,6919094,7017649,6337133,6056547,5784002,5302229,5765921,5896705,5529036,5219856,5788895,5443137,5849833
Australia,"Taipei, Chinese",2242597,2357174,2720614,3223557,3469089,2346759,3133802,3648532,3653830,3755350,3548239,3198752,2947427,2935295,3401479,3241088,3248455,4817377,7545288,5792227
Australia,Italy,3140959,3108404,3181819,3798097,4225520,3313211,3555515,4157686,4768437,4988413,4780651,3960456,3950329,4370926,4731435,4481361,4212600,5097443,5532065,5519839
Australia,New Zealand,4239423,4645546,4583028,5910750,7124894,5739721,7230347,10847783,8023927,7491506,7292244,5837826,5761733,5773459,5696667,5186013,4754142,4965815,4940833,4776724
Australia,Netherlands,1158019,1270018,1370767,1638595,2045360,1728958,1873103,2517073,2951123,2960649,2896889,2483024,2581095,2935270,3631085,3639891,3505464,4036000,3562278,4576289
Australia,France,2920336,3031023,2747017,3167618,4963415,3476213,4255124,5296809,3856439,3677597,3431423,2614706,2472805,2903275,3113031,2968015,3052629,3458583,3535880,3922670
Australia,"Hong Kong, China",3264156,3483876,3992170,4441301,5051477,4652450,4900672,5344099,5202762,4887335,4470237,4694630,4730614,4601565,4622734,4162044,4398722,4729570,4311923,3509852
Australia,Switzerland,1046711,1154263,1320824,1657128,1986831,1882523,2094219,2818133,3271727,3137471,2778907,2514222,2372966,2471609,2809112,2622238,2314182,2428347,2708235,2826417
Australia,Belgium,1410900,1526639,1442228,1722437,1873400,1757514,2218805,2464745,2380384,2419586,2196374,1920381,2007883,2111302,2212000,1978915,2049747,2971452,2410900,2540301
Australia,Canada,1212578,1354309,1623443,1629150,2021237,1558017,1701764,1916685,2040707,1604017,1591633,1485175,1476732,1540218,1583594,1706914,1597102,1860477,2417422,2337506
Australia,Spain,932405,923285,941687,1410981,1529698,1163946,1471318,2149057,2852067,3240422,1893300,1661272,1500062,1865477,1892231,1748924,1683799,1914396,1726098,1950204
Australia,Sweden,1323461,1500001,1953889,1932959,2093031,1680119,1997368,2356350,2016085,1749647,1542937,1357335,1465031,1667846,1865821,1759003,1668800,1537450,1627209,1743218
Australia,Austria,630151,703565,772102,910764,1099794,836853,857066,941423,953196,980988,1041426,825338,1138664,1274844,1394609,1712829,1127065,1307666,1306860,1405909
Australia,Denmark,636274,585601,621729,708476,762017,811096,784767,1210433,1014312,997751,853742,805170,937801,1048680,959375,898286,855133,1002486,1016678,1100436
Australia,South Africa,1026880,1414987,1189758,1278396,1494372,725837,940967,859734,890750,811476,841155,852346,744183,904213,866352,747657,756938,839708,834677,1068875
Australia,Poland,174384,179547,139040,201514,297474,238232,284426,374637,470372,515129,649342,567111,559442,714423,661642,685570,881528,1067871,931868,1056735
Australia,Türkiye,226794,227524,289008,291834,367316,304983,336488,410549,421731,614524,544176,521308,633455,538220,687105,661157,726892,971035,965683,944847
Australia,Ireland,915346,910769,1009879,1145233,1097828,1044114,1036447,985657,930478,944129,945744,1026257,1633746,1004150,982691,869083,1015658,989389,1651520,908049
Australia,Finland,497452,541703,507625,659586,852031,449311,535988,829304,759942,628290,556191,452517,430821,569572,743125,723751,707778,808192,872239,858808
Australia,Brazil,367755,464101,511757,614174,1252557,492675,586980,803361,504066,450669,420405,400299,419799,464718,472912,453100,466888,560620,733103,713847
Australia,Czech Republic,100578,103900,159972,246614,306061,192724,296526,405761,517664,678726,605895,608208,426443,430244,437574,436164,474657,606315,632201,601832
Australia,Argentina,123251,145160,135366,210411,309376,242347,286693,588849,585001,736647,708863,609968,515388,626331,620867,521111,567302,620719,645967,541042
Australia,Hungary,66928,92032,125101,136445,132989,252860,288703,316110,206691,241672,427509,435409,449037,411247,477738,561438,334965,488758,734354,511861
Australia,Slovakia,39918,32943,77803,94609,155946,74110,104988,131901,165809,294944,327250,303192,199533,204330,147503,314510,238118,323422,348524,456733
Australia,Portugal,131776,100643,80810,81625,75368,61472,86672,100362,101473,119566,124140,119943,135503,152712,219971,147495,167594,259684,259361,318827
Australia,Norway,153088,191664,193369,286631,246196,212926,238977,267907,400717,299957,318274,322536,188473,194550,294553,191090,224398,296263,299221,305436
Australia,Chile,89587,96768,135443,280526,532366,463773,776173,887405,1194992,878710,848589,500277,328848,225091,220331,331146,336165,437114,268208,253087
Australia,Greece,97363,97925,99363,97160,146269,110008,142679,153229,157867,161098,174578,153933,142126,170595,186917,210951,229635,251572,246174,200775
Australia,Slovenia,27696,35508,40781,39827,37798,29540,35010,47965,80252,103183,92968,81163,91564,111171,141015,107579,125226,127926,123494,161722
Australia,Lithuania,4766,7073,4842,4111,20459,12020,13850,16552,19545,23892,33197,31184,36921,46360,72578,61671,117277,128962,167034,117561
Australia,Romania,9004,9579,6893,18666,39507,20964,19391,34750,33755,35522,49414,56508,64737,82414,92785,75317,98763,105635,116411,114889
Australia,Colombia,21135,17206,16264,17110,22238,19466,33672,37954,40205,47764,49594,47846,47577,57021,56283,85334,145446,210711,261594,98259
Australia,"Bolivia, Plurinational State of",1909,2887,4566,3807,6490,36078,67559,124926,113515,163483,125604,88559,140252,149060,172828,176526,131618,182683,193435,95563
Australia,Peru,49503,54562,38286,97850,79927,114755,117872,115354,99545,130887,127490,100055,259585,240261,209710,87739,124398,124561,96017,80330
Australia,Estonia,10039,13440,7955,5041,13602,12695,32228,33654,28791,30685,34051,39166,36411,48290,83221,84330,174268,86963,90090,77670
Australia,Bulgaria,11410,12394,11543,13396,22881,23831,14326,23603,26785,29449,27596,31345,36004,30957,39364,55384,50808,48210,50576,52215
Australia,Serbia,,,4650,5987,7111,3603,4653,6604,8057,9551,10401,8858,9757,11654,13605,15331,21037,27335,30691,45447
Australia,Latvia,2251,2721,2198,2329,3449,2944,3472,5607,7086,10268,12219,14911,12055,16520,29421,19859,26306,45115,45320,39475
Australia,Croatia,11319,12497,10862,13720,16182,25030,22596,19628,25158,16242,14965,17664,26259,21543,21460,20837,21576,22494,24924,36907
Australia,Malta,2422,3565,4896,7461,5450,5199,13664,4704,5100,10763,9823,11626,11648,6605,5315,4491,3167,4723,13352,32630
Australia,Iceland,7771,4005,3796,4715,6042,5158,12295,9880,6732,4798,31848,15103,11650,22398,21541,13956,13717,19696,35145,31897
Australia,Cyprus,1469,2067,2589,5219,7527,7208,7852,9612,12392,15451,19300,15944,19446,24617,22944,21024,27330,23803,18687,25008
Australia,Costa Rica,5720,5565,5846,11329,37551,31353,33127,38050,20990,17349,23081,31183,24138,33098,27373,27454,15617,19181,20855,24537
Australia,Luxembourg,18851,22513,30271,34743,44326,35324,28653,38748,38708,47864,25529,21244,20528,1,22344,27037,20411,28393,26490,23145
Australia,Ukraine,5301,9584,8641,12793,56318,17458,23568,23449,37695,32659,18249,10717,12831,14948,30034,43474,42333,60911,20686,17749
Australia,Guatemala,1699,1462,1350,2777,3185,3760,3697,8462,8120,6510,9003,20193,8968,11709,13095,13924,13155,21120,18126,16947
Australia,Ecuador,4411,5281,5923,7670,7879,9350,14142,16680,17292,19590,17031,20955,17572,18131,17985,13539,13420,15167,17439,15382
