reporter,partner,Imported value in 2001,Imported value in 2002,Imported value in 2003
Benin,China,520457,420855,471062
Benin,France,206926,214593,236560
Benin,Thailand,38440,29799,73587
Benin,Côte d'Ivoire,30810,41821,74368
Benin,United Kingdom,48171,65099,76085
Benin,Belgium,37409,48580,66533
Benin,Togo,37157,33135,46215
Benin,United States of America,32190,35153,30151
Benin,Germany,49924,45828,52358
Benin,Netherlands,48138,49935,53800
Benin,India,51006,61979,61158
Benin,Italy,49852,64419,51786
Benin,Singapore,12467,14364,15110
Benin,Senegal,6764,21692,32763
Benin,Indonesia,14816,15543,16194
Benin,Spain,22655,22244,24251
Benin,Brazil,9330,8720,13547
Benin,Japan,9321,8535,13891
Benin,Ghana,17312,,42399
Benin,"Korea, Republic of",14801,15866,14530
Benin,South Africa,8469,12440,12568
Benin,Malaysia,3184,3638,21831
Benin,Cameroon,1340,1395,3092
Benin,Switzerland,21286,16407,15778
Benin,Morocco,3140,4136,7620
Benin,Burkina Faso,1700,890,9527
Benin,"Hong Kong, China",17763,14991,8315
Benin,Türkiye,4049,4919,5400
Benin,Canada,4990,3591,4372
Benin,Austria,6098,3974,3638
Benin,Denmark,3829,5007,3470
Benin,Ireland,6674,4978,3931
Benin,Romania,91,104,514
Benin,Niger,2233,5034,3872
Benin,Argentina,334,1039,1925
Benin,Israel,349,863,2901
Benin,Tunisia,2078,2778,3063
Benin,"Taipei, Chinese",7967,5382,3154
Benin,New Zealand,2,381,1485
Benin,Latvia,8,18,7
Benin,Sweden,2173,1811,3265
Benin,Finland,1215,818,815
Benin,Ukraine,527,8467,922
Benin,Lebanon,326,651,876
Benin,Poland,393,707,907
Benin,Bulgaria,81,94,85
Benin,Portugal,1193,1096,1805
Benin,Viet Nam,245,780,504
Benin,Norway,448,1691,1653
Benin,Egypt,247,1107,1791
Benin,Colombia,126,94,776
Benin,Greece,608,136,358
Benin,Czech Republic,999,959,1100
Benin,Mali,65,501,1919
Benin,Syrian Arab Republic,0,0,1039
Benin,Pakistan,,,3976
Benin,Gabon,184,1758,237
Benin,Bangladesh,150,302,22
Benin,Mauritius,42,59,63
Benin,Hungary,332,277,624
Benin,Saudi Arabia,203,0,0
Benin,Australia,458,692,571
Benin,Kenya,371,68,469
Benin,Slovakia,184,633,794
Benin,Luxembourg,402,367,148
Benin,Cyprus,1459,116,212
Benin,Madagascar,0,0,4
Benin,Malta,1309,53,118
Benin,Mexico,81,11,540
Benin,Qatar,0,0,0
Benin,Slovenia,81,92,105
Benin,Chile,1087,556,100
Benin,Lithuania,68,79,350
Benin,Peru,0,44,10
Benin,Guinea,307,11,
Benin,"Iran, Islamic Republic of",137,399,613
Benin,Estonia,379,394,0
Benin,Guyana,0,0,0
Benin,Oman,94,0,27
Benin,Dominican Republic,0,0,0
Benin,Uruguay,0,16,50
Benin,Philippines,545,533,775
Benin,Jordan,4,0,0
Benin,"Tanzania, United Republic of",0,0,0
Benin,Mauritania,126,62,272
Benin,Russian Federation,117,792,63
Benin,Namibia,0,0,46
Benin,Ecuador,0,0,0
Benin,Serbia and Montenegro,188,195,
Benin,Sri Lanka,0,1,13
Benin,Algeria,0,24668,17
Benin,Kuwait,0,32,70
Benin,Uganda,0,0,116
Benin,Zimbabwe,0,2,11
Benin,"Venezuela, Bolivarian Republic of",0,0,6
Benin,Costa Rica,0,0,0
Benin,Zambia,0,0,1
Benin,"Bolivia, Plurinational State of",0,0,9
Benin,Botswana,0,8,0
Benin,Burundi,4,0,2
Benin,Belarus,497,0,36
Benin,Croatia,0,32,30
Benin,Gambia,0,0,0
Benin,Malawi,0,0,584
Benin,Mozambique,5,0,0
Benin,Rwanda,0,3,0
Benin,Trinidad and Tobago,0,0,2614
Benin,Central African Republic,20,0,0
Benin,Nigeria,4000,61120,15199
