reporter,Importers,Exported value in 2001,Exported value in 2002,Exported value in 2003
Brazil,United States of America,14466412,16690150,18991825
Brazil,China,2347233,3003020,5842292
Brazil,Argentina,5277761,2518267,4699633
Brazil,Germany,3650909,3570731,4355776
Brazil,Mexico,2101048,2564593,3267150
Brazil,Japan,2539653,2667125,2881346
Brazil,Netherlands,2301239,2058688,2627471
Brazil,Italy,2082239,2037549,2435900
Brazil,United Kingdom,2242832,2492324,2832711
Brazil,Chile,1490816,1859717,2450965
Brazil,France,2337758,2193271,2761551
Brazil,Spain,1273386,1307183,1898742
Brazil,"Korea, Republic of",1125710,1247972,1619221
Brazil,Belgium,1418316,1570242,1903984
Brazil,Canada,988973,1214384,1426489
Brazil,Russian Federation,923148,1304093,1478928
Brazil,Colombia,582060,642840,769003
Brazil,"Taipei, Chinese",443992,585337,916910
Brazil,"Venezuela, Bolivarian Republic of",974976,755454,555489
Brazil,Portugal,499060,619709,746441
Brazil,South Africa,694462,467360,712498
Brazil,"Hong Kong, China",555271,631943,754286
Brazil,Saudi Arabia,637033,542774,754371
Brazil,Paraguay,605533,512993,655762
Brazil,Thailand,267487,365363,563207
Brazil,Peru,327707,489461,549379
Brazil,"Iran, Islamic Republic of",825887,715612,1025556
Brazil,Uruguay,625884,389602,459767
Brazil,India,270996,339285,312720
Brazil,Syrian Arab Republic,193197,333898,210725
Brazil,Singapore,276341,415624,320785
Brazil,Türkiye,212121,236062,401748
Brazil,Sweden,197574,230862,271058
Brazil,Ireland,122394,157361,335625
Brazil,Poland,380021,229988,232392
Brazil,Trinidad and Tobago,199928,197567,353215
Brazil,Ecuador,194622,405932,398193
Brazil,"Bolivia, Plurinational State of",276444,392450,347958
Brazil,Australia,289279,279138,347512
Brazil,Morocco,271526,303714,268110
Brazil,Switzerland,553355,469853,393326
Brazil,Indonesia,169751,273551,331682
Brazil,Algeria,53424,106659,180127
Brazil,Egypt,252036,364421,369776
Brazil,Romania,215989,193676,255069
Brazil,Norway,254509,207311,347509
Brazil,Austria,177127,169571,205549
Brazil,Costa Rica,110682,162887,209513
Brazil,Malaysia,192910,217170,229995
Brazil,Greece,168845,93796,136264
Brazil,Finland,182752,176141,242276
