reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
Brazil,China,8672861,9992524,12909495,18342071,29863443,28280983,38099447,52386750,52281127,54299123,51653225,44339257,45603468,58476878,77141726,79962547,85517209,109877876,109522043,122450862
Brazil,United States of America,22738203,26217185,28031247,27193410,32072885,21017805,25009190,32838643,33254643,28658285,31607114,28523717,27047119,30563486,32394688,32164478,24508358,32822485,41370532,40998269
Brazil,Argentina,7562429,10625328,11871444,14660266,17976761,11819237,17948822,22181035,17676647,19161458,14340808,13005591,13597452,17990350,15697797,10159331,8685285,12442342,15190063,16510291
Brazil,Netherlands,3372701,3481948,3734089,5459961,7152683,5429961,5829638,7808968,7254180,7716645,6164678,4801384,4665095,4574092,4347950,4318952,4492245,6335809,8123094,11768280
Brazil,Japan,3651725,4421122,5084301,5998114,9109978,6351164,9817179,12672696,11932310,11135992,9685506,7466080,6751261,7169665,6893779,7974672,7505140,9868371,11171636,11086371
Brazil,Germany,5694342,7329632,8913089,11452766,13910238,9952081,12470262,15527406,13505750,11723894,11937091,9332237,8814518,8772875,8848335,7876491,6955898,8924374,10007293,8913979
Brazil,Chile,3094033,4596793,5249162,5618869,7119657,3470932,4628885,6191667,5157459,5110712,5675016,4907682,4755380,5677576,6757681,6301301,4718041,8165599,10983004,8824683
Brazil,Spain,2286173,2579024,2718712,4197238,4623306,3169041,4040880,5008938,4325013,4335699,4039786,3440977,3231067,4608489,5710473,4275274,4016009,5477705,9557258,7927789
Brazil,Canada,1807131,2594773,3005803,3140213,2529392,2267414,3197836,3919263,3971088,3523485,3135750,2933369,2914242,3636546,4247740,4078888,4908913,5966377,6540884,6798938
Brazil,"Korea, Republic of",2195407,2500785,2706904,2793711,4380460,3743503,4712085,6342934,6085364,5572421,4906265,4059499,3442932,3700980,3904194,4297099,4237491,6619677,7930236,6724277
Brazil,Singapore,600474,713234,716757,866488,1327449,1226329,1292227,1918252,2045518,1701871,2222761,1381658,1114657,1449430,1556684,1471831,2651686,4083556,7557972,5815769
Brazil,Italy,3317218,3577611,4325032,5185174,5653755,3369226,4384220,5772623,4375768,4261362,4118220,3552068,3572872,3745325,3981535,3524883,3436615,5057697,5903401,4902344
Brazil,United Kingdom,3257144,3665609,4165949,5172168,5937117,5056327,6464489,6381174,5088045,4478392,4224312,3482089,3217233,3130526,3014909,3020431,2896058,3391304,4925283,4803086
Brazil,Thailand,811007,1081784,873259,1195395,2126196,1325362,1805593,2266165,2447893,1965364,2116855,2101192,2171014,2186140,2074231,2065461,2368574,3406106,3940645,4512085
Brazil,France,3093923,3456015,3667181,4811758,5848540,3975282,4884501,5678397,5427518,4536907,3812918,3238355,3005538,3340776,3568772,3418514,2782750,3429584,4498897,4305580
Brazil,Türkiye,566243,798539,934759,1172669,1423868,1105890,1347525,2074354,1770094,1485005,1839058,1792241,1787944,2544928,3257706,2655109,3228353,3827078,4831721,4139841
Brazil,Colombia,1352172,1383387,1884885,2393940,2328416,2146578,2369637,2740248,2795908,2590480,2465559,2084310,2117351,2286013,2828205,3033232,2435489,3502317,5495150,4044885
Brazil,Portugal,1066033,1220180,1544176,1876530,1991636,1238471,1384700,2035812,1760578,1104801,1148539,953435,1166542,1377942,1341392,1150400,1829234,3014605,4809205,3963417
Brazil,Paraguay,847859,894715,1029218,1707556,2426740,1611803,2416871,3045292,2672356,3075322,3277235,2625470,2423179,2774353,3112290,2673723,2453481,3314878,3678379,3955381
Brazil,Peru,698456,1028360,1597224,1879292,2417838,1680677,2182769,2439665,2579168,2324817,1994461,1931717,2127055,2452729,2414395,2429905,1982016,3430911,4206326,3744730
Brazil,Malaysia,342932,522716,691036,956176,1041541,938429,1212409,1773036,1799980,1802518,1818785,1740241,2041978,2105740,1967220,1821999,2069363,2794931,2775902,2725103
Brazil,"Taipei, Chinese",1340440,1220864,1067660,1340712,2183344,1302181,2441146,3008185,3052086,2764360,2233812,1899941,1945124,2601705,1637191,2058604,2029946,2615305,2432855,2709170
Brazil,Belgium,1986689,2154068,2934972,4097335,4252056,2556949,3013973,3876706,3438583,3173295,3210111,2882800,2946215,3014200,2892128,2656603,2327387,2781448,3801800,2555109
Brazil,Poland,532640,476013,599234,680171,707944,677176,796967,1022013,905998,920320,1155097,1013562,891668,1186524,1823075,1546742,1408084,1669126,2129825,2102120
Brazil,Norway,391671,515470,617849,857062,1149052,839938,1050513,1367823,1454381,1327244,1277052,1267999,1083775,1180292,1432459,1449906,1311439,1568043,1804616,1981959
Brazil,"Bolivia, Plurinational State of",493447,523527,587126,719120,925257,788575,1010167,1395476,1524450,1605220,1665958,1613531,1496050,1559955,1609333,1571502,1195920,1694911,1966775,1910834
Brazil,Switzerland,443513,584546,805191,939535,1169824,1046986,816203,1040062,2116439,2019017,1749605,1487475,1237914,1159454,1718190,1373864,1484644,1754032,1720726,1737539
Brazil,South Africa,996828,1309806,1381333,1658571,1661143,1242161,1366627,1669392,1665816,1606911,1366999,1400577,1405266,1560195,1495245,1185512,1062072,1302216,1597969,1439290
Brazil,"Hong Kong, China",877550,919751,1083246,1428741,1825971,1938131,1775254,2099208,2319758,2740054,3247115,2139410,2335877,2460635,2739515,2251215,2234975,1958998,1166887,1244924
Brazil,Ecuador,508067,685183,883961,730927,894281,673461,853815,949896,925333,907768,858536,712309,671949,876309,981400,959509,662991,994904,1328187,1232256
Brazil,Sweden,553212,472044,518509,696214,878885,485975,514584,718788,628591,543420,609158,618886,536521,535002,617634,406292,424408,754907,978726,959702
Brazil,Australia,452383,620047,705009,847994,1166230,534184,787969,851169,654702,546832,534258,483002,560268,561577,614642,590215,597727,676332,889882,950887
Brazil,Costa Rica,350188,385332,392887,418831,420105,271084,294577,351743,424196,383384,272705,296026,330052,306920,349801,348364,305762,408689,546889,659800
Brazil,Guatemala,163554,432488,375570,308715,268794,279103,232907,274690,250791,249339,202375,249454,215121,287562,267385,321785,293522,419508,765913,656102
Brazil,Finland,316469,508329,732306,867320,910307,649853,849853,759980,950380,783196,692384,541763,579079,590467,619727,500139,429112,502547,812835,597500
Brazil,Slovenia,107242,88876,114840,178071,140607,111243,122967,205302,158031,141417,205132,215107,241249,235298,285198,218081,224400,235043,264367,578986
Brazil,Denmark,184923,209114,286068,406501,416191,322251,469650,285690,311511,302080,366180,202947,143375,186029,284843,184499,211088,282093,455929,562872
Brazil,Greece,331273,295301,202671,327253,375312,241631,385402,197567,134599,124246,151886,116771,148618,107225,155705,149803,199429,226726,368470,442184
Brazil,Bulgaria,236334,312431,460403,351456,309140,204688,101432,134231,184689,67479,70306,33617,28377,22036,52597,57468,118513,215644,322571,424949
Brazil,Romania,397036,494013,571038,530327,634273,425969,407829,663091,456609,435266,306709,327229,285247,328059,451062,384418,295691,381920,448121,369125
Brazil,Brazil,117684,80161,72758,76951,188274,210527,794274,748710,371514,708996,486562,678199,299364,134010,7384405,7018823,248954,345539,305301,354732
Brazil,El Salvador,168420,286696,319762,316192,369907,197790,129054,182685,218380,167768,158142,169813,153247,142550,107016,121867,101592,123607,348387,340348
Brazil,Ireland,543058,272079,554728,511485,789826,478434,795184,1449478,1410887,663612,710711,526051,458463,235601,289760,554479,322870,414248,468435,293655
Brazil,Iceland,13005,9978,6081,8240,19593,147818,339966,280309,317436,367265,293702,310149,96091,235701,221441,137111,261194,385600,295914,223061
Brazil,Ukraine,270208,312491,279810,430889,562214,375517,459597,542905,572207,463288,261175,166112,193058,210386,195088,218259,266805,384492,230733,205401
Brazil,New Zealand,78191,85276,81259,112361,112465,61764,70147,156239,91052,82371,100054,105790,141312,124693,126470,126266,140950,154249,240090,182625
Brazil,Austria,360735,373194,459326,604171,713307,557791,667449,831644,373863,366447,368521,315506,241701,303027,535993,397727,333003,353885,473272,167300
Brazil,Czech Republic,186260,193558,189420,292306,382576,267125,255893,351602,354307,280416,301670,269712,221374,237378,369610,271168,208658,226754,278505,158807
Brazil,Bosnia and Herzegovina,37630,43038,65962,124151,172023,139422,173892,234521,177479,178078,117431,110733,120004,110408,96776,97030,94602,103873,179054,140819
Brazil,Serbia,,,92175,130552,142001,114728,108463,97050,84424,75184,101585,79349,86317,110467,80109,63370,67526,90658,111272,105445
Brazil,Hungary,140521,207432,115918,136007,137001,106330,108793,140293,162735,127901,154750,202014,180927,191264,184232,157637,103409,101233,91578,96195
Brazil,Madagascar,13087,15493,6669,10977,33831,23272,23244,33295,22109,21306,33528,25209,31366,59260,28446,28657,43409,70656,39040,63699
Brazil,Slovakia,84499,84232,90125,97520,175619,73274,92922,110896,98511,110960,118641,100088,89236,69967,109744,81096,59854,101815,116902,49021
Brazil,Cabo Verde,21416,36993,34707,45784,46192,32305,31906,35606,30776,25538,25200,22954,19440,24187,22386,23476,23940,25111,36244,41997
Brazil,Lithuania,11220,21401,32097,28573,48369,30766,34074,45170,37837,56087,33832,27464,24982,25302,28020,25377,26275,29150,41811,39090
Brazil,Estonia,26515,35662,27416,39812,56925,31688,39814,49556,104536,48517,48440,40998,22168,36078,44089,29288,26365,44517,52629,31284
Brazil,Malta,22010,14437,12214,22727,31698,13895,18956,21798,24750,18278,25436,15503,14387,13916,10952,10988,11440,9759,16615,16180
Brazil,Belize,3741,3944,4849,4197,4357,4267,3274,2989,4321,6492,5939,5826,6059,6311,6898,8400,7441,6253,11998,14113
Brazil,Croatia,116727,132364,150726,225929,256590,190499,155929,219871,199863,95585,89783,43213,80140,43536,34707,47837,19866,18220,27473,12997
Brazil,Cyprus,58550,113343,177058,233097,102557,17306,19791,21121,111690,17518,12851,10800,18069,17464,17510,32899,10399,9435,14978,12885
Brazil,Latvia,8651,8275,11518,11185,10452,3235,2796,14975,2741,2844,4716,4134,3001,8900,7909,13031,10027,17279,10726,12711
Brazil,Luxembourg,27665,58050,26999,27910,86210,21684,21066,44894,20445,16809,18894,13944,70959,34448,30587,24466,16693,18333,21695,4601
Brazil,Cayman Islands,,,,,,,,,,,,,,,,,1468,1723,,
Brazil,Liberia,,,,,,,,,,,,,,21130,18955,21501,18969,27712,28650,
Brazil,Uzbekistan,,,,,,,,,,,,,,320922,50725,115504,89115,348087,553445,
Brazil,Curaçao,,,,,,,,,,,,,,21929,25436,26273,27421,,,
Brazil,"Congo, Democratic Republic of the",,,,,,,,,,,,41123,37708,41242,34872,40003,57553,76546,96405,
Brazil,Tajikistan,,,,,,,,,,,10824,2759,7716,4858,12902,5554,1044,13751,7892,
Brazil,Sierra Leone,,,,,,,,,,,12218,51130,13898,42940,24959,,,,,
Brazil,Iraq,,,,,,,,,,,118989,,,,,,,,,
Brazil,Haiti,,,,,,,,,,71755,45468,47115,45446,40232,,,,,,
Brazil,Palau,,,,,,,,,5,,13,14,11,2,13,,,,,
Brazil,Bermuda,,,,,,,,,875,950,1230,1818,999,701,1544,796,1497,1714,1857,
Brazil,Sudan,,,,,,,,,89295,25020,23862,23823,31175,40115,18176,,,,,
Brazil,Myanmar,,,,,,,8550,20324,4247,7912,14820,21931,106450,238492,96898,86919,69543,76091,76942,
Brazil,Lao People's Democratic Republic,,,,,,,163,25,31,12,200,39,97,1157,3107,4423,1316,723,,
Brazil,Nepal,,,,,,996,5652,19965,56029,122731,32934,19086,41730,19400,52743,37700,23235,62784,86710,
Brazil,Djibouti,,,,,,975,,,,,,,,,,,,,,
Brazil,Tonga,,,,,463,219,62,281,485,413,326,,,1052,578,928,711,616,2327,
Brazil,Afghanistan,,,,,1688,7949,25215,12072,13252,8643,20137,10395,8377,4253,2071,4603,,,,
Brazil,"Libya, State of",,,,125807,124768,77273,427714,,,,,147870,141491,160896,228116,281373,,,,
Brazil,Congo,,,,17451,26364,30878,15250,140299,452113,282561,74580,69666,29442,24363,26771,25283,33079,76357,95285,
Brazil,"Palestine, State of",,,,9786,18036,15741,9180,20484,19323,20035,23438,37049,26628,24392,33286,35883,39339,38036,45894,
