reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Brunei Darussalam,Total,1490117,1489971,1819348,3596922,2402453,2334755,2905952,5803920,5922580,7777625,6573015,4809179,3281105,2819334,4586183,3950406,3704987,5875327,6397022,4806289
Brunei Darussalam,Malaysia,318126,359821,345836,402437,449088,443430,449850,544469,690797,821038,858913,692016,513243,537161,548547,552430,661156,1394387,1685108,1397874
Brunei Darussalam,China,47891,53141,99630,113149,130543,140455,367609,744394,1252438,1703776,1746815,1411657,567520,653107,1597617,649865,466218,639056,831169,871207
Brunei Darussalam,Singapore,488570,495683,573663,696123,871112,867790,946004,1576171,1542807,2206307,1896512,773371,764949,757722,882311,1114990,788916,746829,814177,828034
Brunei Darussalam,United Kingdom,123265,80116,145730,1737230,116403,95599,234061,213658,1281382,1492407,301162,630209,127387,82915,64024,72823,133783,58752,57460,764744
Brunei Darussalam,Australia,29344,22880,19984,25515,25454,26874,30723,37924,37641,49955,39635,35597,31569,32430,38764,36682,85326,419847,86658,361243
Brunei Darussalam,United States of America,47860,49614,47969,139630,111515,100203,124168,184372,157596,558209,549157,133447,614356,121119,266010,287861,120019,100387,110251,141540
Brunei Darussalam,Thailand,56494,68358,83033,91105,123678,117382,128648,137035,190746,166203,142533,104068,79178,80991,104385,116045,113375,82123,73824,96454
Brunei Darussalam,"Korea, Republic of",31591,61389,22435,26613,70209,57335,65093,588039,111727,102377,290269,272417,66644,63820,61784,73663,81951,45641,49721,60250
Brunei Darussalam,Japan,108002,104508,101296,123048,180725,162767,149652,143253,187646,152223,106773,120286,83604,84887,99326,132768,103370,233256,59999,56036
Brunei Darussalam,Germany,57142,27345,45837,37346,46418,50562,169065,482024,66107,74004,177546,166975,73792,58061,129905,76402,71691,56083,41428,54665
Brunei Darussalam,Colombia,0,0,2,0,11,3,111,92,5,49,0,10,54,23,19,70,20,6,230395,25335
Brunei Darussalam,"Hong Kong, China",56368,31931,28987,29692,25461,15466,10581,12984,19067,30317,23030,22498,20782,20380,18407,15303,16234,39750,26727,24095
Brunei Darussalam,Netherlands,12057,9604,9637,14029,15781,20505,19746,19593,21519,38663,23805,33824,30069,51835,34244,47979,30180,38109,19435,22820
Brunei Darussalam,Italy,11652,10841,32147,9970,17585,21071,10838,20436,50243,40322,60233,52854,24423,18675,23884,70923,22155,19063,18896,21353
Brunei Darussalam,Belgium,5211,3020,3571,15103,15797,6681,5981,16408,15921,12508,9762,9351,7439,3216,17564,123146,11503,13141,24507,14216
Brunei Darussalam,"Taipei, Chinese",13283,16370,13726,16562,27527,30146,25559,37678,33471,30844,25483,23744,13759,12025,12842,11889,57830,24396,29046,12742
Brunei Darussalam,Spain,5955,5444,3064,879,11775,1884,1688,1653,3255,3104,3989,3415,2175,3344,5513,11950,3860,9678,3010,9367
Brunei Darussalam,Canada,3496,2630,15548,2829,2436,4998,11806,3703,4306,23231,9623,2279,9085,2466,4998,6612,6895,6206,6482,8837
Brunei Darussalam,France,9397,6084,19516,13154,15298,13818,5781,12963,16592,14053,6732,78962,21982,6131,428651,9319,9274,8469,7297,6444
Brunei Darussalam,New Zealand,2355,2318,64479,2192,2752,2667,2610,5177,4717,5730,5280,3277,3508,3681,3913,3854,3456,3983,2811,4200
Brunei Darussalam,Türkiye,1051,593,694,953,730,828,590,6616,869,5533,5527,4869,8122,1346,2568,4581,2006,8701,3146,3777
Brunei Darussalam,Slovakia,761,1596,1104,2125,1791,2237,1549,2166,1562,481,902,220,159,127,24,261,2310,3597,1904,3415
Brunei Darussalam,Norway,1120,1833,2042,3367,2378,2521,4677,3630,11613,4511,5678,2981,1600,1894,2248,4819,1718,218413,1564,2431
Brunei Darussalam,Denmark,487,629,690,1262,3875,3861,1599,2270,4039,5142,2307,1867,1614,4959,2189,3038,2257,2563,5331,1985
Brunei Darussalam,Sweden,1250,1349,5260,2024,1557,1057,2063,3616,1977,4835,3790,1998,3564,3359,3276,2697,1498,2455,1068,1978
Brunei Darussalam,Switzerland,2615,1505,13219,16027,7157,2401,8399,2968,1580,2836,18680,8586,2854,3204,3082,20998,1008,1262,1563,1703
Brunei Darussalam,Romania,0,0,1121,4,199,231,196,226,362,298,421,547,293,390,797,3676,640,193,448,1129
Brunei Darussalam,Czech Republic,0,21,2909,242,507,92,253,527,813,748,287,1330,252,316,588,1743,675,2205,4811,1128
Brunei Darussalam,Austria,2275,697,4520,1575,2945,2246,1594,955,1837,458,1192,2949,1207,427,1212,6345,1961,2418,1731,1082
Brunei Darussalam,Ecuador,0,0,0,291,0,95,0,0,0,10,2,0,18,1,12,4,0,0,5,793
Brunei Darussalam,Hungary,5,105,111,413,32,85,239,399,324,178,2501,1466,7407,4817,2551,8885,4981,3556,3177,705
Brunei Darussalam,Finland,401,216,277,353,209,148,340,219,527,388,3745,1205,287,268,1692,390,505,199,922,684
Brunei Darussalam,Brazil,247,625,1044,540,1567,635,609,678,1092,2153,815,1346,592,744,909,1926,748,1123,855,631
Brunei Darussalam,Chile,0,0,0,0,0,0,25,0,0,14,0,199,0,901,728,566,957,621,268,620
Brunei Darussalam,Poland,20,4,504,766,13,900,220,895,16,6664,981,556,1644,1784,2277,646,427,679,27252,585
Brunei Darussalam,Slovenia,0,0,45,44,176,0,14,6,0,110,6,47,40,50,92,64,38,43,20,409
Brunei Darussalam,Lithuania,0,0,0,0,0,0,2,0,53,174,1072,51,39,55,168,109,205,330,389,330
Brunei Darussalam,Ireland,982,650,233,2743,987,1376,2801,1821,2123,1486,2715,2349,3234,1899,675,1295,736,434,1559,306
Brunei Darussalam,Portugal,31,85,0,132,175,156,17,354,289,424,4818,3462,2004,624,70,146,333,143,111,256
Brunei Darussalam,Greece,21,49,24,122,447,740,413,258,81,162,8,504,79,265,310,378,659,382,240,159
Brunei Darussalam,Serbia,,,0,0,0,37,14,0,0,2,0,7,0,0,4,8,1,0,45,153
Brunei Darussalam,South Africa,1792,4615,1836,1869,2420,1263,1428,1874,1835,2104,2101,559,1372,1105,1718,587,883,491,693,130
