reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
Canada,United States of America,260161286,294382272,307723064,317481897,339074076,227577354,280426518,317921220,327502570,337126102,354171825,303241052,284181632,306209371,325886992,326157091,277301761,366473071,448335040,431195849
Canada,China,7352990,7511155,7662114,10979292,12673351,12026170,14921961,22167123,23209148,25236971,25182010,26280562,18265806,20337636,28354115,28152090,22063323,30450113,42383257,43967531
Canada,Japan,8413348,8923739,9616385,9989138,12775760,9191204,10942481,12955022,12690507,11965834,11250091,9213840,9197703,10933551,11744687,11828394,10759364,13733312,16710400,14531930
Canada,United Kingdom,7979284,8589631,11225278,13994157,14973215,12866459,19081710,20140131,18840455,14897425,13733559,10717280,13430491,14870820,13667460,15907965,15008493,14165482,17033804,13952504
Canada,Germany,2966799,3396101,5025723,4771762,5640254,4445852,5389452,7079731,5496800,5483815,4819135,4369125,4514824,4845403,5552533,6335980,6317975,7291351,8382377,7498307
Canada,Switzerland,554161,997400,1014735,1449124,2837997,1268418,908940,611678,1304186,2789097,1563908,1069470,1110689,1931235,1960282,1221300,1841726,3476224,6604779,6653715
Canada,"Korea, Republic of",2188693,2603659,3091214,3254302,4403413,3534786,4350863,6611056,5247041,4716731,5443385,3985395,3942465,5042224,5753185,5757660,4405543,6363504,8538968,6194625
Canada,Netherlands,1116392,1344447,1781020,2239212,2266270,1547258,2210696,2727928,2159198,1681899,1793704,1759609,1586022,1698008,2012376,2297714,2498194,2898442,3745436,6067852
Canada,France,2176587,2476758,2642509,3472293,4007229,3304693,3345698,4212112,4465609,4369114,4053685,3039127,3206471,3535162,3577720,3467511,3573842,4606046,4350658,4528299
Canada,Canada,2850071,2926693,2959741,3473176,3506072,2922856,3838242,3974461,3380585,3375385,3327363,3107561,2959842,3124558,3385752,3458914,3000071,3790615,3707199,4408237
