reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
Chad,China,222586,191083,260313,84069,41604,65367,495797,265319,220729,103500,108342,90692,104770,279556,93922,452751,421471,196798,1085584,813068
Chad,Germany,12476,12266,10884,12265,9824,5223,90130,17852,4197,3534,4514,3526,4060,3048,1492,67392,278314,1064250,1233629,744572
Chad,Netherlands,56,34,177,45,38,60,23096,1697,483,370,261,119,15089,204799,351356,2426,8626,152140,451671,532089
Chad,France,8635,15291,14331,9082,56782,111025,46205,219964,11379,51200,7353,44411,101531,9838,56184,81892,327837,199895,418914,449786
Chad,"Taipei, Chinese",798,81219,55839,501,106627,51,683,57918,100779,48847,136787,65937,28195,26719,4,15,224923,463011,513107,327782
Chad,Türkiye,0,145,0,0,0,29,113,30,9662,12354,17270,21619,23657,27342,26271,35333,70732,109664,116296,154912
Chad,"Korea, Republic of",30280,53335,58232,837,250,5,1,0,0,1,0,9,19777,30,85,5,22,4,5,93011
Chad,United States of America,827895,1583641,2021271,2239869,3470795,2059913,2109848,3248085,2714443,2508538,2378793,1359849,957484,543115,494865,135828,3686,4237,4846,86483
Chad,Malaysia,176,1,3,445,1,107,53,0,1447,53,18,4,0,112,0,8,0,25,26,85393
Chad,United Kingdom,203033,153137,472,1422,1329,885,1144,678,2152,1734,311,1145,100,854,312,1093,1148,554,1269,1533
Chad,Poland,2518,2792,2239,2636,751,33,30,33,50,38,32,25,33,108,79,45,2,251,323,1273
Chad,Thailand,3260,3725,31501,13422,5020,2515,3961,898,281,1947,580,2337,22509,33223,15,36928,293,1386,2637,760
Chad,Italy,523,396,203,94,31,20,60,4301,102,2678,192,52993,36,1379,701,11,18,88,5,458
Chad,Japan,131,50,12212,94922,195819,488,68,140,37673,186906,296510,249711,69842,102,203,205,76,95,159,331
Chad,"Hong Kong, China",1,655,1,0,1,11,3,0,8,0,0,22,23,152,24,63,42,1,105,227
Chad,Belgium,22,29,53,276,235,17,18,8,876,31,173,49,3,115,1,22,505,23,6,184
Chad,Austria,146,4,12,66,1,3,41,0,48,56,169,420,1205,305,269,1,115,1032,846,175
Chad,Greece,0,24,0,0,0,0,0,0,25,19,0,392,219,182,0,174,0,362,0,152
Chad,Australia,11,28,25,39,0,38,2,4,0,0,103,93,19,24,55,69,282,15,7,143
Chad,Denmark,0,0,4,82,0,5,5,1,14,0,27,14,22,1,1,9,22,1,86,95
Chad,Ireland,17,506,588,2808,1356,2941,1288,63,64,7,303,16,196,121,1,39,99,16,1061,77
Chad,Canada,78,11,27,23,228,195,1052,440,115310,261,244,160,258,241,302,56,102,79,111,71
Chad,Switzerland,197,1,5201,2,2,0,18,130,666,1116,21,61,9,71,0,1,0,32,6,65
Chad,Singapore,0,0,0,0,0,0,0,0,25785,31920,17453,350,192,307,388,177,2671,133,7,59
Chad,Norway,0,0,2,160,0,0,0,9,2,0,0,301,10,40,5,5,0,1,3,55
Chad,South Africa,1,3,23,56,9,82,28,28,31,67,158,4,78,64,32,72,24,71,30,29
Chad,Brazil,0,7,6,12,0,273,1,2,111,23,12,66,0,37,3,108,0,37,71,28
Chad,Chile,0,0,12,1,0,4,63,48,26,5,17,4,13,3,32,5,7,173,24,19
Chad,Spain,1636,378,661,1748,1215,806,1025,924,245,801,678,295,114,185,30,20,9,59,4,12
Chad,Sweden,2924,1331,3110,1389,0,6,5,0,24,73,0,0,0,1,0,121,20,6,51,12
Chad,Madagascar,1,0,7,7,2,6,1,0,0,4,0,55,0,58,71,9,0,0,0,10
