reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Chad,China,5939,14932,14143,69660,79930,148898,308491,94803,172778,371893,317710,125250,95620,115157,185529,279107,298321,365271,282060,378056
Chad,Türkiye,1061,996,1497,3231,8872,4956,3323,5855,9739,13465,19355,17453,18533,17734,31567,40328,41485,52956,67910,155482
Chad,France,81246,93775,90092,132682,144197,147004,167165,146098,160919,159296,165806,145142,121424,98120,91270,96481,100910,82680,83270,125522
Chad,Belgium,17743,29875,23475,18825,24821,32359,38839,39354,32852,67106,68909,49312,26981,22083,17455,22687,25794,26859,81765,42103
Chad,Netherlands,12499,16823,13028,18935,31823,33707,25623,22013,25334,28778,51022,32003,12604,10476,28747,16892,56223,28097,28820,37658
Chad,United States of America,41433,53752,60254,71107,62515,62699,89670,35450,36552,41461,66500,56592,32817,31338,51380,84633,46111,41782,81527,31554
Chad,United Kingdom,8599,9426,5629,13087,23392,22721,20627,9053,11934,17447,13636,4186,3499,9443,27816,36793,11420,11369,21956,22347
Chad,Poland,551,366,583,617,258,849,2607,1366,2124,2455,5198,6982,3054,5370,7469,8004,6351,9611,9913,19762
Chad,Germany,23824,13868,35429,49235,46512,23724,26532,16809,25040,21520,47087,19455,20454,11262,16034,17138,13398,16850,22072,17005
Chad,"Hong Kong, China",0,15,672,5839,1519,8050,6006,7893,4769,7003,11657,11847,3331,4644,13881,21054,30637,17398,11921,11590
Chad,Spain,1598,1302,4620,5144,4847,4995,9432,5898,7373,10156,9499,9675,7088,8870,8296,10113,7178,7970,6966,10489
Chad,Italy,6524,6547,6087,11337,24782,54123,28474,23932,33727,34285,174100,42062,10205,9323,5267,8214,6015,9531,6427,9786
Chad,Brazil,143,520,720,4434,4411,2285,2807,2529,5428,1352,6370,1189,1997,785,1399,1998,2403,3212,5647,7631
Chad,Thailand,263,809,1166,638,1009,2599,2725,3503,1126,949,2616,2353,896,2137,6027,622,16,338,1243,6123
Chad,Ireland,206,200,70,510,721,9212,2490,1345,1382,2107,1484,1592,2019,1715,1514,4404,5312,6103,7573,5303
Chad,Denmark,1265,1255,1140,1628,3921,3473,3498,3002,1396,5544,2349,1568,2721,1984,2470,3183,2936,4295,5896,5234
Chad,Switzerland,1374,1733,11880,2845,2897,2105,1690,1595,1892,2985,2760,4312,2360,2063,2292,1795,1767,2273,2299,4092
Chad,"Korea, Republic of",135,467,1257,400,2273,5323,2860,354,698,1471,1455,3275,1544,1502,1237,1637,917,874,676,3641
Chad,Austria,1488,6775,5878,2454,5809,22376,14110,4777,4068,3713,11949,4952,5378,1758,2296,2785,2563,741,2897,3320
Chad,South Africa,2922,5260,5371,4856,9542,7302,3021,2570,1997,4634,1875,632,939,2673,3612,618,1463,1229,2961,2383
Chad,Malta,0,0,244,612,1011,1838,2638,2697,3173,2572,2437,3550,1502,1328,2695,2085,1045,1534,2272,2235
Chad,Hungary,0,184,6,7,0,26,0,0,202,203,2829,125,265,239,977,748,1151,851,2013,2147
Chad,Sweden,4081,11037,7825,10851,5252,10864,3002,52075,1174,2321,1580,5740,323,909,147,1287,270,494,1663,2063
Chad,Canada,2807,4860,10462,13043,5724,10920,6662,2956,4341,24003,32975,8086,1520,3305,6697,20931,6842,1083,5704,1986
Chad,Singapore,0,0,0,0,0,0,0,0,514,1010,3659,1344,404,350,1791,1842,642,897,1853,1847
