reporter,partner,Exported value in 2001,Exported value in 2002,Exported value in 2003
Chile,United States of America,3495308,4353674,4326064
Chile,Japan,2431520,2148569,2628513
Chile,China,1303461,1567091,2248158
Chile,"Korea, Republic of",696109,753935,1057629
Chile,Italy,877920,917018,1147804
Chile,Germany,617411,562966,803867
Chile,France,792432,720728,880338
Chile,Brazil,901845,695884,871809
Chile,Mexico,974871,1010037,1081743
Chile,United Kingdom,1065265,1126294,1100723
Chile,"Taipei, Chinese",420110,558018,586728
Chile,Canada,413833,427383,633785
Chile,Spain,423250,457034,607125
Chile,Netherlands,345561,370221,462567
Chile,Peru,428467,419007,429256
Chile,Argentina,505723,176629,289835
Chile,Ecuador,265855,300929,314752
Chile,Colombia,262486,280834,299859
Chile,India,74624,126303,174871
Chile,Sweden,116003,138905,139685
Chile,Belgium,140975,134173,174589
Chile,"Venezuela, Bolivarian Republic of",281876,189939,135219
Chile,"Hong Kong, China",134136,149571,170876
Chile,Bulgaria,42328,21994,60051
Chile,Türkiye,73474,79270,160490
Chile,Thailand,64700,60296,79568
Chile,Greece,42808,59745,78525
Chile,Malaysia,48219,32033,74310
Chile,Finland,70398,71059,97279
Chile,"Iran, Islamic Republic of",1596,1813,52086
Chile,"Bolivia, Plurinational State of",144802,126120,125453
Chile,Indonesia,57027,52095,62093
Chile,Costa Rica,54281,73606,79332
Chile,Saudi Arabia,63202,47644,101734
Chile,Denmark,70149,70135,84933
Chile,Austria,50773,36906,48688
Chile,Australia,48944,55627,102339
Chile,Russian Federation,15990,30128,45494
Chile,Singapore,29241,39498,70306
Chile,Chile,0,59929,70851
Chile,Cuba,42137,48243,57407
Chile,El Salvador,15995,22951,43816
Chile,Honduras,17862,17220,23407
Chile,Norway,59366,52961,60998
Chile,Uruguay,67133,40072,41456
Chile,Philippines,41073,39538,54816
Chile,Ireland,29128,34111,42549
Chile,Switzerland,44892,40036,40547
Chile,Portugal,31552,29066,34464
Chile,Guatemala,23482,31036,38948
Chile,Viet Nam,3083,9144,19912
Chile,South Africa,13646,22404,45737
Chile,Poland,15799,19084,23678
Chile,Paraguay,46515,21283,21972
Chile,Panama,19983,19965,25471
Chile,Dominican Republic,23469,30211,29927
Chile,New Zealand,11374,11193,20380
Chile,Czech Republic,4697,7220,13921
Chile,Sri Lanka,15037,17137,15737
Chile,Morocco,9614,10340,15729
Chile,Nicaragua,7182,9188,11540
Chile,Israel,5613,8620,12765
Chile,Kuwait,7466,6991,8214
Chile,Jamaica,6838,8477,14889
Chile,Slovenia,5432,6668,6339
Chile,Angola,,,
Chile,Estonia,4013,5752,4893
Chile,Bangladesh,2832,2071,6433
Chile,Trinidad and Tobago,3935,4330,6766
Chile,Oman,8811,17236,121
Chile,Syrian Arab Republic,0,0,5341
Chile,Croatia,1617,2001,3472
Chile,Ukraine,1304,1828,1613
Chile,Lithuania,2456,3407,5292
Chile,Romania,853,1227,1960
Chile,Bahrain,2490,2910,4002
Chile,Egypt,9036,6018,2484
Chile,Cameroon,1113,1199,1524
Chile,Pakistan,,,989
Chile,Ghana,0,,1161
Chile,Latvia,1772,2773,2358
Chile,Iceland,39635,1786,1749
Chile,Slovakia,892,1317,2058
Chile,Yemen,,,
Chile,Algeria,197,394,845
Chile,French Polynesia,2780,2664,2189
Chile,Barbados,1314,2312,1717
Chile,Samoa,176,295,443
Chile,Serbia and Montenegro,3179,1326,
Chile,Lebanon,2515,2114,1775
Chile,Tunisia,1325,1177,2113
Chile,Belarus,446,876,773
Chile,Namibia,63,262,997
Chile,Hungary,2252,3835,3781
Chile,Mauritius,673,1301,1117
Chile,Fiji,,486,779
Chile,Qatar,2062,3427,2970
Chile,Malta,467,895,1086
Chile,Jordan,1138,991,1976
Chile,Bahamas,472,958,839
Chile,Faroe Islands,143,215,370
Chile,Kazakhstan,39,303,215
Chile,New Caledonia,983,887,768
Chile,Guyana,339,425,553
Chile,Côte d'Ivoire,2846,1488,247
Chile,Saint Lucia,411,499,715
Chile,"Macao, China",217,222,398
Chile,Cyprus,425,324,452
Chile,Niger,1,0,3
Chile,Gabon,120,0,71
Chile,Belize,207,166,528
Chile,"Moldova, Republic of",5,127,64
Chile,Guinea,4,4,
Chile,Suriname,253,,
Chile,Bosnia and Herzegovina,,,160
Chile,Grenada,192,174,319
Chile,Senegal,558,167,22
Chile,Saint Vincent and the Grenadines,49,56,146
Chile,Andorra,57,34,14
Chile,Zimbabwe,842,0,1
Chile,Zambia,218,6,1
Chile,"Tanzania, United Republic of",1097,240,113
Chile,Mali,64,44,0
Chile,Saint Kitts and Nevis,162,67,116
Chile,Brunei Darussalam,70,154,98
Chile,Burkina Faso,274,18,0
Chile,Dominica,55,37,121
Chile,Papua New Guinea,59,90,70
Chile,Luxembourg,78,158,93
Chile,"Macedonia, North",58,42,44
Chile,"Micronesia, Federated States of",,0,76
Chile,Togo,24,242,729
Chile,Ethiopia,151,173,789
Chile,Benin,219,157,108
Chile,Cambodia,101,114,55
Chile,Malawi,14,2,542
Chile,Cabo Verde,38,56,118
Chile,Azerbaijan,32,13,45
Chile,Mongolia,0,,18
Chile,Montserrat,8,15,23
Chile,Solomon Islands,79,3,36
Chile,Kyrgyzstan,1510,2278,754
Chile,Mayotte,12,24,13
Chile,Mauritania,0,0,0
Chile,Madagascar,53,40,4
Chile,Mozambique,13,0,38
Chile,Albania,0,4,51
Chile,Georgia,0,0,4
Chile,Armenia,0,11,0
Chile,Botswana,0,1,0
Chile,Greenland,0,0,537
Chile,Kenya,17,137,186
Chile,Sudan (before 2012),0,8,0
Chile,Uganda,0,0,18
Chile,Central African Republic,0,11,0
Chile,Nigeria,4472,9958,21687
Chile,Tonga,41,150,66
Chile,Anguilla,13,30,24
