reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Chile,China,1688431,2149476,3109030,4432221,6186804,4928470,8024930,10816758,12600992,13105469,13017501,13296051,12876486,14459966,15916332,14711839,15336290,26292797,22520039,19525974
Chile,United States of America,3605984,5133505,6789923,8310804,12093493,9365333,10906675,15993031,18773079,17517675,16512735,15448915,12936511,13632844,15312340,15709110,12482959,17338199,23328889,18724482
Chile,Brazil,2545323,3625763,3913047,4263351,4790029,2653508,4256776,5417201,4601414,4482945,4983903,3978438,4080628,5031365,6389093,5143614,3849843,7018693,9114561,7944920
Chile,Argentina,3830577,4497161,4404623,4176201,4713567,4386659,4493083,4772318,5051834,3823118,2792208,2398278,2297397,2650077,3060325,3070778,2890384,4176196,4929082,4945036
Chile,Germany,1147373,1226428,1634937,1614612,2304126,1707560,2412038,3170656,3320977,3717565,2822964,2647275,2704625,2596537,3132798,3228805,2157898,3208221,2925038,3661344
Chile,Japan,722010,941950,1086564,1579706,2749446,1339308,2712086,2346093,1991963,1699240,1709372,1672092,1568986,1753520,1994521,2046686,1011922,1851263,2305831,2028203
Chile,Peru,719065,1129375,1429921,1695383,1840831,752216,1373277,1948068,2029682,1685433,1543480,1069123,1007532,1041053,1212370,1280684,1054656,1710957,1821222,1947490
Chile,Spain,525133,617308,696214,1020570,902413,950690,957804,1228219,1417530,1719000,1449863,1519017,1545748,1543622,1806215,1789738,1479251,2071450,1897047,1811663
Chile,Italy,421440,504350,585930,708735,814359,703091,844599,1216547,1193142,1182270,1152674,1065059,1013555,1086144,1211602,1197887,1040348,1394303,1276641,1375431
Chile,"Korea, Republic of",708287,1151000,1566131,3115103,3031843,2229062,2947054,2381457,2469337,2461474,2083396,1742442,1611455,1530202,1807803,1213845,866886,1573061,1510397,1246374
