reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
China,"Hong Kong, China",114315649,130425878,149510941,168603726,178621253,164285683,210291123,246581687,284360806,320687678,300429691,287492809,285501329,297814126,314293501,296069015,304707807,401960067,351043897,330659948
China,United States of America,34427687,41190675,55224097,65237883,71456412,69575613,91910977,104121383,110516536,121721076,123675623,115873365,115594784,129997227,120289288,106448372,124485431,151442173,153837091,147805636
China,Japan,73938663,80074348,92769551,109270656,124900515,109727428,149450759,162035386,144184828,129401394,126361386,109323922,113946189,132760341,144046136,134719884,141322302,163945539,145584397,126176610
China,"Korea, Republic of",49763175,61914973,69459177,81985131,91388900,86703245,116837804,134185009,134322396,145836767,145327744,137140476,124432718,142115180,162157595,136213398,132555008,162919707,155789389,124817682
China,Australia,8094988,12302482,15356473,19967514,27225182,33389244,53740403,73804137,74070143,88576822,85491901,56591742,61786054,67978379,74213035,89293723,90502920,115535934,103920337,122425399
China,Germany,26071490,26339982,34596026,41106431,50408742,52262376,71552785,90642574,86102711,89316350,99201360,79028920,84115719,97505540,109780291,107451431,109741467,122543344,112518867,105267419
China,Brazil,5438638,6826868,8398204,10776728,16519994,20994920,30747554,44304608,41225811,46023192,40611877,35607524,35133590,47488449,64205647,62871652,67788075,87907888,89718899,104311423
China,"Taipei, Chinese",34072649,40913886,51761144,62245372,66328341,54040590,76933214,83751332,80667541,81551903,81977767,71074845,73614668,88771969,96587555,91886693,102808205,126226579,120739893,95676669
China,Singapore,15371495,19757038,26495629,28927264,31085304,26311819,36361069,42692809,43927446,48382810,51482423,47708908,42856529,54009741,50437351,51626378,51370082,67787634,63982753,65549630
China,Switzerland,2557884,2808222,3284225,4579191,5815215,5135187,7178058,9971193,9927322,20986940,18415817,20167170,27171635,24338992,30264276,21559003,17435985,33074468,44135322,45053502
China,Malaysia,8496381,9284400,11638253,15443851,19012612,19103882,25057169,29821382,28742900,30775462,28222683,26151439,23809577,29361911,34439740,33706910,37758818,46360706,47934522,42126083
China,Chile,3252983,4462393,5010914,10149996,10031725,11742925,16651197,18524099,18186251,19479591,18649210,16885547,16597456,18123401,24695072,21916774,25260481,34575311,38915397,37663275
China,United Kingdom,4360575,5139824,6034544,7580755,9065641,8053613,11293784,14088514,15688191,18119205,26235500,27625409,18142280,21382916,27701868,30154261,18579294,20796979,35414586,34099623
China,Thailand,7097954,9134204,11774180,14872546,16157864,16123831,21473195,27402402,26899634,27238224,25084369,23371308,23568131,29339373,29703268,29002027,29560572,36689362,34037510,33776285
China,France,6573206,7205194,10148907,12423865,13285333,10943269,14551262,18745449,19383272,19572699,21493750,19920508,17705981,21280391,24631556,23438854,20012744,28495370,25023854,27042147
China,Netherlands,2879072,3179432,4098818,5016584,5676591,6402548,7150289,9316239,9832573,10240761,10520954,9457722,10697553,12786333,13857567,14317292,16126069,16690567,15457763,24131617
China,Peru,1244699,1860865,2268655,3040489,3734995,4077957,5436667,6972639,7843946,7354028,7042587,7332901,8483938,11626233,13167721,13159187,10963064,17994761,17489368,23155748
China,Canada,5209106,5961766,6879498,8873347,9881454,9797290,12854414,16984616,19383182,19900000,17447756,15814577,15835954,18204246,21381376,17547713,18876294,22415275,22067823,22577212
China,Italy,5451982,5658605,7139124,8619928,9460529,9246315,11370047,13859845,11567294,13068832,13931561,11542515,12234173,15239908,15513610,14519418,14678167,18518366,17290636,20499493
China,South Africa,1055746,1368724,2108757,4169608,4309780,5670123,8066345,12495976,10316258,12047251,8772195,7403169,6742878,8608962,8706032,9659694,9758899,13839764,11942859,12490613
China,New Zealand,1156214,1103823,1214457,1439153,1805993,2280037,3480748,5887024,5555172,8181629,8300173,6033009,6547718,8459635,9592747,11014410,10790445,14111996,12683025,11011877
China,Ireland,794732,1131226,1098895,1809541,2366858,2286310,2100192,2089834,2014741,1883540,2030784,1836742,3434081,4923681,5518479,9523084,11791946,13242993,13920219,9616242
China,Belgium,2937627,3365849,3678327,4574175,5047559,6114067,7174581,10204322,9855450,9657648,10038928,7519941,7731562,9107145,8211655,7921361,9748201,9485098,8188387,8927519
China,Spain,1425821,1899419,2162771,2916950,3176305,2771373,3530359,4713495,4865557,5235421,5394679,4860694,5398818,6717459,7420703,7613577,9339784,10243474,8311934,8201950
China,Sweden,2593425,2525335,2821444,3291192,3990538,4114585,4860657,6061116,5497668,6004412,5771097,5321441,5328883,6816149,7691669,7537057,8433715,7830585,6999982,7188378
China,Ecuador,49510,7205,194728,36550,387466,124208,328738,191850,391462,568770,485076,722966,656382,778767,1507002,2896831,3193705,3644911,6241761,5672882
China,Austria,1383153,1517187,1548430,2251956,2753447,2804738,3718939,4060992,3823259,4105413,4393551,3583208,3572260,4071390,4778140,4981008,4467014,5700383,5540452,5470377
China,Argentina,2630447,3154289,3475853,5166609,6354957,3666461,5798858,6033117,5068296,5511588,4459978,5174432,4425230,4338719,4223854,6817853,5244394,6154212,7924382,5169052
China,Finland,2446727,1927224,2468972,2961719,3044208,2591088,3586936,3640425,3269298,3590391,3326035,2796368,2933649,3728816,4100577,3842829,3422534,4234888,4043216,3701776
China,Norway,910422,908689,1707222,1609194,1892377,2418767,2241325,2922943,2391983,2768810,3275558,2964571,2353123,2057989,2554244,4248228,6399308,9264622,5410232,3554175
China,Denmark,917953,972614,1110364,1660379,2024600,1926709,2152858,2530474,2556012,2919877,3137671,3239730,3348236,3263955,3159500,3809097,4341129,4369466,3668734,3354809
China,Poland,555779,590613,762595,986458,1278423,1469610,1627488,1860864,1748875,2119659,2251000,2017344,1911143,2304985,2501427,2701584,3059768,3320099,2992351,3327606
China,Türkiye,391585,549764,693038,1039523,1437204,1600296,2269175,2466316,2833255,3755649,2970633,2414790,2329371,2936262,2912539,2726571,2866389,3662823,3281120,3309218
China,Slovakia,77910,127044,218699,439912,613234,770748,1285789,2075190,1732622,2120132,1826140,1131282,1263013,1379700,1609874,1898756,2344460,2664696,2746877,3108382
China,Czech Republic,270514,298484,400773,696677,777529,843971,1214996,1667836,1670840,1916665,2038260,1849510,1913741,2414363,2583494,2469651,2604680,2997803,2723330,2635305
China,Colombia,137504,236689,452420,784758,442953,949726,1966624,1989061,3343081,5102171,5755135,2263725,1127140,2004460,3748187,4564929,2670041,3645251,2166791,2469306
China,Ukraine,821150,711088,544664,431655,547520,1434405,1316550,2180034,1777169,2726653,2674118,2399079,1832519,2039315,2200142,3593093,7099948,8003558,2489547,2406413
China,Hungary,390870,401960,762040,1014446,1110516,1214685,1530089,1687531,1810642,1997307,2156227,1796784,2244571,2663852,2371481,1666401,2062772,2475923,2291237,1667881
China,"Bolivia, Plurinational State of",23499,20565,35570,57649,129480,130642,208742,336850,317694,324730,441837,468249,479705,451869,457965,403561,358398,657003,785082,1173009
China,Serbia,,,6264,5660,5777,8955,7259,15258,19768,9119,14206,20232,25293,62058,92614,318351,369166,944547,1186102,1159902
China,Bulgaria,37119,71239,78358,102757,162090,160426,249994,406915,763992,860037,708860,610641,517258,768928,901091,922906,1052392,1329484,825239,1097409
China,Romania,195290,207385,219654,213234,237290,296540,410081,543968,494395,663628,759441,581787,682483,827063,883554,849940,942927,1341390,1149063,925709
China,Portugal,125556,210025,267970,241274,259775,304430,304007,551947,1000473,872827,1115531,930209,748404,950227,845854,673894,648056,807727,661995,832153
China,Slovenia,34363,44718,66841,82844,101162,90450,119845,126811,174002,168728,186482,164491,300678,359087,360220,297361,318917,399973,322917,426032
China,Costa Rica,162660,240702,556924,835078,612972,765505,268829,214944,326670,377804,339145,80175,45502,111781,198688,122060,182566,308631,344411,416664
China,Greece,72731,100440,156326,151809,198106,229595,420447,425223,491099,557138,370119,252925,363093,535369,1063817,999093,975172,846180,429341,397580
China,Estonia,39515,43540,270454,91704,80472,79625,155430,304682,137709,157437,204038,171253,189100,248307,221027,187782,283037,231605,222647,274428
China,Madagascar,10472,33993,22188,26918,52443,52759,56691,85596,101750,114942,99787,134534,143909,176220,150340,167226,117548,368505,497837,268490
China,Luxembourg,119696,165534,267452,252329,221035,180398,176231,234379,251495,215778,258071,252781,228254,3022,247094,205707,210324,247457,248810,242027
China,Latvia,11317,12552,19198,22536,26916,22041,33143,55811,59850,111072,139932,120295,133130,161527,187629,179440,177402,188774,222452,201145
China,Lithuania,11662,13736,18800,21032,28051,30631,36946,80564,85933,117271,135362,113455,136306,202222,222729,309140,357756,270298,103195,157817
China,Iceland,16109,26944,39166,37162,117888,95001,28010,46842,61166,57450,41088,72620,91454,96333,145245,129845,90921,129614,158202,149177
China,Croatia,7199,9035,17139,19840,35264,41091,37695,54692,45866,76376,68087,77336,83845,125966,158420,120454,96676,105581,91134,85592
China,Guatemala,19360,36677,29920,58210,31767,30249,34940,27941,34695,167220,42603,201584,76506,60914,43276,189004,238649,333716,427055,81436
China,Malta,19319,21926,67214,37768,36227,37686,81002,98992,78451,60551,31109,48279,48406,42441,38895,40737,46975,72261,61913,39834
China,Cyprus,2663,14993,11046,10356,10872,15996,20755,26401,36177,43651,52238,42962,47729,70156,75769,38578,99710,61153,26271,27620
China,Paraguay,41438,66540,18967,54675,96789,35146,34231,30388,41979,57107,49076,30043,20879,27577,25958,10749,13836,30564,21822,20529
