reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
Cote d'Ivoire,Netherlands,526834,543797,475940,656062,935277,1009421,923019,1213462,947196,1044816,1041560,1250271,1296380,1603620,1748370,1471220,1387932,1268053,1217341,2024907
Cote d'Ivoire,Switzerland,28462,39909,43868,67636,82635,224560,15554,102062,303642,283025,453907,498654,509954,479294,480780,643545,873862,899089,1440768,1942212
Cote d'Ivoire,France,743153,669552,873270,788409,833475,811107,817276,764645,702071,880008,842261,856219,871537,951199,968032,1052810,1029432,1027442,1109810,1076784
Cote d'Ivoire,China,108455,85085,125489,40637,70580,62761,110529,162103,142556,257133,216268,144109,101366,157349,254377,455673,580471,641889,970219,1070523
Cote d'Ivoire,Germany,311360,349807,721103,1092135,1525377,1297845,1138335,1515429,1320665,1274537,1041450,1076044,1029719,910463,1158900,940995,759280,859586,1001544,1029837
Cote d'Ivoire,United States of America,761751,1282245,755978,638702,1159088,778650,1215111,1309329,1138811,1049143,1235662,1061614,1200548,1256357,1293080,958169,914243,1273509,1113446,1003404
Cote d'Ivoire,Malaysia,42321,33366,129375,79424,69519,135694,147574,326138,359148,339057,355541,241032,279315,591009,476276,651902,792712,884065,824362,880894
Cote d'Ivoire,Belgium,307770,188528,269037,282577,354258,207136,361330,367874,392557,504846,612548,639507,765519,695584,554114,647868,723179,769469,607503,704648
Cote d'Ivoire,United Kingdom,140517,122444,140572,193998,170445,268700,273034,174317,273961,202322,218093,291999,423850,362107,298072,306084,405101,510063,425443,499179
Cote d'Ivoire,Spain,248111,244659,293401,341281,310504,224747,261951,248935,255674,284497,322452,325152,417949,430393,417557,461096,401149,435924,462803,441937
Cote d'Ivoire,Italy,363391,273891,300371,338858,437599,334939,433428,346589,335378,310688,339144,336561,328628,274779,286247,244191,292997,288746,317605,379515
Cote d'Ivoire,Türkiye,61336,33063,43975,86016,118257,90843,97215,138920,121289,138452,278219,274350,251303,300760,203259,183592,322638,395678,317039,321333
Cote d'Ivoire,Canada,87696,110816,170413,264894,125411,196373,407983,636068,452024,466361,469311,237958,319653,246880,352827,411951,252105,242382,280541,315219
Cote d'Ivoire,Poland,96611,112927,113116,115127,130303,137860,156539,186929,170758,185021,216268,190175,156542,194631,175177,175451,171500,193399,181581,170462
Cote d'Ivoire,Brazil,15352,18659,36854,66259,106326,83401,59069,96297,181934,36115,48710,63601,46194,72624,55265,152874,82288,84261,105654,149228
