reporter,partner,Imported value in 2001,Imported value in 2002,Imported value in 2003
Czechia ,Germany,12891595,14632644,18927896
Czechia ,Slovakia,2100986,2199376,2805070
Czechia ,Austria,1926487,2123006,2727056
Czechia ,Italy,1897018,2021138,2815254
Czechia ,Poland,1396586,1604693,2136280
Czechia ,Netherlands,1159615,1422239,1827241
Czechia ,France,1891400,1970748,2388550
Czechia ,Russian Federation,1669481,1511454,1941232
Czechia ,United Kingdom,1553232,1546977,1633150
Czechia ,Belgium,960042,1166356,1436015
Czechia ,China,523818,807330,1281586
Czechia ,Hungary,553383,649270,883103
Czechia ,Japan,261427,333534,599587
Czechia ,Spain,659003,760449,1005620
Czechia ,Switzerland,550656,614893,774227
Czechia ,United States of America,706142,653746,672149
Czechia ,Sweden,433662,437382,551806
Czechia ,Norway,375034,375059,370073
Czechia ,Denmark,181504,206115,270241
Czechia ,"Korea, Republic of",72869,108844,157627
Czechia ,Slovenia,167989,189521,231676
Czechia ,Ukraine,194311,172199,216444
Czechia ,"Hong Kong, China",120953,132806,181966
Czechia ,Finland,214843,195499,242048
Czechia ,Ireland,231376,187611,200218
Czechia ,Türkiye,109399,130235,188846
Czechia ,"Taipei, Chinese",140915,225792,277023
Czechia ,Romania,36007,52190,95884
Czechia ,Malaysia,86848,121550,119376
Czechia ,Thailand,45941,68452,95640
Czechia ,Philippines,4403,25444,57653
Czechia ,Luxembourg,54890,74930,86243
Czechia ,Portugal,52747,55803,82134
Czechia ,Canada,33854,53326,71213
Czechia ,Singapore,35170,71083,94247
Czechia ,Brazil,40109,35152,66089
Czechia ,India,40657,52583,80345
Czechia ,Israel,34471,42185,53749
Czechia ,South Africa,12791,21340,30822
Czechia ,Greece,59308,59184,69884
Czechia ,Bulgaria,21867,27978,42171
Czechia ,Australia,50527,41768,44648
Czechia ,Belarus,35431,36276,49286
Czechia ,Kazakhstan,4167,15064,29791
Czechia ,Croatia,34497,39972,45866
Czechia ,Serbia and Montenegro,17196,17054,
Czechia ,Lithuania,21303,24727,26639
Czechia ,Viet Nam,38904,39629,39010
Czechia ,Indonesia,17025,27772,27566
Czechia ,Estonia,8734,13002,27363
Czechia ,Argentina,2848,16920,19482
Czechia ,Latvia,15003,13304,13832
Czechia ,Mexico,15233,6571,8753
Czechia ,Pakistan,,,9232
Czechia ,Cyprus,4299,6888,8770
Czechia ,Tunisia,1363,4190,2308
Czechia ,Syrian Arab Republic,11119,17107,13535
Czechia ,"Macedonia, North",3184,1984,3072
Czechia ,Chile,1171,1237,2623
Czechia ,Malta,2765,3871,3280
Czechia ,Morocco,1000,3470,2365
Czechia ,Sri Lanka,1270,1511,2216
Czechia ,Bangladesh,1718,1593,2754
Czechia ,Egypt,2792,2835,3645
Czechia ,"Iran, Islamic Republic of",2682,2810,4205
Czechia ,Colombia,1401,1425,988
Czechia ,New Zealand,1347,2601,6633
Czechia ,"Moldova, Republic of",564,893,1524
Czechia ,Georgia,646,842,854
Czechia ,Kyrgyzstan,2074,1939,2333
Czechia ,Ecuador,343,284,404
Czechia ,Algeria,225,713,4330
Czechia ,Malawi,997,1523,2735
Czechia ,Albania,490,421,272
Czechia ,Dominican Republic,15,123,945
Czechia ,Uruguay,12,276,327
Czechia ,Peru,785,361,622
Czechia ,Côte d'Ivoire,63,306,0
Czechia ,"Macao, China",109,35,127
Czechia ,Honduras,426,157,558
Czechia ,Cambodia,141,304,336
Czechia ,"Tanzania, United Republic of",46,22,23
Czechia ,Kuwait,80,28,20
Czechia ,Iceland,434,189,393
Czechia ,Mauritius,118,74,79
Czechia ,Azerbaijan,62,152,678
Czechia ,Uganda,2,617,2
Czechia ,Costa Rica,154,164,127
Czechia ,Ethiopia,0,0,0
Czechia ,Cuba,101,60,2
Czechia ,Zambia,1,99,7
Czechia ,Jordan,96,140,59
Czechia ,El Salvador,144,140,228
Czechia ,Saudi Arabia,0,0,59
Czechia ,Togo,17,69,175
Czechia ,Lebanon,113,269,1749
Czechia ,Benin,116,0,37
Czechia ,Kenya,113,73,167
Czechia ,Ghana,177,,28
Czechia ,"Bolivia, Plurinational State of",52,32,85
Czechia ,Zimbabwe,0,39,548
Czechia ,Paraguay,0,15,62
Czechia ,Mongolia,73,,54
Czechia ,Guyana,83,39,94
Czechia ,Fiji,,1,10
Czechia ,Bahrain,0,0,73
Czechia ,Namibia,11,32,21
Czechia ,Belize,0,0,0
Czechia ,Madagascar,49,1,14
Czechia ,Armenia,1,148,63
Czechia ,Barbados,106,65,84
Czechia ,Guatemala,0,343,67
Czechia ,Oman,2,0,13
Czechia ,Mozambique,0,54,0
Czechia ,Nicaragua,0,217,0
Czechia ,Senegal,0,0,0
Czechia ,Suriname,2,,
Czechia ,"Venezuela, Bolivarian Republic of",57,85,10
Czechia ,Guinea,7,0,
Czechia ,Andorra,0,2,0
Czechia ,Bahamas,0,0,36
Czechia ,Botswana,9,4,12
Czechia ,Burundi,0,4,0
Czechia ,Cameroon,0,0,0
Czechia ,French Polynesia,1,0,0
Czechia ,Gabon,0,0,5
Czechia ,Mali,2,0,3
Czechia ,Mauritania,0,301,0
Czechia ,Niger,0,0,6
Czechia ,Panama,10,0,0
Czechia ,Papua New Guinea,0,0,10
Czechia ,Qatar,0,25,0
Czechia ,Rwanda,0,0,5
Czechia ,Seychelles,0,10,0
Czechia ,Sudan (before 2012),148,0,219
Czechia ,Burkina Faso,2,24,1
Czechia ,Nepal,,,80
