reporter,partner,Exported value in 2001,Exported value in 2002,Exported value in 2003
Denmark ,Germany,7601949,8262290,10176141
Denmark ,Sweden,5420265,6090528,7793470
Denmark ,United Kingdom,3870202,4230583,5132487
Denmark ,United States of America,3406699,3346787,3843699
Denmark ,Norway,2329083,2746415,3128654
Denmark ,France,2154017,2373472,2850756
Denmark ,Netherlands,1924598,1997575,2363021
Denmark ,Japan,2121903,2173465,2381552
Denmark ,Italy,1707969,1718726,2177363
Denmark ,Spain,1063644,1353132,1683761
Denmark ,Finland,1203569,1397545,1743502
Denmark ,Poland,850632,925450,976225
Denmark ,Belgium,806783,885461,1122795
Denmark ,China,625700,636798,964146
Denmark ,Ireland,649836,655518,921801
Denmark ,Switzerland,675394,752487,799586
Denmark ,Canada,493525,655103,769958
Denmark ,Australia,303621,425875,534114
Denmark ,Russian Federation,500101,513722,611375
Denmark ,"Hong Kong, China",396007,422826,473153
Denmark ,Austria,397451,426855,536064
Denmark ,Greece,346269,315020,397275
Denmark ,Greenland,226552,285429,284785
Denmark ,"Korea, Republic of",332730,425171,404283
Denmark ,Lithuania,185499,223618,278640
Denmark ,Czech Republic,223263,274682,334782
Denmark ,Portugal,229901,259383,262587
Denmark ,Hungary,195528,254756,298878
Denmark ,Saudi Arabia,191375,226977,319680
Denmark ,Türkiye,195767,292749,345103
Denmark ,Singapore,218344,180274,232006
Denmark ,Iceland,196900,193333,226997
Denmark ,India,150865,128407,189720
Denmark ,Latvia,130460,137601,178870
Denmark ,Faroe Islands,147397,155867,191922
Denmark ,Mexico,168988,177110,198579
Denmark ,Thailand,203209,120412,148194
Denmark ,Brazil,196917,163491,192699
Denmark ,"Taipei, Chinese",189609,187612,168242
Denmark ,South Africa,120317,119736,167380
Denmark ,"Iran, Islamic Republic of",70776,90353,95607
Denmark ,New Zealand,60514,68710,90600
Denmark ,Ukraine,91624,99870,151101
Denmark ,Estonia,78584,75251,79110
Denmark ,Malaysia,109409,122189,113876
Denmark ,Israel,154885,193994,146649
Denmark ,Croatia,73041,92203,117616
Denmark ,Romania,68195,77044,109241
Denmark ,Slovakia,68580,79077,113449
Denmark ,Argentina,78914,44381,67813
Denmark ,Bulgaria,57165,63418,71638
Denmark ,Slovenia,55118,61163,73204
Denmark ,Algeria,39715,56053,51391
Denmark ,Viet Nam,65475,75285,72037
Denmark ,Indonesia,57954,45445,41172
Denmark ,Chile,65545,75918,82860
Denmark ,Kuwait,51205,50863,68632
Denmark ,Serbia and Montenegro,25554,32953,
Denmark ,Egypt,139157,73506,55182
Denmark ,Morocco,30169,50592,53756
Denmark ,Belarus,31045,32257,40449
Denmark ,Syrian Arab Republic,63541,54285,49694
Denmark ,Lebanon,42268,43501,53194
Denmark ,Philippines,42071,31142,38995
Denmark ,Oman,30151,37613,208
Denmark ,Bangladesh,45989,53306,42425
Denmark ,Malta,19713,20945,27549
Denmark ,Dominican Republic,42126,50763,27090
Denmark ,Cyprus,30197,31118,37530
Denmark ,Yemen,,,
Denmark ,Luxembourg,27680,27897,32512
Denmark ,Mozambique,1515,5285,3719
Denmark ,Kazakhstan,14702,26955,29856
Denmark ,Jordan,24084,23359,37260
Denmark ,Tunisia,23270,26775,29933
Denmark ,Pakistan,,,32563
Denmark ,Ghana,26981,,22532
Denmark ,Peru,17562,14912,26126
Denmark ,"Tanzania, United Republic of",17486,15836,20431
Denmark ,Colombia,32758,31235,29393
Denmark ,Ethiopia,19990,10601,19493
Denmark ,"Venezuela, Bolivarian Republic of",40466,38401,31806
Denmark ,Ecuador,5373,5203,7507
Denmark ,Bahrain,19059,21247,23357
Denmark ,Sri Lanka,12428,12079,15009
Denmark ,Sudan (before 2012),13074,13708,16404
Denmark ,Bosnia and Herzegovina,,,9255
Denmark ,Gambia,1234,1313,3241
Denmark ,Cuba,9654,8341,16761
Denmark ,"Macedonia, North",9052,7255,11299
Denmark ,Qatar,17413,18042,19887
Denmark ,Costa Rica,15724,7871,10339
Denmark ,Côte d'Ivoire,6458,5205,6465
Denmark ,El Salvador,6549,8962,16460
Denmark ,"Macao, China",3010,3479,16362
Denmark ,Malawi,3337,5782,7047
Denmark ,Zimbabwe,3243,6315,1985
Denmark ,Guatemala,9424,12555,11271
Denmark ,Angola,,,
Denmark ,Uganda,7023,7410,10985
Denmark ,Georgia,6859,9640,10972
Denmark ,Benin,5008,5145,5501
Denmark ,Uruguay,8685,12472,9574
Denmark ,Madagascar,2409,2577,3879
Denmark ,Albania,2411,3522,7051
Denmark ,Mauritius,5371,7284,10142
Denmark ,Burkina Faso,3295,7532,5712
Denmark ,Panama,7162,7758,6533
Denmark ,Senegal,3570,17132,5295
Denmark ,Zambia,2644,6072,7694
Denmark ,Rwanda,1635,5680,3157
Denmark ,"Moldova, Republic of",2870,5107,6890
Denmark ,Nicaragua,1269,1750,1409
Denmark ,Azerbaijan,6338,4806,6765
Denmark ,Trinidad and Tobago,7092,3043,24086
Denmark ,New Caledonia,3501,3818,4605
Denmark ,French Polynesia,3706,4125,5210
Denmark ,Honduras,1862,6805,4173
Denmark ,Cameroon,2423,3519,3343
Denmark ,Mongolia,7631,,3929
Denmark ,Jamaica,6549,4558,6104
Denmark ,Mali,2888,3972,4167
Denmark ,Barbados,6187,9959,9043
Denmark ,Burundi,2799,4076,285
Denmark ,Guinea,9431,1297,
Denmark ,Niger,2082,1318,2240
Denmark ,Cambodia,2763,1448,2981
Denmark ,Togo,1554,2960,4540
Denmark ,Seychelles,1797,3198,4473
Denmark ,Botswana,1052,4177,5420
Denmark ,"Bolivia, Plurinational State of",2245,2153,2019
Denmark ,Maldives,11552,6310,2512
Denmark ,Namibia,2520,1953,3343
Denmark ,Belize,1936,1948,9269
Denmark ,Papua New Guinea,1400,1174,986
Denmark ,Fiji,,1048,1930
Denmark ,Armenia,1089,1093,1303
Denmark ,Timor-Leste,,,
Denmark ,Mauritania,655,479,2517
Denmark ,Paraguay,1518,1241,1209
Denmark ,Grenada,752,858,2363
Denmark ,Andorra,1762,942,1341
Denmark ,Saint Vincent and the Grenadines,594,656,836
Denmark ,Brunei Darussalam,964,1360,575
Denmark ,Kyrgyzstan,1899,842,1128
Denmark ,Cabo Verde,661,993,1338
Denmark ,Saint Lucia,1025,912,566
Denmark ,Gabon,1361,4658,1437
Denmark ,Guyana,1473,614,746
Denmark ,Saint Kitts and Nevis,649,577,637
Denmark ,Suriname,320,,
Denmark ,Dominica,210,300,278
Denmark ,Mayotte,93,144,166
Denmark ,Bahamas,1583,1799,1524
Denmark ,Comoros,71,82,100
Denmark ,Montserrat,46,96,90
Denmark ,Sao Tome and Principe,0,0,51
Denmark ,Samoa,3920,2463,92
Denmark ,Solomon Islands,35,2,22
Denmark ,Guinea-Bissau,,,78
Denmark ,"Micronesia, Federated States of",,0,1
Denmark ,Kenya,18985,13579,11770
Denmark ,Eswatini,301,879,356
Denmark ,Nepal,,,3703
Denmark ,Eritrea,,,4446
Denmark ,Sierra Leone,,1717,
Denmark ,Central African Republic,285,605,943
Denmark ,Lesotho,217,523,588
Denmark ,Nigeria,26721,85135,34163
Denmark ,Tonga,0,0,45
Denmark ,Anguilla,169,115,60
