reporter,partner,Exported value in 2001,Exported value in 2002,Exported value in 2003
Dominica,United Kingdom,20509,24746,18587
Dominica,Jamaica,13429,10490,9232
Dominica,France,7266,2298,2554
Dominica,Japan,2808,1254,4483
Dominica,Guyana,3624,2699,3412
Dominica,Saint Lucia,1341,1157,1426
Dominica,United States of America,5268,5097,5770
Dominica,Trinidad and Tobago,2206,2360,2934
Dominica,Armenia,144,46,62
Dominica,Barbados,2000,1645,2319
Dominica,China,901,742,758
Dominica,Papua New Guinea,1722,270,133
Dominica,Switzerland,96,42,44
Dominica,Saudi Arabia,136,33,925
Dominica,Seychelles,0,0,0
Dominica,Ireland,3820,1039,415
Dominica,Suriname,467,,
Dominica,"Venezuela, Bolivarian Republic of",144,65,59
Dominica,Belize,281,682,588
Dominica,Saint Kitts and Nevis,677,1109,884
Dominica,Montserrat,361,251,311
Dominica,Saint Vincent and the Grenadines,579,643,486
Dominica,Brazil,12,1,7
Dominica,Honduras,20,117,253
Dominica,Thailand,314,200,210
Dominica,Georgia,0,87,81
Dominica,Austria,280,157,287
Dominica,Italy,785,200,301
Dominica,India,49,33,76
Dominica,South Africa,274,412,371
Dominica,"Korea, Republic of",1000,131,162
Dominica,Estonia,11,3,15
Dominica,Canada,501,602,256
Dominica,Grenada,259,153,196
Dominica,Angola,,,
Dominica,Germany,471,350,247
Dominica,Indonesia,660,59,112
Dominica,Czech Republic,50,0,11
Dominica,Israel,102,60,380
Dominica,Poland,0,0,2600
Dominica,Bangladesh,0,0,17
Dominica,Mexico,223,100,47
Dominica,Spain,3916,606,2447
Dominica,Sweden,0,0,186
Dominica,"Macao, China",21,37,375
Dominica,Viet Nam,529,93,2000
Dominica,Türkiye,5,13,4
Dominica,Uganda,304,88,100
Dominica,Rwanda,8,35,0
Dominica,"Bolivia, Plurinational State of",0,15,0
Dominica,"Tanzania, United Republic of",61,30,35
Dominica,Cuba,5,220,52
Dominica,Mozambique,24,0,40
Dominica,Kuwait,0,189,34
Dominica,"Taipei, Chinese",78,107,31
Dominica,Romania,1,2,1
Dominica,Panama,0,0,0
Dominica,Sri Lanka,64,57,1
Dominica,Argentina,78,0,0
Dominica,Zambia,20,0,0
Dominica,Belgium,0,102,0
Dominica,"Moldova, Republic of",3,0,0
Dominica,Lebanon,310,298,48
Dominica,Peru,142,16,33
Dominica,Malaysia,267,105,244
Dominica,Togo,1,6,0
Dominica,Nicaragua,35,50,11
Dominica,Costa Rica,1,2,0
Dominica,Slovakia,9,0,0
Dominica,Egypt,107,6,0
Dominica,Croatia,33,15,24
Dominica,Malawi,896,0,3
Dominica,Mongolia,0,,1
Dominica,Australia,145,113,32
Dominica,Burundi,34,17,82
Dominica,Philippines,6,15,94
Dominica,Serbia and Montenegro,9,6,
Dominica,Madagascar,0,0,0
Dominica,Slovenia,4,4,2
Dominica,Cyprus,2,0,2
Dominica,Belarus,0,0,0
Dominica,Hungary,120,50,24
Dominica,Netherlands,241,364,64
Dominica,Latvia,0,0,0
Dominica,Portugal,2,24,44
Dominica,Uruguay,0,2,1
Dominica,Dominican Republic,35,28,24
Dominica,Greece,12,9,0
Dominica,New Caledonia,0,0,1
Dominica,Russian Federation,2,1,3
Dominica,Chile,3,61,39
Dominica,Colombia,45,0,6
Dominica,Ecuador,7,0,0
Dominica,Timor-Leste,,,
Dominica,Bulgaria,0,1,0
Dominica,Pakistan,,,0
Dominica,Fiji,,1,0
Dominica,Ghana,1,,0
Dominica,Faroe Islands,1,0,1
Dominica,Ukraine,0,0,13
Dominica,Albania,0,0,125
Dominica,Algeria,0,1,0
Dominica,Andorra,3,16,13
Dominica,Bahamas,1790,0,0
Dominica,Mayotte,0,1,1
Dominica,Denmark,2,72,2
Dominica,El Salvador,0,10,0
Dominica,Finland,14,19,1
Dominica,Gambia,28,0,0
Dominica,Guatemala,1,42,15
Dominica,"Iran, Islamic Republic of",0,2,0
Dominica,Côte d'Ivoire,12,0,0
Dominica,Kazakhstan,0,3,0
Dominica,Kenya,0,0,1596
Dominica,Lithuania,0,0,14
Dominica,Mali,0,6,3
Dominica,Malta,0,0,0
Dominica,Mauritius,0,3,0
Dominica,Oman,2,13,0
Dominica,New Zealand,0,0,2
Dominica,Norway,6,3,0
Dominica,Paraguay,0,0,11
Dominica,Sao Tome and Principe,0,0,3
Dominica,Singapore,192,5,0
Dominica,Zimbabwe,96,3,23
Dominica,Sudan (before 2012),0,78,0
Dominica,Turks and Caicos Islands,11,0,4
Dominica,"Macedonia, North",0,1,0
Dominica,Samoa,2,0,0
Dominica,Sierra Leone,,13,
Dominica,Anguilla,52,46,97
