reporter,partner,Imported value in 2001,Imported value in 2002,Imported value in 2003
Fiji,Australia,306055,288100,316257
Fiji,Singapore,58285,122807,172892
Fiji,New Zealand,104367,132701,156551
Fiji,Japan,26104,32116,43790
Fiji,China,26084,30567,25966
Fiji,Thailand,14767,16300,19929
Fiji,United States of America,19430,16901,19546
Fiji,India,12805,24473,20608
Fiji,"Korea, Republic of",9789,10714,11537
Fiji,Malaysia,10344,10159,15703
Fiji,"Hong Kong, China",19622,18246,23413
Fiji,Indonesia,13885,14476,14621
Fiji,France,13531,6187,3622
Fiji,United Kingdom,4935,4666,8196
Fiji,"Taipei, Chinese",12723,11733,8931
Fiji,Germany,2332,2887,3188
Fiji,Netherlands,4173,1295,1818
Fiji,"Iran, Islamic Republic of",0,48,36
Fiji,South Africa,756,1357,2151
Fiji,Canada,1827,4666,4092
Fiji,Italy,1518,2557,2378
Fiji,Philippines,1754,1065,659
Fiji,Switzerland,163,416,1076
Fiji,Norway,52,20,31
Fiji,Brazil,363,695,1080
Fiji,Sri Lanka,1059,1067,1287
Fiji,Belgium,704,1736,1427
Fiji,Viet Nam,640,898,657
Fiji,Chile,804,540,698
Fiji,Spain,529,597,644
Fiji,Pakistan,,,1142
Fiji,Ireland,77,167,284
Fiji,Papua New Guinea,219,1328,808
Fiji,Samoa,104,129,154
Fiji,Denmark,360,362,570
Fiji,Sweden,342,515,411
Fiji,New Caledonia,610,765,727
Fiji,Czech Republic,210,60,82
Fiji,Türkiye,97,125,188
Fiji,French Polynesia,5,13,137
Fiji,Colombia,434,62,279
Fiji,Timor-Leste,,,
Fiji,Israel,137,36,110
Fiji,Malawi,93,92,78
Fiji,Finland,5787,69,205
Fiji,Mauritius,0,0,0
Fiji,Poland,97,0,0
Fiji,Argentina,121,1193,1991
Fiji,Solomon Islands,136,75,99
Fiji,Mexico,195,129,71
Fiji,Bulgaria,0,20,77
Fiji,Luxembourg,7,0,154
Fiji,"Macao, China",0,0,5
Fiji,Austria,27,32,105
Fiji,Bangladesh,66,28,27
Fiji,Costa Rica,0,11,5
Fiji,Portugal,90,139,20
Fiji,Hungary,19,20,14
Fiji,Brunei Darussalam,0,0,0
Fiji,Latvia,0,0,0
Fiji,Slovenia,0,20,3
Fiji,Namibia,0,0,0
Fiji,Belize,0,0,0
Fiji,Cambodia,21,0,0
Fiji,Romania,0,0,0
Fiji,Ghana,0,,14
Fiji,Bahamas,0,0,3
Fiji,Cyprus,35,9,50
Fiji,Dominican Republic,0,15,0
Fiji,Ecuador,14,48,0
Fiji,Ethiopia,1,0,0
Fiji,Estonia,12,0,0
Fiji,Greece,676,0,0
Fiji,Guyana,0,5,0
Fiji,Côte d'Ivoire,0,0,69
Fiji,Jordan,4,0,0
Fiji,Kenya,0,29,0
Fiji,Kuwait,0,1,0
Fiji,Lebanon,10001,1227,0
Fiji,Malta,128,2,0
Fiji,Morocco,1,2,0
Fiji,Oman,52,0,0
Fiji,Peru,203,48,16
Fiji,Saudi Arabia,95,0,0
Fiji,Slovakia,50,13,22
Fiji,Zimbabwe,0,1,0
Fiji,Syrian Arab Republic,0,0,4
Fiji,Togo,0,1,0
Fiji,Trinidad and Tobago,0,0,3
Fiji,Egypt,0,0,0
Fiji,Uruguay,0,13,0
Fiji,Tuvalu,,81,
Fiji,Tonga,42,197,65
