reporter,partner,Imported value in 2001,Imported value in 2002,Imported value in 2003
France,Germany,61235632,63786532,79186813
France,Belgium,33091490,35232397,44057263
France,Italy,29921849,30944845,37004620
France,Spain,22667966,23943857,31019047
France,United Kingdom,27630946,28342976,30905215
France,Netherlands,22343514,22107628,26533338
France,United States of America,20094108,19343056,17328494
France,Switzerland,7552725,8566003,9492782
France,China,3701083,4087772,7331063
France,Japan,6281121,6172002,7116747
France,Norway,5572770,5053576,5573336
France,Ireland,4960083,4442717,5739353
France,Sweden,3872934,4181687,4955204
France,Portugal,3062904,3493543,4195980
France,Austria,3036740,3237563,3970401
France,Poland,1932794,2450792,3251483
France,Russian Federation,2250075,2658767,3490966
France,Syrian Arab Republic,3108758,3795745,3392119
France,Türkiye,1895290,2134575,2826141
France,Algeria,2913475,2554279,3113228
France,"Hong Kong, China",2984148,2629130,2830357
France,Denmark,2355136,2354183,2907572
France,Morocco,2321617,2646962,3002670
France,Tunisia,1914474,2133839,2613224
France,Hungary,1818804,1945066,2473362
France,Czech Republic,1430237,2015193,2303960
France,"Korea, Republic of",1598812,1665141,1805502
France,Singapore,1607535,1485220,2079419
France,Luxembourg,1588502,1687207,2005227
France,Brazil,1673225,1553622,1749806
France,Finland,1974071,1974389,1961027
France,Romania,918979,1056154,1295174
France,Malaysia,947237,1368701,1770089
France,Canada,1402929,1276550,1565142
France,"Iran, Islamic Republic of",718734,734678,1251184
France,"Taipei, Chinese",1177465,1129608,1255630
France,India,988894,1038846,1193968
France,Côte d'Ivoire,509384,655259,1048570
France,Kazakhstan,7217,27434,278133
France,Chile,621097,657915,746143
France,Thailand,852939,840558,983342
France,Slovenia,628899,690213,721437
France,Slovakia,498528,604092,770871
France,South Africa,608622,664490,743074
France,Israel,715332,653589,687821
France,Australia,625574,780391,741772
France,Indonesia,674366,660689,665615
France,Greece,383112,368762,580967
France,Bangladesh,316213,342235,444182
France,Lithuania,150335,224370,363192
France,Viet Nam,468964,439472,497229
France,Bulgaria,287142,307862,382499
France,Mexico,333892,310346,337964
France,Malta,179087,277619,319424
France,Mauritius,324860,388706,416428
France,Pakistan,,,315137
France,Cameroon,189116,234790,244744
