reporter,partner,Exported value in 2001,Exported value in 2002,Exported value in 2003
Germany,United States of America,59075092,63905161,69681503
Germany,France,48948806,52223566,63081649
Germany,United Kingdom,43056874,48537137,58050824
Germany,Italy,42090931,43905837,53040242
Germany,Netherlands,36055699,37702364,46470126
Germany,Belgium,29045137,34261426,43086104
Germany,Austria,28576881,29348620,37534525
Germany,Spain,24084520,26777060,35151974
Germany,Switzerland,25549837,27110701,31825538
Germany,China,13772190,16416415,24291889
Germany,Poland,12003267,13362474,16543812
Germany,Czech Republic,12013812,14882864,16685346
Germany,Sweden,11280896,12381305,15639192
Germany,Hungary,8392524,9144482,11682106
Germany,Japan,12400249,12414459,14207948
Germany,Denmark,9684405,10779927,12904194
Germany,Türkiye,5335443,7039905,9451840
Germany,Russian Federation,5807733,6598481,8112127
Germany,"Korea, Republic of",4473358,5472292,6821626
Germany,Portugal,5434156,5988495,6893636
Germany,Finland,4798591,4826850,6141029
Germany,Canada,5167147,5286882,6182421
Germany,Mexico,6079199,6065064,6217823
Germany,Greece,3951368,3813796,5653752
Germany,Slovakia,3644207,3761506,5756407
Germany,South Africa,3768226,4077626,5109393
Germany,Norway,4166856,4551478,5280041
Germany,Australia,3617827,4183636,5459211
Germany,"Taipei, Chinese",4245671,4435808,4972152
Germany,Singapore,3832345,3956202,4855230
Germany,Ireland,3152986,3370846,4023756
Germany,Brazil,5052170,4603487,4368470
Germany,"Hong Kong, China",4280549,4237231,5302712
Germany,Romania,2364521,2655598,3559807
Germany,Malaysia,2743079,2971393,3889059
Germany,Luxembourg,2693540,2903071,3834659
Germany,"Iran, Islamic Republic of",1689570,3474643,2815986
Germany,Saudi Arabia,2406628,2627407,3631995
Germany,India,1906412,2310592,2788135
Germany,Slovenia,1876908,2021797,2571252
Germany,Israel,2614775,2347762,2730943
Germany,Thailand,2562512,2455794,2538441
Germany,Ukraine,1348088,1627002,2273245
Germany,Croatia,1583237,1742298,2221011
Germany,Bulgaria,1112024,1139051,1553070
Germany,Lithuania,1094464,1308709,1583339
Germany,Indonesia,1300529,1224313,1181225
Germany,Serbia and Montenegro,589037,829112,
Germany,Kuwait,778537,839893,1129309
Germany,Philippines,833844,857896,1078346
Germany,Algeria,784051,853076,880428
Germany,New Zealand,641238,773908,982607
Germany,Argentina,1051947,553553,768794
Germany,Belarus,604077,693082,820670
Germany,Tunisia,909058,849975,985268
Germany,Kazakhstan,485533,585990,733721
Germany,Morocco,568900,628831,739865
Germany,Latvia,596509,697272,842331
Germany,Chile,684142,791247,796657
Germany,Syrian Arab Republic,977039,1058724,759281
Germany,Egypt,959707,824475,715867
Germany,Estonia,339079,379781,517940
Germany,Lebanon,623139,582462,578543
Germany,Bosnia and Herzegovina,,,476025
Germany,Viet Nam,396689,558080,614610
Germany,Colombia,560090,508304,611672
Germany,Pakistan,,,576111
Germany,Jordan,447243,464972,437376
Germany,Cyprus,268068,359337,336064
Germany,Malta,238757,227941,268185
Germany,Trinidad and Tobago,130996,252154,226342
Germany,Iceland,277687,242736,333906
Germany,"Venezuela, Bolivarian Republic of",578992,582998,347880
Germany,Oman,245304,264096,6034
Germany,"Macedonia, North",214965,284733,304767
Germany,Qatar,344644,283589,472446
Germany,Ghana,210501,,218953
Germany,Bangladesh,186604,185052,231458
Germany,Peru,222929,230984,242361
Germany,Bahrain,163853,280191,260258
Germany,Sudan (before 2012),138376,145056,177224
Germany,Ecuador,178197,181498,178989
Germany,Azerbaijan,72840,83454,169903
Germany,Sri Lanka,138206,121484,143022
Germany,Guatemala,139499,158372,159010
Germany,Costa Rica,136761,153550,165300
Germany,Yemen,,,
Germany,"Macao, China",59598,49665,77905
Germany,Georgia,75802,59604,82568
Germany,"Moldova, Republic of",84141,85700,135573
Germany,Albania,78078,84377,105404
Germany,Cuba,103334,82096,119035
Germany,Côte d'Ivoire,90470,93385,100783
Germany,Honduras,44854,39563,47492
Germany,Cameroon,138023,87286,77623
Germany,Angola,,,
Germany,Mauritius,107627,74199,77606
Germany,Ethiopia,78111,78113,88553
Germany,Andorra,52634,61472,76724
Germany,El Salvador,88952,81035,91605
Germany,Dominican Republic,135903,118893,102354
Germany,Uruguay,93313,81231,61700
Germany,Senegal,82542,105540,82650
Germany,"Tanzania, United Republic of",68047,60659,69238
Germany,New Caledonia,0,0,53209
Germany,Brunei Darussalam,38018,43033,40066
Germany,Armenia,31870,39260,35671
Germany,Zimbabwe,48788,70907,23141
Germany,French Polynesia,40144,37601,50539
Germany,Madagascar,33575,21015,32332
Germany,Kyrgyzstan,24273,31397,38215
Germany,Faroe Islands,39656,37557,156100
Germany,Paraguay,54137,48998,34989
Germany,Mali,39959,25396,33750
Germany,Panama,51947,45781,49177
Germany,Namibia,29624,41072,33446
Germany,Jamaica,33326,63155,44187
Germany,Nicaragua,35820,34648,42081
Germany,Mauritania,23082,21700,27296
Germany,"Bolivia, Plurinational State of",37490,31546,36745
Germany,Uganda,38212,30306,39151
Germany,Mongolia,31110,,38025
Germany,Gambia,34266,61481,57245
Germany,Burkina Faso,62475,17841,24004
Germany,Zambia,15457,14396,25538
Germany,Guinea,13516,21699,
Germany,Barbados,18227,17814,19729
Germany,Mozambique,8591,19184,36585
Germany,Togo,15792,20455,25711
Germany,Benin,17196,20956,22739
Germany,Rwanda,8094,11279,12688
Germany,Gabon,36745,31291,21160
Germany,Cambodia,10554,9020,6341
Germany,Cabo Verde,7779,14825,10552
Germany,Maldives,5158,4761,6442
Germany,Botswana,8975,25144,26753
Germany,Malawi,10656,6605,11752
Germany,Burundi,4325,3394,0
Germany,Niger,4362,5795,10295
Germany,Mayotte,6361,3147,5973
Germany,Fiji,,3686,4183
Germany,Saint Lucia,2687,3806,4615
Germany,Eswatini,5407,6,1621
Germany,Guyana,2878,3858,5066
Germany,Grenada,2074,5258,8011
Germany,Suriname,3359,,
Germany,Bahamas,6131,2542,10057
Germany,Papua New Guinea,5730,11091,4528
Germany,Saint Kitts and Nevis,1568,783,777
Germany,Belize,3333,1708,5579
Germany,Saint Vincent and the Grenadines,1459,1839,1305
Germany,Dominica,989,833,838
Germany,Solomon Islands,1007,690,707
Germany,Comoros,199,181,170
Germany,Samoa,137,90,215
Germany,Greenland,289,243,16826
Germany,Sao Tome and Principe,339,57,255
Germany,Timor-Leste,,,
Germany,Montserrat,42,38,65
Germany,Guinea-Bissau,,,249
Germany,"Micronesia, Federated States of",,0,3
Germany,Kenya,158041,160249,134583
Germany,Seychelles,5334,33883,3984
Germany,Nepal,,,27566
Germany,Eritrea,,,6764
Germany,Sierra Leone,,9042,
Germany,Tuvalu,,8,
Germany,Central African Republic,1111,2625,1455
Germany,Lesotho,458,751,2455
Germany,Nigeria,780790,532170,1088542
Germany,Tonga,84,13,9
Germany,Anguilla,129,28,73
