reporter,partner,Imported value in 2001,Imported value in 2002,Imported value in 2003
Guinea,France,106790,143423,128319
Guinea,China,44060,43377,73286
Guinea,Netherlands,23769,22483,41590
Guinea,United States of America,73275,62937,35817
Guinea,Belgium,55177,59128,59846
Guinea,India,18181,38776,28928
Guinea,Italy,26805,68085,52825
Guinea,South Africa,5594,11191,44580
Guinea,Côte d'Ivoire,55832,40822,38239
Guinea,Senegal,16148,16559,30179
Guinea,United Kingdom,31589,40461,43251
Guinea,Finland,382,961,5732
Guinea,Germany,19108,25920,29881
Guinea,Spain,16324,16519,16600
Guinea,"Hong Kong, China",17689,17921,18463
Guinea,Indonesia,15127,19051,15954
Guinea,Austria,17448,23249,22182
Guinea,Brazil,3015,13911,12262
Guinea,Japan,16497,20029,15465
Guinea,Switzerland,10491,13137,18653
Guinea,Thailand,7555,2426,4693
Guinea,Russian Federation,3360,2512,3256
Guinea,Singapore,7580,8309,8942
Guinea,Ukraine,6352,4154,7035
Guinea,Morocco,8149,8911,7572
Guinea,Viet Nam,506,534,986
Guinea,Türkiye,4786,6092,7513
Guinea,Gabon,7392,10311,11930
Guinea,"Korea, Republic of",7252,9327,8130
Guinea,Pakistan,,,310
Guinea,Lebanon,1488,3009,4022
Guinea,Australia,5536,3566,7403
Guinea,Mali,4639,7630,11528
Guinea,Malaysia,3030,933,3198
Guinea,Canada,4475,4332,3008
Guinea,Egypt,2513,2113,5187
Guinea,Greece,4925,8777,11068
Guinea,Sweden,1538,1417,2515
Guinea,Luxembourg,8070,4042,4823
Guinea,Denmark,2272,4822,3610
Guinea,Romania,945,735,1074
Guinea,Philippines,24,5,2050
Guinea,"Taipei, Chinese",4955,4293,3050
Guinea,Saudi Arabia,87,396,1687
Guinea,Czech Republic,1038,652,172
Guinea,Norway,1507,258,328
Guinea,Ireland,930,820,930
Guinea,Poland,419,552,423
Guinea,Kenya,106,208,1287
Guinea,"Macedonia, North",0,0,0
Guinea,Tunisia,1039,1521,1924
Guinea,Israel,74,43,264
Guinea,Portugal,1356,658,1944
Guinea,Namibia,12,7,0
Guinea,Argentina,326,504,251
Guinea,Slovenia,1889,2565,4264
Guinea,Oman,20,192,700
Guinea,Ghana,154,,361
Guinea,Belarus,713,297,690
Guinea,Sri Lanka,783,1405,1779
Guinea,Peru,13,0,878
Guinea,New Zealand,4,140,678
Guinea,Lithuania,41,35,93
Guinea,Bangladesh,76,137,206
Guinea,"Tanzania, United Republic of",0,110,470
Guinea,"Iran, Islamic Republic of",2558,5138,270
Guinea,Niger,0,0,22
Guinea,Bulgaria,97,72,211
Guinea,Mexico,123,96,82
Guinea,Angola,,,
Guinea,Chile,0,201,297
Guinea,Burkina Faso,61,326,618
Guinea,Cyprus,495,260,71
Guinea,Malta,0,2,175
Guinea,Mauritania,0,483,88
Guinea,Cameroon,34,756,2098
Guinea,Slovakia,60,64,65
Guinea,Estonia,0,0,30
Guinea,Togo,1448,509,111
Guinea,Benin,22,12,7
Guinea,Cabo Verde,0,17,12
Guinea,Hungary,286,52,35
Guinea,Gambia,357,106,9
Guinea,Colombia,105,111,3664
Guinea,Mauritius,1,154,165
Guinea,Jamaica,0,0,0
Guinea,Botswana,0,0,0
Guinea,Uruguay,0,0,0
Guinea,Yemen,,,
Guinea,Madagascar,0,0,0
Guinea,"Venezuela, Bolivarian Republic of",52,0,15
Guinea,Croatia,244,0,4
Guinea,Algeria,7,0,45
Guinea,Dominican Republic,0,0,0
Guinea,Guinea-Bissau,,,0
Guinea,Bosnia and Herzegovina,,,12
Guinea,Jordan,12,30,14
Guinea,Cambodia,0,2,0
Guinea,Trinidad and Tobago,0,0,84
Guinea,Comoros,0,0,0
Guinea,Zimbabwe,0,81,38
Guinea,Serbia and Montenegro,0,12,
Guinea,Andorra,2,0,0
Guinea,Azerbaijan,0,0,160
Guinea,Barbados,2,10,0
Guinea,Burundi,3,0,1
Guinea,Ecuador,0,13,0
Guinea,Georgia,30,28,0
Guinea,Grenada,2,0,0
Guinea,Kazakhstan,45,0,2
Guinea,Kuwait,82,372,0
Guinea,Latvia,17,0,0
Guinea,Malawi,610,0,0
Guinea,"Moldova, Republic of",0,5,0
Guinea,Mozambique,56,754,89
Guinea,Rwanda,0,8,0
Guinea,Saint Lucia,0,13,0
Guinea,Sudan (before 2012),0,0,0
Guinea,Syrian Arab Republic,0,0,671
Guinea,Uganda,3,0,38
Guinea,Nepal,,,4
Guinea,Central African Republic,0,0,19
Guinea,Nigeria,0,8848,226
