reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Guinea,China,93017,144313,175491,264634,334456,281384,421350,630170,753851,907476,1101459,1280205,1157374,1245911,1353330,1717429,1911678,2158472,2283329,2675206
Guinea,Belgium,58136,71480,90387,91067,100332,99135,81245,110725,143183,141089,125607,143904,171499,263643,285556,218972,252877,241030,382122,479725
Guinea,Netherlands,63267,52903,95505,164195,260404,211712,325133,434156,470016,777957,652861,337339,373037,463431,332387,250870,216679,128092,474440,452257
Guinea,Germany,24128,20894,27454,39302,51844,37670,34101,34506,71663,43160,38945,96336,97807,138482,135517,166589,128102,135655,198222,204053
Guinea,France,135845,122983,163222,186076,271699,140059,159856,197411,189806,172903,168282,148201,159285,193427,200900,166187,170484,176833,177143,191317
Guinea,United States of America,58845,93597,64742,73540,101803,94859,85062,256160,154622,79463,65186,135284,84189,103022,127011,128011,135532,151620,120305,183331
Guinea,Türkiye,7520,12156,17076,18182,26942,13472,27689,39184,54748,134682,68343,65037,62323,95758,106799,136921,135971,223749,166290,162973
Guinea,Brazil,14677,20078,29425,31371,65179,61068,55541,64390,59456,44522,65082,53889,35426,55943,41866,49410,88481,83550,110543,152123
Guinea,Spain,22008,26901,21001,84153,104232,43956,26491,32149,47813,61411,56439,45524,52345,60849,86324,80497,63814,68031,145887,120934
Guinea,Italy,43620,81033,32716,20900,52253,40341,37386,42651,61325,56982,61476,62085,58275,70097,62354,61574,83554,88356,109681,84936
Guinea,Poland,1271,1337,684,662,3822,9005,10008,19924,20730,27882,27212,17280,24679,28879,39083,31163,42108,40746,57095,60906
Guinea,South Africa,43330,37129,37728,41176,38442,31960,35311,45662,46752,27148,25622,16478,28245,55226,87100,63156,73000,45970,60962,56854
Guinea,"Hong Kong, China",17500,13874,12962,11219,14588,10065,12750,10511,12842,14268,27631,18030,12854,15893,24841,18366,18551,52662,31930,46564
Guinea,United Kingdom,24752,40317,61098,48388,41412,133816,54874,79686,153598,251298,60441,31974,29037,28322,28980,31303,36043,28993,36311,29629
Guinea,Canada,4095,7034,7119,9645,19588,15306,10098,27364,28536,13831,9435,11231,11677,10888,17110,20628,18217,27674,22960,29481
Guinea,Greece,3703,1228,1158,466,10599,11280,6793,11468,6272,8050,3072,3617,4284,5886,1122,1176,3064,1233,159227,27844
