reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
Honduras,United States of America,3803148,3918939,3893030,4101324,4233722,3489642,4103873,4692888,4853609,4757715,4857914,5010823,4869034,4813140,4926742,5030340,4072485,5444890,6368166,5838257
Honduras,Guatemala,119199,103236,76336,279030,353392,124022,307000,344687,367119,394757,422779,402054,331630,383887,429884,479280,492275,736600,617268,832652
Honduras,El Salvador,153102,174599,266744,279457,351874,336349,354671,425654,463692,509659,513678,418065,465265,479141,509291,544238,521925,700035,960383,788709
Honduras,Germany,114180,138739,190138,211160,159109,214730,247177,429189,486669,308699,379692,458334,440029,502591,408273,346164,394714,439352,580918,463694
Honduras,Canada,102330,107211,105045,116320,142839,122427,146886,188110,218779,228128,221329,263965,265425,295667,300940,348768,287238,350530,385379,418605
Honduras,Belgium,83354,104607,128417,107611,186248,117636,153234,248288,184345,125462,125737,144816,111523,172148,138750,147227,190936,228462,248031,244247
Honduras,Netherlands,35806,41651,76419,76651,55889,56191,52901,98378,175710,135718,190432,134922,234560,286937,285288,266650,284217,363246,241927,242788
Honduras,Costa Rica,36043,62203,19269,40306,80066,78545,109871,161299,146497,127684,108489,103526,106065,101063,109742,116813,115731,155789,159124,179615
Honduras,United Kingdom,45766,37533,41494,48349,77766,110765,121420,109643,99512,128582,127919,123392,124384,144911,144110,159219,152206,169061,192012,178509
Honduras,Italy,23733,32205,20050,22947,24279,34480,48290,73163,87347,54257,48274,72148,71115,80448,73423,75697,111804,128910,290149,159499
Honduras,France,27026,27778,30321,38638,41448,56423,71272,114861,93284,82323,113551,106983,108374,119585,131154,112156,130924,146137,150172,141946
Honduras,Spain,52394,54126,60581,71276,57193,45893,59727,66065,62139,52108,57878,48876,50866,86559,147808,117100,85611,59989,84659,132621
Honduras,"Taipei, Chinese",4902,14902,14415,22804,36548,13217,25544,33892,34836,38343,44229,29414,34108,77392,67542,92419,106132,81182,129434,117010
Honduras,Japan,48377,28077,28863,26565,35037,28151,32859,60939,55306,40233,39972,37249,23256,35732,46280,59291,56254,63242,119973,84637
Honduras,China,11663,14174,18617,16084,16146,50340,92629,146714,251074,234871,161664,35763,27711,23063,48507,31787,45953,34131,29239,81308
Honduras,"Korea, Republic of",15390,22317,23187,59133,36522,31112,70482,141213,84060,54172,51055,55085,47486,41864,52093,62582,71190,81634,118358,71858
Honduras,Australia,5008,8268,8958,9814,10298,10858,15484,21031,20954,31622,55550,38744,19513,30655,59428,49498,50221,52377,64825,70272
Honduras,Sweden,5833,8531,11967,9464,17424,19679,20940,31628,43841,23343,27306,32653,32558,46324,34132,35096,39296,34833,47744,56818
Honduras,Switzerland,7013,14287,12680,13552,18316,17169,26141,35722,34406,21371,21996,23970,22190,31466,33190,29348,34750,43767,55441,56799
Honduras,Colombia,4178,5566,3374,3787,7262,3897,24050,22012,9037,24775,39985,24225,25490,13987,44768,15009,25764,43909,69548,39538
Honduras,Finland,7076,6191,6604,6363,14204,17852,11420,15074,18166,14504,18262,17307,15582,20982,21423,23015,25765,28430,37518,31901
Honduras,Brazil,973,2153,2724,4935,7316,4389,6098,9083,16852,15949,18979,15721,12150,12880,13912,11886,10775,21294,29256,22218
Honduras,Romania,4683,1725,2813,678,734,1931,1119,2343,1892,1035,807,668,847,1538,2148,8296,982,466,573,13856
Honduras,"Hong Kong, China",1548,1754,2077,2217,2899,2935,2103,6882,3909,7813,8794,5633,6354,10991,11541,15002,9133,10804,12348,11538
Honduras,Türkiye,1820,5165,1896,912,1689,559,1989,6983,2081,5683,2318,2668,3922,4417,3438,4910,5842,10653,18338,11450
Honduras,New Zealand,436,542,716,866,1183,1730,1953,3615,2557,3101,3510,3051,2471,3403,3976,9369,4158,5584,9233,9005
Honduras,Portugal,5209,7313,8947,15210,9751,10393,4995,18191,10229,8613,8523,8835,5269,8039,16245,8631,5259,7444,4563,8943
