reporter,partner,Exported value in 2001,Exported value in 2002,Exported value in 2003
Hungary,Germany,10649541,11374082,13836193
Hungary,Austria,2407867,2413631,2970052
Hungary,Italy,1741900,1809101,2103171
Hungary,United Kingdom,1136310,1431911,2053845
Hungary,France,1771824,1878231,2441250
Hungary,United States of America,2964633,2691052,2761374
Hungary,Poland,778506,909581,1199728
Hungary,Netherlands,1132267,1171014,1184806
Hungary,Spain,705843,882509,1270009
Hungary,Czech Republic,632347,857042,1042666
Hungary,Belgium,1416055,1334531,1203501
Hungary,Romania,599342,638699,868046
Hungary,Slovakia,377012,454074,775919
Hungary,Sweden,273120,296117,481740
Hungary,Russian Federation,447478,512969,599594
Hungary,Türkiye,186673,325902,416863
Hungary,Switzerland,376893,418903,535916
Hungary,Finland,170661,230659,425717
Hungary,Slovenia,377702,383681,486142
Hungary,Japan,392624,387995,429804
Hungary,Croatia,238351,317758,424413
Hungary,China,130361,168832,301364
Hungary,Ukraine,171623,188810,270062
Hungary,Denmark,134073,163237,232784
Hungary,Serbia and Montenegro,193901,275734,
Hungary,Norway,107158,138869,224858
Hungary,South Africa,46450,58973,148520
Hungary,Ireland,365872,171485,183489
Hungary,Greece,115669,126275,180782
Hungary,Bosnia and Herzegovina,,,127298
Hungary,Singapore,165403,116386,81831
Hungary,Saudi Arabia,54251,90681,158853
Hungary,Mexico,107387,149822,106496
Hungary,Bulgaria,80456,101758,135103
Hungary,Israel,76365,77430,110374
Hungary,Canada,106467,106558,137349
Hungary,Brazil,103000,86086,106692
Hungary,Estonia,42160,38930,64013
Hungary,"Korea, Republic of",99249,105313,86736
Hungary,Australia,51594,96751,93056
Hungary,"Hong Kong, China",23329,367082,186365
Hungary,Lithuania,53534,56290,84907
Hungary,"Taipei, Chinese",103798,87299,52100
Hungary,Portugal,58278,68165,77143
Hungary,Syrian Arab Republic,158994,66074,37411
Hungary,Kuwait,30810,31962,75800
Hungary,Latvia,35780,36534,41215
Hungary,Kazakhstan,32541,38925,42173
Hungary,Belarus,28264,28099,37802
Hungary,Jordan,7838,17258,39084
Hungary,Algeria,15792,28051,36070
Hungary,Tunisia,39282,33645,39913
Hungary,Morocco,13157,35828,34615
Hungary,Malaysia,24552,26329,33720
Hungary,Thailand,22113,25096,35653
Hungary,"Macedonia, North",17426,28704,29136
Hungary,India,17573,26616,24901
Hungary,Lebanon,26367,26654,24864
Hungary,"Iran, Islamic Republic of",43375,52200,18107
Hungary,"Moldova, Republic of",18089,16842,19574
Hungary,Argentina,22153,8688,18941
Hungary,Luxembourg,17584,20976,23612
Hungary,Iceland,4273,7634,10156
Hungary,New Zealand,7960,8302,13456
Hungary,Colombia,9203,4979,3391
Hungary,Cyprus,8704,13347,9154
Hungary,Pakistan,,,21356
Hungary,Egypt,16666,29521,22892
Hungary,Albania,14273,12562,12579
Hungary,Viet Nam,14684,14029,18958
Hungary,Ecuador,585,435,1788
Hungary,Philippines,26659,22092,28366
Hungary,Indonesia,6323,10744,11814
Hungary,Georgia,5045,5259,7656
Hungary,Oman,885,3041,0
Hungary,Angola,,,
