reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
Iraq,China,320250,415680,653273,765797,1381664,3298111,6275191,10443634,12655773,17984764,20761239,12670542,10646475,13788755,22466146,23927336,19303765,26647233,39384745,35429661
Iraq,United States of America,9203443,9673665,12230833,11893852,23071752,9719249,12624748,17368920,19638420,13546578,14158798,4568489,6319321,11159119,12125420,7240544,3266564,3883786,10343131,8941521
Iraq,"Korea, Republic of",407681,675299,905691,3079767,4227559,3812200,4427719,9137821,10227106,9265630,6686428,6264575,5033139,6372396,9574174,7995857,4268274,5323531,9483975,7899268
Iraq,Greece,64134,35928,20,46589,48781,681367,890055,1130112,2269286,4791875,5187212,3327712,2617631,3548902,5370602,5095453,2283534,4895994,7142314,5671653
Iraq,Netherlands,280225,291931,527258,1061744,1318411,1123310,1082844,2592069,2354311,977688,2157307,1686766,1798150,3085490,2660322,2362666,766280,499618,3987665,5214942
Iraq,Italy,1004487,2043909,2781753,4013640,5788292,3535186,4125430,3977580,4517041,3917632,4285284,3732997,3256434,3187296,4533848,5308955,2541658,3973324,5344922,4111151
Iraq,Spain,1289818,1230598,1628283,1669062,1813838,1126054,1077541,2771984,3903176,1470417,1076700,1291339,1393964,1427521,2135654,2111795,992568,1788690,3536889,1795261
Iraq,France,354352,515094,902524,1385836,2155049,1163780,1323967,1160708,1296775,1118290,999563,895311,176283,143556,568130,1004711,264363,1062838,1489864,1788240
Iraq,Germany,2584,2223,17408,56964,203775,117363,213041,501091,662810,591081,582023,497779,647139,1095011,1261060,738927,468152,1099956,2269256,1696559
Iraq,Türkiye,145575,66434,121745,118702,133056,120558,153476,86753,149328,161000,283128,296505,836298,1527573,1420433,2678193,8201655,1664100,1419175,1498086
Iraq,Serbia,,,0,0,0,0,0,3,0,15,0,1,175947,475856,653463,462611,425596,755000,1208446,853505
Iraq,Singapore,0,0,0,968536,854176,560368,1203741,264346,1068708,2968669,2301629,991623,489546,1645548,3626499,3941846,1799731,1397380,1245299,754044
Iraq,"Taipei, Chinese",543245,735308,876892,2046648,2160563,1962573,1955871,940114,2618072,2639508,3466613,1352294,963236,1182409,1790740,1516499,791711,1082574,1021305,635926
Iraq,Austria,46299,703,55401,494787,1093489,580922,112230,638608,58000,294195,100647,234238,231965,383270,324542,611238,298451,801233,600882,402758
Iraq,Romania,2742,80,63,146,124,11,30,31512,58479,54772,18279,86949,67888,141322,371170,303931,143972,83,369,184944
Iraq,Belgium,661,582,1012,600,29,81,66,2627,448,369,7922,85084,63127,83057,28395,2566,10956,4181,124173,133597
Iraq,Hungary,2,2,17,124,787,488,102,12,38,247609,412496,389591,194336,230208,368664,256281,35981,935,571,108962
Iraq,Malaysia,155466,29730,38212,46356,157,83,24920,981,219941,197043,210659,103708,105533,418664,343646,304203,302052,458643,279832,95637
Iraq,Czech Republic,3,3,1,107,29,6,274,165,9,50,327,808,394,97,78,421,51,299,287,41853
Iraq,Japan,1169546,438428,910982,1019728,1516449,1405801,3417342,3728485,2803714,2599234,1542449,996966,1088057,1009917,1311567,960008,181216,229681,315,30085
Iraq,United Kingdom,1414,680,1638,4637,5601,972,3387,3890,4338,4927,4092,80572,9188,1770,2353,1705,90898,2200,6272,21384
Iraq,South Africa,4,308,157340,253209,3174,182845,133879,52,5,457,395506,157749,46,30,8,674,654,708,3107,4399
Iraq,"Hong Kong, China",26,2,7,2,5,7,138,599,4218,2395,1900,2521,3112,2314,2324,1566,520,3466,3494,2614
Iraq,Brazil,500575,535763,575240,276098,1221365,733275,755483,914574,981715,706541,1058574,476766,114598,125372,327173,234585,101695,304699,602,2394
Iraq,Luxembourg,0,0,0,0,0,0,1,0,0,1,0,30,3,4,1,1,2,4,4,2333
Iraq,Denmark,598,81,26,90,220,146,56,27,55,1704,30,92,234,78,503,1307,40,427,83,1276
Iraq,Bulgaria,3,1,304,1,15,43,43,217,62,75,55,37,15,28144,71236,31962,20,121,105817,1185
Iraq,"Bolivia, Plurinational State of",0,0,1,0,0,0,1,5,0,0,0,5,3,1,0,0,0,1,0,742
Iraq,Canada,847722,996063,1472478,1417596,2134451,1124716,1858030,2490469,3938334,3115546,1675247,198,1090,54618,339,313,370,884,409,577
Iraq,Switzerland,0,10,20,7,1,2408,23,5098,22,224,218678,69474,40896,625,470,422,328,546,127,456
Iraq,Madagascar,2,0,0,0,0,1,0,0,0,3,0,1,0,0,0,45,2563,272,331,299
Iraq,Sweden,8,105,391,2852,3129,3093,598,12102,76409,105100,62684,492,155728,237465,122651,205,215,786,364,295
Iraq,Croatia,13986,62,0,11983,19529,15,236,22,0,729,42231,140181,177422,246007,468442,138989,7,2,607,278
Iraq,Australia,4818,15,28322,1,48471,11,0,114,7,8,441,65,67,32,174,67,106,454,228,274
Iraq,Ukraine,61,209,310,228,127517,46,478,123,228,151,43760,38,0,177,22,61,289,128,198,221
Iraq,Colombia,0,0,10,0,28,5,175,24,3,11,672,13,289,32,0,0,0,116,10,187
Iraq,Ireland,42,6,42,33,6,66,131,56,114,39,131,34,17,28,119,174,15,70,107,166
Iraq,Argentina,0,0,0,0,0,0,9,15,5,3,21,2,0,4,571,783,181,2,440,136
Iraq,Thailand,114951,231387,330046,62217,9346,18346,20,91787,63676,39,30411,19,16,82,42035,24,50,61,507,105
Iraq,Paraguay,0,0,7,0,4,0,0,0,0,59,0,1,127,9,18,1,0,14,0,79
Iraq,Latvia,0,5,1,0,0,0,0,0,0,1,1,4,9,1,0,1,2,5,280,61
Iraq,Norway,240,0,16,29,231,20,76,3,7,12,117,38,37,67,23,33,11,789,149,53
Iraq,Chile,0,6,13,0,3,3,31,4,3,10,5,10,79,8,1,2,1,1,1,45
Iraq,Poland,15,1,118,5,203,142,6,7,77736,49,82,683586,405306,402769,235851,29,5,78206,59,43
Iraq,Finland,0,167,114,26,4,5,1,2,14,8,10,29,38,27,88,20,106,29,27,36
Iraq,Ecuador,0,0,0,0,0,0,0,0,51,0,0,21,233,0,11,4,5,19,31,24
Iraq,Bosnia and Herzegovina,53,0,0,3,0,0,34,0,1,1,2,9,18,8,39,1,1,0,92,18
Iraq,Lithuania,0,0,0,0,0,0,52866,764,5,0,1,23391,10,1,2,4,3,25,32,9
Iraq,Portugal,117322,322774,340687,307555,601660,220870,68,1,226350,305656,179712,106884,208482,329198,268095,288777,6,18,81,8
Iraq,Cyprus,0,10,0,40,0,0,2,3,7,1,7,2,6,3,9,2,3,25,2,7
Iraq,El Salvador,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,6,0,6
Iraq,Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,3,5
Iraq,New Zealand,178,6,1,2,26,24,58645,107897,156,78,2,9,2,0,0,1,102,112,27,5
Iraq,Malta,0,0,18,0,0,2,0,2,0,0,56,4052,2,25,0,1,2,1,0,1
