reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
Afghanistan,China,947,1512,186,2376,2693,1376,3680,4403,5187,9595,17372,11996,4489,3255,24109,29279,54512,49527,42016,63999
Afghanistan,Türkiye,6776,8301,9587,12493,8506,4649,5098,4795,6461,20961,35789,11889,9398,8831,11656,24053,27299,33460,31532,31153
Afghanistan,United States of America,25106,67650,45827,76810,86907,124108,87474,26637,37927,46316,72810,24641,34476,14698,29758,40455,17346,22872,23806,21008
Afghanistan,Germany,11294,4055,4678,6954,3588,5885,31085,15186,19609,16461,29784,7418,13315,10564,13578,21281,16973,13020,12018,14764
Afghanistan,Canada,288,381,697,704,1152,1276,1704,1606,2042,1964,2175,2363,3045,2845,3704,3760,3978,7163,7189,8422
Afghanistan,France,1434,753,1091,2506,1930,3331,1980,5406,4986,8346,4948,7824,11026,8342,9192,5580,3483,8791,4277,7789
Afghanistan,Italy,3768,1965,1214,680,1347,301,763,1524,4845,6605,6838,2008,1218,1671,3139,4235,6887,58984,6244,5892
Afghanistan,Spain,1379,1329,114,385,511,498,2028,4294,3750,7739,4069,1405,686,1943,834,1978,2982,3437,4065,5320
Afghanistan,Netherlands,182,106,188,165,485,1703,1330,2464,4562,1622,1890,1054,772,2988,3816,4276,3627,2978,3061,4673
Afghanistan,Malaysia,116,21,14,12,20,26,57,26,37,1209,74,37,192,385,984,40,63,80,462,3834
Afghanistan,United Kingdom,1747,995,800,2017,1676,1785,2589,14084,4024,4603,3750,7209,3010,2440,3144,4559,3714,5682,3443,3021
Afghanistan,Switzerland,179,13944,405,330,190,70,589,129,1298,4072,146,585,17459,2303,6378,2253,1004,4182,1855,1654
Afghanistan,Japan,1063,2719,604,258,726,456,441,424,350,539,446,565,417,237,897,809,194,344,392,1477
Afghanistan,Austria,218,52,185,253,67,41,101,150,289,199,243,211,440,260,520,1480,1746,3237,2738,1290
Afghanistan,"Korea, Republic of",88,75,66,128,909,111,106,117,48,142,28,63,18,295,35,38,1038,2185,711,1045
Afghanistan,Thailand,535,377,269,883,1067,265,59,44,60,516,54,73,86,60,377,1144,169,308,880,987
Afghanistan,Sweden,51,3,52,25,17,131,3218,796,3855,4876,293,581,163,301,347,573,784,966,873,822
Afghanistan,Ukraine,109,62,260,79,738,239,471,1121,897,2270,1037,266,28,77,336,145,291,431,289,812
Afghanistan,Australia,163,170,401,111,383,163,162,755,1720,1065,2208,1047,223,272,363,1742,992,1334,848,710
Afghanistan,Finland,5618,10709,14145,11137,20940,5334,7668,10653,12740,17390,10084,6550,3788,3690,2350,993,778,907,316,696
