reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
American Samoa,Singapore,0,0,0,0,0,0,0,0,111170,64342,61620,39314,36517,21734,34857,43342,16161,26748,54696,51840
American Samoa,China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24419
American Samoa,Australia,0,0,0,0,0,0,0,0,8720,4612,6005,7173,6899,7906,6708,7766,8514,8422,7584,9445
American Samoa,Brazil,0,0,0,0,0,0,0,0,0,0,0,41,52,165,214,642,1557,1840,1589,1835
American Samoa,Canada,0,0,0,0,0,0,0,0,0,0,0,4111,1057,1428,1817,1223,1472,1937,1244,845
American Samoa,Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,39,0
American Samoa,Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa,Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa,Madagascar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa,South Africa,0,0,0,0,0,0,0,0,0,0,0,5,0,11,119,708,4,4,4,0
American Samoa,Nigeria,,,0,0,0,0,0,0,0,0,0,5,0,15142,0,0,0,0,0,
American Samoa,Antigua and Barbuda,,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,2,0,
American Samoa,United Arab Emirates,,0,,0,0,,,,0,0,0,0,0,7,0,323,0,0,0,
American Samoa,Kiribati,,0,,0,0,0,0,0,0,0,0,0,54,0,0,,0,0,,
American Samoa,Angola,0,0,0,0,,0,0,0,0,0,0,0,0,0,12,0,0,0,0,
American Samoa,Cambodia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,
American Samoa,Fiji,0,0,0,0,0,0,0,0,0,0,0,12219,12545,9911,17738,14897,21888,15871,28294,
American Samoa,Indonesia,0,0,0,0,0,0,0,0,0,0,0,0,0,495,0,1331,2420,0,0,
American Samoa,Lebanon,0,0,0,0,0,0,0,0,0,4,0,20,0,0,26,90,0,0,0,
American Samoa,Malawi,0,0,0,0,0,0,0,0,0,0,0,0,2186,0,0,0,0,0,0,
American Samoa,Mauritius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,78,0,0,0,
American Samoa,Mozambique,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,57,0,0,0,
American Samoa,Namibia,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,214,0,0,
American Samoa,Pakistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,15,0,
American Samoa,Panama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,
American Samoa,"Tanzania, United Republic of",0,0,0,0,0,0,0,0,0,0,0,0,976,0,0,0,0,0,0,
American Samoa,Uruguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,
American Samoa,Samoa,0,0,0,0,0,0,0,0,0,0,0,9742,14423,11799,12372,15329,11598,6108,10153,
American Samoa,Ghana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
