reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
Australia,China,11552489,16193627,19323299,25801494,37435133,39438780,61105168,82667477,84568209,98954088,97630887,73871388,70233044,94632692,105083923,121289666,117693743,163729736,142091499,155507964
Australia,Japan,19454411,24513205,27927415,31252148,47531823,34751479,45096684,56688393,56449992,51026036,48117722,34842034,30490161,38919119,45733812,45461975,35654301,52447436,89039881,65493391
Australia,"Korea, Republic of",7437675,9859427,11309135,13232242,18000176,14755931,20454635,26316083,22987588,20767843,20441467,16451177,15165382,19126143,20699049,20606103,18712760,32914445,44929425,32823137
Australia,"Taipei, Chinese",3435807,4726245,5359598,6125596,8272716,5973373,8965899,10929331,9346951,7911635,7311792,5700186,6107856,8252097,9566021,10072701,8069050,14964499,24742544,17498565
Australia,United States of America,7899901,7659333,8541129,8956478,10925984,8220815,8795064,10364476,9673226,9203540,10765046,11213392,9785914,10299601,10326781,11084638,14676613,12781709,16626054,16387299
Australia,"Hong Kong, China",1732761,1746871,2105621,2068653,2085168,2094117,2293386,2713256,6548532,10105298,8403991,4833726,6102497,8989654,7156943,4604194,3166281,4963894,5802335,8025753
Australia,Malaysia,1789738,2151400,2423355,2962911,3521046,2697153,3175402,4185570,4726699,5234451,6185832,4497509,3771056,4676447,5352474,5625009,4635634,5446502,9068426,7629162
Australia,Thailand,2206194,3244941,3437098,3945136,5208830,3787270,5895862,7945151,5446484,5477403,5414139,4195078,3452924,4472407,5984770,4037927,3425794,6441958,7349616,6981869
Australia,Singapore,2298524,3035819,3766875,3213106,4773289,4133735,3859611,4068322,4906499,4152625,4680106,3213043,2918210,4082971,5463847,6257457,4721304,7245161,8551213,6895675
Australia,Germany,1591043,1576570,2062067,2294356,2683700,2557150,2797392,3837867,3591863,2951685,2390343,2272171,2394646,3268539,3082806,3370650,3379837,3756537,6466332,5517934
Australia,Switzerland,124617,156730,297850,1393217,443644,396132,307802,549247,827250,786565,598102,536380,915922,1431869,1150847,1354772,1883580,1653454,3004883,5376951
Australia,New Zealand,5189477,5405973,5378047,6361784,6190657,4702504,5563271,7367038,5818688,5262186,5172230,4357729,4527994,4912242,5034010,4881854,4490760,5618295,6010509,5376213
Australia,United Kingdom,4724005,4514547,6540917,7180851,8629563,6111012,7012473,8121215,7105482,3529716,3231337,2881054,7048294,4892246,3715599,10793488,10118376,3577668,2858728,4708162
Australia,Netherlands,576242,653430,698470,836028,932832,736183,720720,1272092,1188743,1106031,1295076,1095841,1102051,1378224,1648570,1628127,1511360,2093743,3273085,3463573
Australia,Canada,1419329,1442334,1403981,1663660,1550066,1428782,1572251,1785187,2081257,1742334,1300693,1316404,1513592,1465301,1621174,1758950,1761289,1787795,2042733,2401768
Australia,France,1159591,1296962,1491444,1610354,2142434,1409446,1684509,1581038,1691022,1388914,1169759,1036671,952050,1360367,1320434,1248559,809358,1145732,2447653,2042336
Australia,Brazil,466169,742484,826387,899608,1448343,946060,1504744,2079422,1359529,1244719,1177593,1052870,829464,1363278,1124951,951748,573978,1155466,2667611,2000226
Australia,Belgium,775322,1086543,1567164,1776954,1661688,975260,1320815,1908218,2159627,1755394,1414134,1189443,700441,1045897,1019309,789985,737346,1035865,1706970,1767482
Australia,Türkiye,283082,294078,365883,634909,827273,619534,444884,747042,804439,1224853,555550,544815,607447,2200655,1082502,1034272,406721,1123183,1639559,1166627
Australia,South Africa,1123920,1150628,1404540,1458468,1630385,1083031,1303646,1591654,1410455,1335209,1091597,962904,746284,993815,1319159,1033809,755392,1105362,1274153,1056739
Australia,Spain,610080,821596,1077062,1112413,1154116,590194,859733,1178561,763926,507112,820978,534980,553885,704252,763194,547710,377158,728451,1121006,915284
Australia,Italy,1352233,1439563,1571944,1757627,1754002,952140,1116897,1552360,985322,786282,677991,560818,536994,676503,696740,568632,388490,720390,1244513,876459
Australia,Sweden,293079,345885,385369,396505,581066,334755,520854,492503,330681,376705,305328,249980,274766,304829,359516,395180,264150,283945,653148,779627
Australia,Australia,402129,426519,554731,665706,740981,677174,917879,694268,994516,1081416,1086069,792609,678078,656592,703175,748094,660775,582687,508493,612078
Australia,Chile,208459,240791,294502,293197,404434,318593,309547,520493,457231,408369,285675,269581,355650,345413,257252,298353,395189,555211,1090454,577115
Australia,Poland,74041,96927,134424,151931,146455,87985,168709,178395,191130,332181,386302,328002,349262,584067,495416,610392,314709,555089,1419436,518648
Australia,Argentina,73094,140533,138212,161853,284018,183310,325162,409556,281888,206057,159154,268064,159676,278670,364605,247039,142070,408839,443666,334278
Australia,Finland,464384,414412,897685,1337364,931022,301679,400798,370874,204884,133542,76690,110861,111035,74368,109214,60219,135861,247688,534565,301934
Australia,Norway,77580,82770,96041,157716,234654,95266,102174,101682,125684,130788,147274,99853,80833,117848,217275,253821,168316,237394,271789,280166
Australia,Iceland,16549,5113,6915,50093,272806,58264,24484,4837,3401,3329,3726,16457,119060,232442,340039,203915,46788,104379,298877,250189
Australia,Denmark,143154,156440,146214,163476,166774,116323,132782,257417,163397,186446,106468,131840,117228,224750,79759,170117,81196,198977,86674,200349
Australia,Peru,46876,63383,59022,67088,77465,68479,75259,111192,133113,132765,132192,131588,102724,142512,116391,113581,115279,154723,205774,189442
Australia,Austria,70981,77839,103126,138484,111078,72646,68954,111378,84254,69782,107490,85661,137167,151137,143757,125120,126515,139379,258176,147341
Australia,Slovakia,13729,20613,24894,23449,31656,27120,29828,40128,52361,44467,40660,55267,35497,6903,10792,11358,10723,27526,24468,122201
Australia,Ireland,221107,165516,177611,226526,176988,122035,157428,148489,135125,120909,108056,111589,157483,111406,126165,112891,133640,125841,110886,103327
Australia,Czech Republic,70059,91055,104840,104802,150467,97209,106964,154166,170972,167719,155322,150577,149517,159364,190083,148657,106938,134930,282623,97621
Australia,Ukraine,55820,85265,88119,120579,407326,141195,246580,169971,150821,50430,138895,159262,109233,136733,54028,99488,25671,154374,217469,79444
Australia,Greece,44845,31852,34968,99155,56278,53946,30195,35810,15378,10686,12932,9778,10237,16233,19864,20844,36183,40780,33932,58228
Australia,Portugal,33052,29307,35309,52614,24843,20408,16197,20322,14357,19328,17737,40260,14919,43138,33110,12639,13614,32836,47451,52919
Australia,Ecuador,18629,5825,5886,7259,11277,3572,6168,14926,11901,19642,15571,14490,10500,15780,14936,15380,10673,26717,46372,52224
Australia,Colombia,31838,22259,24485,27261,51473,53436,35919,53686,53128,63858,44342,44648,45476,43398,50233,41092,34040,37796,47836,50887
Australia,Hungary,32789,17288,13396,10710,19886,11741,14013,18179,23589,31370,25839,38718,33169,64626,51111,43909,44997,78217,42478,49625
Australia,Bulgaria,73259,72482,55705,46182,65710,17688,7105,9730,11654,197667,10425,164107,37981,12283,61016,17057,70926,123662,38923,22553
Australia,Madagascar,6685,4803,8634,33612,21424,17856,11144,36157,16005,15220,16141,9791,7492,9931,15480,11679,10541,28555,15208,20695
Australia,Romania,47267,50913,91586,154500,188563,25087,27270,13115,23690,19287,24398,27204,37186,37583,36370,21805,20456,47649,22148,19811
Australia,Bosnia and Herzegovina,5633,2092,3970,2003,3174,4061,34119,26062,8994,11946,6577,1922,30990,1411,1378,731,795,38204,7601,18866
Australia,Latvia,3173,2858,3725,4489,2727,1360,1389,1976,1272,1698,1229,1057,1237,1684,2157,1796,6595,23992,19100,11702
Australia,Serbia,,,5102,11616,9588,7148,7827,13623,10374,9068,5774,5150,5905,6732,6140,7027,12003,21744,27697,9620
Australia,Lithuania,3463,8224,2424,4149,3386,1180,1448,3348,4303,3131,3613,4753,2991,3149,2821,2622,5168,8933,11421,9502
Australia,Cyprus,10013,7626,10832,14570,11761,8006,9062,8518,6316,5247,14522,4361,3228,4498,4228,7071,4478,6066,5082,7949
Australia,Guatemala,7726,14678,16785,29603,37477,21679,13386,19406,14112,12382,7501,14984,5176,3733,4761,2589,2048,4824,56638,7682
Australia,"Bolivia, Plurinational State of",440,1299,2825,4176,4874,6802,2091,3296,4208,5308,6677,4239,5623,6106,5591,17325,4281,3740,5479,7415
Australia,Costa Rica,3725,4136,7402,24799,15031,15634,12498,22123,14928,7314,7820,8234,8468,6841,6928,6209,7614,8600,6546,7311
Australia,Estonia,2858,5128,5112,5966,11959,5520,5333,19808,6044,6123,7477,6092,7029,8189,8588,13401,11779,8281,10327,6558
Australia,Croatia,14496,8111,8907,12819,9675,6458,6306,8011,5557,2161,3381,2587,1585,4503,2778,5247,6725,45031,5876,6190
Australia,Slovenia,16626,20495,17178,22941,17715,10318,13196,14585,8366,30635,15090,23094,20925,11368,14150,15003,22457,14202,23715,5278
Australia,El Salvador,7802,10799,20229,35015,34412,22528,30737,34158,28393,28177,30808,25036,16874,11208,15369,7467,4229,19343,6438,5260
Australia,Malta,5411,4733,38441,4719,7004,6348,102361,6866,39139,16342,13761,35890,3814,5657,5105,89545,11943,7185,5587,4606
Australia,Luxembourg,4010,2854,1759,3012,5612,8991,2891,5650,3502,10850,12736,10568,14172,15544,8099,7406,6447,4582,4093,4026
Australia,Paraguay,782,1750,1603,1101,1249,1130,1250,2383,4420,2616,1179,3807,1796,2353,1043,904,1064,1663,1944,1168
Australia,Belize,141,115,188,606,920,281,361,183,322,245,550,111,267,90,342,237,86,254,113,118
Australia,Cabo Verde,146,326,9,19,0,16,0,1,6,0,12,4,0,32,34,27,2,5,76,7
Australia,Cayman Islands,,,,,,,,,,,,,,,,,136,457,,
Australia,Liberia,,,,,,,,,,,,,,3812,1519,1412,3980,8596,1839,
Australia,Uzbekistan,,,,,,,,,,,,,,495,352,2855,12454,8139,5374,
Australia,Curaçao,,,,,,,,,,,,,,966,361,524,42,,,
Australia,"Congo, Democratic Republic of the",,,,,,,,,,,,81435,82348,50130,49712,59931,55990,88618,76689,
Australia,Tajikistan,,,,,,,,,,,511,24,193,547,1792,379,137,280,459,
Australia,Sierra Leone,,,,,,,,,,,15490,6178,2150,1695,2181,,,,,
Australia,Iraq,,,,,,,,,,,194119,,,,,,,,,
Australia,Haiti,,,,,,,,,,202,379,305,487,465,,,,,,
Australia,Palau,,,,,,,,,1674,,1393,3246,1718,1889,1883,,,,,
Australia,Bermuda,,,,,,,,,605,388,692,552,1101,1148,675,963,786,963,767,
Australia,Sudan,,,,,,,,,271701,297771,319714,15954,36698,14079,24724,,,,,
Australia,Myanmar,,,,,,,71098,63006,66663,65191,85401,57835,109615,158942,131541,115733,140067,140977,98714,
Australia,Lao People's Democratic Republic,,,,,,,2810,2008,13614,15524,16313,13934,8584,16181,33355,52384,82452,99823,,
Australia,Nepal,,,,,,29483,40276,20220,23622,24085,25982,35756,46144,51716,72306,63341,46450,227740,141731,
Australia,Djibouti,,,,,,130,,,,,,,,,,,,,,
Australia,Tonga,,,,,17908,17442,14603,12625,10296,11202,11762,,,14480,13296,18295,18469,26423,19268,
Australia,Afghanistan,,,,,129,1214,1329,1301,3015,2965,1348,1259,5554,12225,10985,14883,,,,
Australia,"Libya, State of",,,,7330,18202,18143,70908,,,,,3577,1607,742,2285,2729,,,,
Australia,Congo,,,,426,2168,235418,224244,20409,248965,202173,5587,3491,1177,465139,74083,139,296,631,1978,
Australia,"Palestine, State of",,,,1968,3878,2171,3744,3574,12481,4835,4125,5440,5444,6170,8850,6863,4433,6647,6898,
Australia,Vanuatu,,,65723,62656,,82047,85259,83268,,,,,,,,,,,,
Australia,Montenegro,,,221,618,204,227,337,418,261,118,266,280,315,459,325,1091,465,619,842,
Australia,Central African Republic,,,0,365,299,163,104,0,25,135,995,1631,1156,117,466,1134,579,1019,260,
Australia,Nigeria,,,374910,141716,138800,333075,359453,751965,426492,117090,238080,151258,180495,181876,134773,67993,51085,63185,61735,
Australia,Antigua and Barbuda,,175,,969,,458,483,971,794,681,859,660,918,952,1165,1087,772,875,1275,
Australia,United Arab Emirates,,997028,,2653820,3321108,,,,2310308,2555100,2338520,2168700,2117092,2431413,2606464,3319835,1707648,2486385,3628792,
Australia,Kiribati,,26340,,23519,25466,19696,20522,33070,26443,26039,27450,20662,23908,20714,17166,,17027,25216,,
Australia,Lesotho,,1,16,13,0,0,493,5,195,35,13,61,1050,39,130,17,225,280,195,
Australia,Aruba,,809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Australia,Bhutan,,319,377,271,428,307,850,500,709,,,,,,,,,,,
Australia,Netherlands Antilles,,1240,1265,1825,682,,,,,,,,,,,,,,,
Australia,Cook Islands,,10230,,,,,,,,,,,,,,,,,,
Australia,Papua New Guinea,919474,,,,,,,2409180,2865413,,,,,,,1841453,1473112,1602150,,
Australia,Turks and Caicos Islands,0,,,,,,,25,0,,,,,,,,,,,
Australia,Andorra,221,,22,1043,40,104,158,302,376,286,208,146,59,59,15,35,61,65,182,
Australia,Kuwait,320456,,449414,568164,524245,445618,533179,664808,571829,572171,651784,587320,533006,529296,351374,382066,293331,447193,534291,
Australia,Timor-Leste,20051,14145,,,,,,,,14901,,,,14902,10970,10450,11233,13122,47860,
Australia,Guinea-Bissau,0,0,,,,,,,,0,0,29,7,10,0,,,,,
Australia,Suriname,834,3049,,402,,367,256,318,1401,1379,1840,1996,1890,2746,2506,7041,8317,11077,6196,
Australia,Mauritania,7451,1915,,2099,2163,4617,8423,46346,22889,26413,21236,9576,14415,7910,7568,5704,10799,9993,5949,
Australia,Togo,536,206,,563,1237,1102,867,536,1356,861,1135,718,664,815,773,495,480,1113,2319,
Australia,Comoros,0,0,,0,1,22,195,60,96,60,0,458,6,8,51,5,64,0,,
Australia,Cuba,2438,9103,7045,,,,,,,,,,5884,1695,1591,957,3202,1056,2212,
Australia,Seychelles,4980,4381,5915,,7864,17812,6342,12465,11029,11842,5390,6565,8347,14667,10020,12481,4292,4169,4851,
Australia,Mongolia,15499,14139,17529,19469,,,38619,94321,80263,50387,14664,11790,21947,36550,49913,57069,44887,48518,51613,
Australia,Angola,5018,2158,5812,7156,,12563,9471,14105,12410,22765,21952,8351,6845,30316,22627,5557,6360,3482,10204,
