reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
Austria,Germany,30111330,32339940,38099117,44915237,47869991,37923153,43327980,50889534,46428048,47878974,47680377,40965636,42275636,45511686,49489237,46459920,44345077,53342557,55705361,56449276
Austria,United States of America,5939604,6273407,8486456,10875271,8436063,6162950,6917707,9524377,9560139,9828303,10889475,11571444,11121006,12001329,13898911,13487262,11922826,15585316,18430984,19611842
Austria,Italy,9596640,9585350,11591636,12849835,13235061,10027293,11197394,13135863,11557157,11751661,10944916,9412100,9321367,10562395,11379057,11396784,9749986,13168449,14520412,13914204
Austria,Switzerland,4927538,5888386,6153712,6797254,7422611,6715451,7624960,9005617,8301686,8698954,9677147,7792533,7916974,8006826,8497675,8503435,8972835,10171325,11611470,10954905
Austria,Hungary,4901052,4338538,4809357,5779196,6715818,5020133,5414055,6666741,6635436,6617816,7578435,5997546,5913140,6438017,7165682,7209234,6587747,8485756,11563562,9331096
Austria,Slovakia,1250366,1333947,1451298,1755205,2108099,1430798,1630353,1917171,1793385,2073446,2126224,1978763,2271228,2524180,2907858,2965623,2529904,2794781,2931899,8777149
Austria,Belgium,1576937,2082030,2232427,2270858,2781702,2143195,2437473,2778065,2544474,2694147,2786898,2073157,2030641,2216298,2701050,3065967,3522597,3905884,3475590,8683317
Austria,Czech Republic,2654900,3037735,3488685,4450763,5264043,3835917,4231343,4994862,4516278,4438430,4793557,4189915,4130249,5134638,5412667,5006333,4574374,5934473,6312154,8488607
Austria,China,1509822,1609216,2057363,2453309,3120815,3405645,4229255,4760980,4723752,5030350,5851704,4968938,5003111,5848275,6923229,7623297,6639807,8418892,8236377,7854971
Austria,Poland,1574551,1738395,2146280,2733587,3611134,2600963,2913968,3847993,3180428,3626409,3839900,3335876,3067605,3554359,4530239,4036585,4224718,5349172,5152097,7648690
Austria,France,3956670,4298789,4534061,5339687,5997335,4738808,5876263,6568764,6724905,7190090,7798454,6100353,5323658,7528877,7055959,6797339,6227854,6543674,7155861,6681993
Austria,United Kingdom,4409744,3958727,4794170,5050244,4359591,3592987,4089836,5241718,3981494,4528494,5201112,4692249,4405251,4335555,5168210,5005273,4487917,4925802,5690433,6506825
Austria,Slovenia,1447662,1552890,1897797,2458543,2825102,1974440,2090614,2445130,2298131,2551031,2594867,2225270,2165698,2479612,2928792,3110779,2736672,3255616,3975099,4665873
Austria,Romania,1141288,1499688,1942540,3418100,4164381,2604497,2539155,3040113,2935348,2931205,2931243,2690976,2662807,2841670,3213866,3017915,2939658,3706525,4225972,4616498
Austria,Netherlands,1918802,1929063,2109962,2559509,2948288,2274270,2333821,2603304,2339920,2589784,2643406,2410872,2357970,2825766,3436992,3382808,3296235,3994081,4022984,4504338
