reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Austria,Germany,49032280,53765327,62213490,72334828,80071112,63761932,68330565,79124244,71554033,73352504,72909334,63840808,65482092,70104620,75389144,71033393,66797502,81676900,88058092,83010591
Austria,Italy,8622789,9173611,10359660,12121807,12946667,9708427,10549728,12087523,11150629,11290788,11146225,9517080,9829622,10758403,12111371,11715397,10600661,13719083,15251460,15205663
Austria,Netherlands,4660922,4701240,5476393,6744899,7172979,5690719,6449608,7156785,6332605,6566749,6780108,5475899,5679941,6483558,7407809,7013139,6541095,8685712,9046052,11915408
Austria,Switzerland,4097609,4455395,4828479,5891925,7365833,7705947,6219004,7473518,8568346,8920345,8555459,7831345,7345952,8260975,7634479,6400354,8192882,10260340,10815480,10789402
Austria,Czech Republic,3852483,4302665,4856498,5566282,6921695,5314517,6211637,7396031,7232771,7334755,7549930,6395532,6863982,8013316,9022428,8556543,7979422,10136050,10732760,10575235
Austria,Poland,1456128,1863287,2008199,2609325,3366618,2591376,3010611,3614728,3389337,3587507,3620231,3420276,3472563,4225043,5146367,5376835,5101398,7223338,7673593,7902613
Austria,Hungary,4010035,3480539,3587100,4285472,5303746,3755328,4634074,6283888,5911367,6008447,6205725,4793651,4929967,5488254,5859854,5642631,5208650,6403972,6763899,6770073
Austria,Slovakia,2192113,2271548,2524741,3366365,4003101,3286655,4455829,5511609,5221521,5244018,5218808,4517138,4412791,5049560,5387398,5063402,4746112,5770985,5813719,6021323
Austria,France,4367646,4232534,4580910,4993742,5434493,4117255,4467099,5322802,4742419,4796249,4796887,3894225,4077354,4371934,4781066,4519556,4206710,5379685,5671008,5797801
Austria,Belgium,3347938,3182874,3709286,4365140,4693888,3722813,3968800,4533096,4266548,4546785,4821933,4009112,4043286,4368783,4540825,4561501,4246234,5609191,5741843,5716798
Austria,United States of America,1945583,2543148,2984902,3161012,2635965,2466033,2335947,2779878,3365118,3477687,3793502,4024271,3795692,4274565,3563919,5708822,3429524,3935280,4762750,5530073
Austria,China,780601,883068,1048676,1552170,1769958,1428190,1854333,2226819,2040342,2037527,2396212,2497854,2241478,2517300,2842355,3047771,3406366,5349525,5118761,4696279
Austria,Slovenia,1185979,1442893,1820197,2072869,2293940,1746135,1974695,2245198,2225747,2480743,2714215,2204337,2161571,2409286,2748708,2545585,2390626,3022073,3657272,4189697
Austria,Spain,1591818,1642549,1767495,1919750,2151008,1895020,2055470,2628218,2419183,2512555,2500592,2209071,2457954,2596662,2730489,2636848,2529638,2879750,2868713,3079907
Austria,Romania,731579,861270,861417,1041493,1139253,947646,1140653,1397301,1325266,1563285,1654041,1519294,1507730,1653383,1830047,1700309,1686061,2230860,2325759,2143917
Austria,Sweden,1296017,1227978,1416927,1719714,1858423,1222625,1423092,1623919,1453587,1410601,1360735,1212799,1149384,1392869,1514328,1526293,1387485,1679536,1918332,2096365
Austria,United Kingdom,2018563,2426271,3151550,2826539,2707403,1962572,2245935,2669195,2336836,2517657,2669238,2454159,2436542,2411901,2675862,2379691,2768501,2415788,3115295,2009436
Austria,Türkiye,561041,659097,709855,844006,990956,807146,835181,1052932,1000745,1083310,1153500,1024532,1046186,1113743,1160099,1183864,1130393,1520441,1779303,1731358
Austria,Japan,1254245,1075529,1192628,1294769,1251194,792169,967873,1168772,952971,925361,925226,1033693,1018824,1160041,1320420,1220971,1061114,1241593,1358217,1568530
Austria,Croatia,756566,628296,626876,755712,815658,565097,624280,762140,808068,797360,842624,840877,873564,985036,1110628,1008126,975657,1268107,1346413,1385697
Austria,"Korea, Republic of",669905,970512,886632,770672,661499,643020,951754,838490,838481,607148,937901,882350,840027,959464,1076675,864944,1065988,1300722,1421087,1027243
Austria,Bulgaria,218628,220603,293481,344426,462730,321299,388470,542722,488212,531795,503542,456264,508247,556188,597611,611684,611689,813601,994514,986767
Austria,Bosnia and Herzegovina,73612,103181,208288,258485,310560,232318,318540,440266,430079,465271,512379,421153,412099,516402,615895,623751,586900,776434,918162,948003
Austria,Denmark,646229,608127,646119,753338,797047,599478,655795,673580,632190,658843,669518,571111,588875,655891,759391,687663,630452,790752,848790,893980
Austria,"Hong Kong, China",583517,579636,603096,707885,634325,482675,582984,677197,583008,598688,612283,654248,614412,645761,808275,830829,900948,1347583,1335179,883817
Austria,Serbia,,,184889,301416,458108,290753,338418,371641,281938,370901,352082,351807,375107,453739,522030,634096,545370,755904,877165,781246
Austria,Ireland,462653,516871,531622,701374,578415,454567,410703,404960,488866,594330,478914,465391,407529,437591,490920,465990,407220,409262,447163,618071
Austria,Ukraine,247733,317332,329096,427716,593432,328664,517177,588683,520821,554608,530901,347167,361324,535169,553192,598319,579988,915155,822617,606641
Austria,"Taipei, Chinese",341680,368275,458623,493181,467793,373174,345161,298496,247377,303991,309282,318105,322291,417914,440292,405027,423019,574304,589751,571413
Austria,Finland,535705,471859,574207,642984,620687,437564,412939,479543,440922,399384,414336,343634,359963,394393,456890,459325,506244,583284,604561,569081
Austria,Greece,158525,154031,169239,200322,230572,203757,225015,284361,217316,270512,232949,201786,219742,266432,324284,326589,394969,473841,477754,555754
Austria,Portugal,212282,212592,232850,269481,283914,254637,277886,327948,330413,341181,357297,313826,325312,410600,688923,587838,451532,434403,465019,459963
Austria,Norway,194068,234944,330805,405131,940128,635657,750521,984793,987090,271271,362784,258839,215296,259927,273136,324371,267873,393408,486936,390471
Austria,Lithuania,28342,27920,39328,73164,71424,61524,70450,80560,82002,108025,106919,94113,111681,142518,173998,240717,312498,409403,403457,343208
Austria,Singapore,155739,116699,113252,116903,158310,91624,124951,167400,129994,137852,118415,98855,109122,137746,266550,249125,184699,298903,362583,329722
Austria,Luxembourg,293277,356373,407681,260915,267418,176516,176686,229763,179834,216491,220176,206496,218817,257314,294525,273780,253990,309075,352686,322434
Austria,Canada,224877,372521,403537,377401,453748,346187,342227,371241,316898,404344,243284,257602,173019,267275,196162,198425,138007,282424,222249,314325
Austria,Malaysia,236857,246618,283431,114017,126506,70197,82035,127816,66051,150495,204195,163917,111435,104479,125577,109513,122468,129529,195772,235583
Austria,Thailand,183181,232246,298072,338053,305122,175685,204093,213712,231761,222895,223840,228152,218717,225707,258779,268596,222329,264301,253508,209812
Austria,Latvia,19567,21477,25646,44197,39914,51658,29516,41365,34617,49453,54355,59871,47009,57046,99534,81942,79825,102015,125535,130246
Austria,Brazil,106952,149358,143870,220270,250793,212673,280258,422516,227867,138569,146882,139100,88816,137349,194910,148458,114093,98448,109398,96148
Austria,Estonia,25655,35440,48004,70798,55494,35504,44492,65771,53709,46572,47941,43275,46926,51068,60795,65420,65375,99651,126793,85384
Austria,South Africa,168584,224536,165689,117889,164637,77571,90329,125080,81566,87608,97759,74346,73949,57241,52085,68689,48549,99855,95564,46323
Austria,Australia,48673,47355,48381,43985,45800,31565,60931,73854,93097,87308,67180,68461,36152,44324,29783,24125,29867,41544,54454,44786
Austria,Malta,4462,4090,9941,7873,11000,8370,10120,9923,9375,6849,8837,8149,7564,10581,10637,14176,13080,20750,30276,31746
Austria,Cyprus,12155,6618,6194,6593,7690,8539,10773,9530,9766,10998,12454,12537,16810,14857,22135,17689,19024,22292,14728,15778
Austria,Chile,9138,5955,6575,17258,10193,9578,59616,55258,47270,47573,68952,51245,50039,70751,100209,79784,81873,134150,37800,14757
Austria,New Zealand,11306,13507,12286,17810,19623,18060,12847,16625,13699,15301,17046,14873,16916,19857,30558,16163,12524,21771,16968,14472
Austria,Argentina,12084,10871,9914,16676,18234,12507,14034,15165,14288,14427,14239,19988,12567,12953,12676,10731,6194,7662,11703,9756
Austria,"Bolivia, Plurinational State of",2060,3367,8157,6959,7774,2086,5249,4018,4375,4614,4495,7501,3117,3314,3326,2628,2140,3522,7192,6257
Austria,Peru,583,1350,1031,2120,2201,3066,3752,8026,2470,3242,2828,3104,4273,2680,2787,2745,1646,1234,1972,4717
