reporter,partner,Exported value in 2001,Exported value in 2002,Exported value in 2003
Bahrain,Saudi Arabia,191464,267126,257708
Bahrain,United States of America,424066,419182,401391
Bahrain,"Korea, Republic of",128516,154912,251292
Bahrain,Japan,222236,159182,141017
Bahrain,"Tanzania, United Republic of",56715,71136,160331
Bahrain,"Taipei, Chinese",138130,122480,163082
Bahrain,Mauritius,33073,36953,92164
Bahrain,France,105676,59904,32140
Bahrain,Madagascar,54752,70396,23412
Bahrain,Australia,27674,38875,75837
Bahrain,Indonesia,23818,42531,46810
Bahrain,India,142363,138431,79524
Bahrain,China,77677,51758,52130
Bahrain,Thailand,57140,56630,95290
Bahrain,Oman,43189,86487,17074
Bahrain,Qatar,22320,33638,64563
Bahrain,Malaysia,55768,38617,44261
Bahrain,Singapore,197957,74421,61391
Bahrain,Pakistan,,,78675
Bahrain,Kuwait,46775,46498,51879
Bahrain,Italy,58264,47357,63110
Bahrain,Lebanon,55197,37835,7581
Bahrain,Switzerland,10880,26569,27937
Bahrain,"Iran, Islamic Republic of",64590,51648,55170
Bahrain,United Kingdom,129706,103011,114818
Bahrain,Germany,21111,12304,101736
Bahrain,Maldives,461,2621,799
Bahrain,Belgium,26815,23675,28996
Bahrain,"Hong Kong, China",13350,9722,13953
Bahrain,South Africa,44718,10679,2355
Bahrain,Netherlands,9043,11238,7437
Bahrain,Türkiye,14614,18987,15173
Bahrain,Morocco,4319,5326,10013
Bahrain,Spain,21216,33183,17638
Bahrain,Algeria,12386,21698,5781
Bahrain,Sri Lanka,19352,104886,4040
Bahrain,Viet Nam,10226,6083,6110
Bahrain,New Zealand,4001,3463,6490
Bahrain,Norway,13643,5535,6385
Bahrain,Syrian Arab Republic,25494,27106,7592
Bahrain,Portugal,2700,10994,11888
Bahrain,Tunisia,8159,6432,8120
Bahrain,Bangladesh,2691,3194,10140
Bahrain,Jordan,7880,10434,18747
Bahrain,Canada,7632,8113,8038
Bahrain,Benin,2658,10902,11858
Bahrain,Rwanda,5991,14147,7504
Bahrain,Sudan (before 2012),1822,23115,31253
Bahrain,Niger,1790,10747,7307
Bahrain,Mayotte,0,0,1573
Bahrain,Finland,9978,92,314
Bahrain,Austria,1878,1523,2747
Bahrain,Togo,750,3787,2404
Bahrain,Greece,8556,13958,2389
Bahrain,Egypt,14717,1333,1684
Bahrain,Philippines,14202,4414,8553
Bahrain,Sweden,123,798,1693
Bahrain,Colombia,2402,2606,875
Bahrain,Yemen,,,
Bahrain,Ireland,754,769,359
Bahrain,Denmark,20406,18437,625
Bahrain,Uganda,48,11,179
Bahrain,Cyprus,209,255,494
Bahrain,Mexico,196,31,63
Bahrain,Mali,73,32,137
Bahrain,Mozambique,0,8,1321
Bahrain,Chile,0,0,640
Bahrain,Kazakhstan,0,0,0
Bahrain,Poland,0,116,0
Bahrain,Ghana,34869,,1121
Bahrain,Malta,289,4,132
Bahrain,Papua New Guinea,21,13,150
Bahrain,Ethiopia,421,33,53
Bahrain,Czech Republic,48,3,100
Bahrain,Turks and Caicos Islands,188,67,438
Bahrain,Seychelles,41,56,94
Bahrain,Hungary,331,51,53
Bahrain,Croatia,8,22,1
Bahrain,Romania,808,330,245
Bahrain,Slovakia,0,2,4
Bahrain,Russian Federation,12,1,443
Bahrain,Andorra,0,0,0
Bahrain,Suriname,0,,
Bahrain,Serbia and Montenegro,96,157,
Bahrain,Barbados,45,106,15
Bahrain,Saint Lucia,0,0,0
Bahrain,Slovenia,675,82,0
Bahrain,Senegal,951,5544,678
Bahrain,Trinidad and Tobago,0,0,0
Bahrain,Burkina Faso,15200,14719,1
Bahrain,Malawi,497,536,16
Bahrain,"Bolivia, Plurinational State of",0,28,0
Bahrain,Costa Rica,13,9,3
Bahrain,Brunei Darussalam,1,8,6
Bahrain,Lithuania,0,29,0
Bahrain,Mauritania,52,0,1
Bahrain,Dominican Republic,0,0,0
Bahrain,Bosnia and Herzegovina,,,6
Bahrain,Luxembourg,58,437,11
Bahrain,Faroe Islands,4,9,6
Bahrain,Bulgaria,0,1183,0
Bahrain,Cambodia,0,0,3
Bahrain,Dominica,0,0,0
Bahrain,Côte d'Ivoire,15079,9196,45
Bahrain,Saint Kitts and Nevis,19,0,0
Bahrain,"Macao, China",7,0,1
Bahrain,Paraguay,0,0,0
Bahrain,Ukraine,1,112,44
Bahrain,Albania,5,0,38
Bahrain,Azerbaijan,0,1,0
Bahrain,Argentina,2438,0,0
Bahrain,Botswana,0,11,17
Bahrain,Brazil,0,34,0
Bahrain,Cameroon,1395,2070,1
Bahrain,Cabo Verde,0,0,3
Bahrain,Cuba,637,653,159
Bahrain,Ecuador,18,0,0
Bahrain,Estonia,0,3,0
Bahrain,Gabon,6352,0,0
Bahrain,Grenada,1,10,0
Bahrain,Iceland,104,0,0
Bahrain,Israel,5,0,0
Bahrain,Jamaica,2,0,0
Bahrain,Kenya,62538,33520,151953
Bahrain,Latvia,0,7,71
Bahrain,New Caledonia,0,0,7
Bahrain,Peru,5,0,77
Bahrain,Saint Vincent and the Grenadines,0,0,1
Bahrain,Zimbabwe,0,0,0
Bahrain,"Macedonia, North",0,93,0
Bahrain,Uruguay,994,0,0
Bahrain,"Venezuela, Bolivarian Republic of",4,1,1
Bahrain,Zambia,13,71,20
Bahrain,Nepal,,,323
Bahrain,Eritrea,,,20
Bahrain,Nigeria,579,616,976
