reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Botswana,South Africa,0,0,0,0,0,0,4159734,4570615,5045209,4601732,4763652,4147694,3732433,3860090,4113547,4108192,3268523,4390756,4705996,4183269
Botswana,Canada,12974,5199,12012,11416,10121,3898,3635,4839,2064,300806,649317,554865,338548,445988,597760,435648,251793,214290,281774,232680
Botswana,China,49541,58513,61782,119879,169152,165398,369503,616162,182121,148252,176149,226461,211715,233139,281472,301459,235432,255502,221340,215443
Botswana,Belgium,3184,8548,19776,56259,74101,46114,44111,52808,65905,128190,188503,131580,141845,120218,89081,138290,385798,570731,253556,103482
Botswana,Germany,10245,24829,24556,35819,18663,41468,49979,32249,59656,43948,75946,82956,80162,72962,87657,74092,45206,71207,83129,91496
Botswana,United States of America,54126,67272,26891,53858,62178,93255,48497,44274,47984,82091,52866,39286,42427,93045,81909,104494,48657,52882,45488,68306
Botswana,Japan,6167,6411,9631,15007,18708,11816,14972,40117,38875,28242,31394,32283,24717,22412,28859,33196,17583,19700,13423,18305
Botswana,Australia,4110,1594,4322,6269,5710,6589,4123,7456,3604,3171,2346,7042,825,1860,1503,11935,15910,9470,18371,14733
Botswana,Italy,5807,2836,3957,8427,9252,5174,6357,10660,9268,5796,4413,5877,7350,9216,7350,27644,6298,6190,7080,13119
Botswana,Netherlands,6019,8200,5710,8945,15281,13780,8047,18682,6873,11636,14802,10869,9198,12275,5615,4601,6987,9959,8925,12179
Botswana,"Hong Kong, China",3017,2393,14091,25820,12830,5151,10044,6945,11199,8689,15795,18697,16388,16731,29970,47224,16859,22451,20404,11582
Botswana,United Kingdom,28845,28415,25606,40899,28503,18132,17041,26684,39396,1045473,42337,32173,67386,37948,44973,40196,13380,14318,24085,10952
Botswana,Switzerland,53021,1631,2159,2981,3775,3078,1424,2931,33100,1895,7755,1615,1472,1803,1851,6470,116480,70539,42356,9526
Botswana,France,11258,5780,6953,9653,12749,60104,13038,11376,11025,11527,7493,13826,30379,8926,57419,118984,42649,33323,6303,8607
Botswana,"Korea, Republic of",4543,4859,4424,2968,6633,4041,8991,8989,5876,5711,9476,11243,33845,10048,11027,4453,10590,10409,3804,3627
Botswana,Finland,3463,1442,1131,9572,2263,515,239,2932,2472,138,1821,13295,700,65,242,4121,1585,596,3061,2785
Botswana,Singapore,0,0,0,0,0,0,0,4457,2887,2685,18045,29080,23672,2745,8999,26274,112106,7350,4497,2775
Botswana,Türkiye,313,240,81,1139,998,155,616,1133,1738,2859,1885,1261,2905,1859,1516,2840,4778,3205,4292,2747
Botswana,Spain,1285,983,2523,14401,5223,54466,3601,3098,3832,5667,3407,1167,4553,7983,6629,6464,1807,1043,2430,2416
Botswana,Sweden,76339,73376,8157,16647,13892,15662,8211,22091,13818,11445,11772,3895,5013,6068,1159,1687,1528,2169,1608,2282
Botswana,Cyprus,582,1495,712,14,579,1881,2478,5687,873,3724,2053,1591,1799,1747,2129,2656,2490,2446,1313,2278
Botswana,Denmark,2074,3169,3362,1025,8016,1563,997,585,553,389,598,298,378,156,592,541,592,258,1103,2246
Botswana,Malaysia,1643,3374,967,2538,3459,7150,3265,3798,4933,2331,1943,2695,3253,1957,2081,1831,1396,2714,4134,2187
Botswana,Brazil,1581,2197,3684,2711,1995,960,1576,1270,659,994,1447,3822,4043,1089,983,1652,2491,1350,1825,2145
Botswana,Thailand,954,5062,17160,17778,12412,6871,13471,3750,932,4531,806,1168,2136,1790,6404,2590,1125,1341,1707,1896
Botswana,Hungary,2388,3834,4082,2216,1156,1037,2842,3271,888,940,212,163,512,1323,1912,1849,1849,4471,1857,1760
