reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
Burundi,Germany,10786,25320,14700,31277,13843,35177,23995,36731,27939,10199,2339,14848,13115,7894,11332,15710,7466,20371,13367,13266
Burundi,China,319,327,1746,674,121,969,3458,13748,10678,9307,4143,2816,2734,6928,11931,12946,7638,8606,10073,9530
Burundi,Belgium,4475,11800,4571,5739,3045,10106,4805,11667,6294,5596,5591,7394,5806,5318,5978,6679,3986,5566,4945,7850
Burundi,United States of America,3284,4808,2004,1180,2998,4236,3459,9815,4976,4453,4484,8683,6789,9119,14183,10274,4007,3896,7874,6479
Burundi,Sweden,1611,2554,2931,4407,2768,10089,2314,11684,8838,10142,4952,9221,7962,6724,5352,4487,2377,4349,3213,5986
Burundi,Italy,533,3393,3783,1013,1830,2888,1123,2910,1975,3769,3774,3545,2098,2169,2086,2062,885,1408,917,4247
Burundi,France,1004,3154,2480,4695,1860,4408,2126,5920,5986,5841,5658,5458,2887,1928,2151,3671,3686,2335,1595,3949
Burundi,Finland,263,1476,715,1254,780,2007,1254,568,959,78,5,351,1019,973,1108,2013,1319,1560,1570,2564
Burundi,Netherlands,1477,8146,925,3154,430,152,53,1999,347,201,881,115,39,171,57,441,2,122,213,1805
Burundi,Japan,289,420,156,142,247,82,102,321,323,928,658,1289,1109,851,1178,1234,951,1238,1506,1567
Burundi,United Kingdom,442,1179,388,206,295,300,76,412,167,686,581,1417,1092,759,791,653,563,777,1314,1564
Burundi,Malaysia,2,1,10,6,5,5,5,3,9,0,245,210,0,0,167,263,5,3,1,1540
Burundi,Canada,180,315,216,62,490,219,50,363,367,243,210,407,269,212,374,751,422,415,500,1245
Burundi,South Africa,71,481,370,2915,18,4,183,356,490,275,245,105,316,139,402,521,245,524,314,859
Burundi,Poland,867,475,465,467,1148,981,2705,1773,1896,768,1023,1759,1810,1851,430,814,1517,1264,847,727
Burundi,Thailand,139,243,278,178,164,138,2,1,53,1,802,656,1,2057,4810,2803,2359,2907,4212,718
Burundi,Australia,1,1,285,0,5,61,0,20,306,198,330,535,372,174,738,836,515,516,1099,642
Burundi,Ukraine,0,3,4,13,254,27,30,48,25,38,13,31,72,489,692,609,391,251,544,496
Burundi,Spain,410,1653,227,442,312,207,274,0,500,0,324,222,40,113,330,194,408,64,389,298
Burundi,Singapore,0,0,0,0,0,0,0,21,288,131,9,15,4,6,580,234,121,54,185,265
Burundi,Türkiye,0,0,29,55,0,2,2,28,0,0,3,41,42,102,113,485,107,71,81,259
Burundi,"Korea, Republic of",3,4,0,3,0,2,7,0,223,391,63,138,311,371,299,343,341,114,109,237
Burundi,Switzerland,34872,22478,3770,748,690,1505,462,1301,3813,81,71,58,21,3,168,564,49,63,50,213
Burundi,Norway,0,1,0,2,0,96,18,31,19,115,69,144,50,78,116,69,282,172,198,136
Burundi,New Zealand,1,0,0,0,0,0,0,14,29,59,0,34,37,13,868,193,27,30,132,134
Burundi,Portugal,74,46,3,0,0,0,0,339,0,0,0,0,0,0,0,0,1,1,0,120
Burundi,"Hong Kong, China",1,0,18,48,119,6,9,1001,738,3245,23,35,66,65,11,4,1,9,0,85
Burundi,Denmark,242,2005,1017,731,266,591,765,1480,1163,723,409,35,5,2,245,1299,1725,974,19,72
Burundi,Serbia,,,0,0,6,0,0,0,0,67,9,193,0,217,78,4,8,2,3,71
Burundi,Ireland,27,34,4,44,52,4,2,6,21,10,94,52,13,1,0,18,0,16,19,70
Burundi,"Taipei, Chinese",0,4,677,45,83,1,291,471,104,99,69,302,181,168,208,238,11,131,3,65
Burundi,Peru,0,0,0,1,0,0,0,0,0,0,0,4,0,0,39,2,1,1,0,57
Burundi,Lithuania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,24
Burundi,Slovakia,69,94,10,5,54,5,179,1,8,6,1,3,0,0,0,0,6,7,3,17
Burundi,Brazil,0,0,0,0,0,0,0,2,122,58,0,7,0,0,0,0,0,4,0,5
Burundi,Costa Rica,1,0,4,20,4,9,139,7,0,0,0,0,5,1,0,0,0,0,0,4
Burundi,Greece,0,12,0,0,0,0,0,0,0,0,0,0,0,0,7,0,63,0,0,3
Burundi,Colombia,0,0,0,19,38,14,0,1,44,0,5,0,8,1,0,0,0,8,2,1
Burundi,Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Burundi,Czech Republic,1,0,45,44,4,95,228,127,9,95,166,24,41,24,48,63,44,62,27,1
Burundi,Argentina,0,0,0,0,0,0,0,0,1,0,0,3,5,4,4,0,0,4,0,0
Burundi,Austria,367,783,542,426,477,446,295,3122,777,122,639,1041,653,252,369,256,858,310,494,0
Burundi,"Bolivia, Plurinational State of",0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0
Burundi,Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Burundi,Bulgaria,32,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,Chile,0,2,0,0,0,0,0,2,2,8,0,303,10,17,4,0,17,0,2,0
