reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Cabo Verde,Portugal,173472,184799,237999,311606,378657,310678,347846,353206,277277,268154,285573,237901,286132,301177,321589,318258,343746,355005,391242,389791
Cabo Verde,Netherlands,34216,31940,60984,84554,107414,106954,150875,246026,157960,202937,66302,89717,36241,34645,69582,186674,65370,69744,117234,141379
Cabo Verde,China,2746,5188,10094,16826,14954,35405,34335,49752,57490,61996,51223,44927,48840,69142,78050,64167,77837,84538,92965,105169
Cabo Verde,Spain,20567,25867,38792,44699,63981,44082,59942,67578,51232,51393,58874,45161,94094,101459,139901,96590,89871,82604,121632,81684
Cabo Verde,United States of America,50969,9872,13619,5572,12247,6387,9976,11463,7765,9134,7284,7324,8694,9146,8560,8170,6922,12594,15649,61721
Cabo Verde,Brazil,16680,23972,28072,36048,39581,29588,27259,32265,26217,22115,21274,21373,19741,22749,18129,24545,24862,22934,30591,38926
Cabo Verde,Belgium,13491,21398,16201,24397,22488,17292,28848,21075,27606,43544,21209,15113,20760,15763,18407,46959,16826,19149,19958,29154
Cabo Verde,France,9519,11172,13294,49977,23323,11722,18419,17758,13270,12476,14617,14755,40130,29523,22373,31808,20457,22622,17328,18441
Cabo Verde,South Africa,1453,2387,2004,1013,1372,1029,858,1159,735,762,722,755,600,8181,17247,40082,60067,118175,11053,10496
Cabo Verde,Italy,17383,35821,31458,35876,34231,31041,16345,49714,13560,10757,36047,8929,23984,50528,19983,14858,32735,22987,10762,9927
Cabo Verde,Hungary,15,0,35,148,29,1,102,15,26,13,4513,206,295,105,282,77,65,416,953,8679
Cabo Verde,Türkiye,4994,3118,4657,7804,10508,4914,5844,5581,4410,7140,6681,5163,4206,4237,5115,9373,5468,10343,9975,7586
Cabo Verde,Germany,7340,7251,10264,17557,23885,12856,17812,19446,9430,13890,10852,6827,8329,13244,11356,15642,8804,6683,6723,6873
Cabo Verde,Thailand,359,506,917,4323,7481,4777,7365,6733,7314,11341,8514,12985,6770,6929,9395,7069,5467,5417,8208,6443
Cabo Verde,Poland,8,11,26,185,936,78,3980,698,1134,943,2201,1118,1139,1628,2875,1515,1766,858,3719,5523
Cabo Verde,Japan,6017,5806,9194,8322,15306,7190,7737,7937,9021,2836,2490,4131,5159,5389,8560,3939,3627,4028,4447,5145
Cabo Verde,Denmark,841,823,875,546,1251,1123,1000,1573,604,911,2555,2228,2112,2082,1748,4457,4206,5584,3252,4006
Cabo Verde,United Kingdom,5917,7895,7571,5998,59449,7755,7936,5988,5282,20751,37854,4454,5228,2674,2142,4672,2808,4029,2795,3339
Cabo Verde,Malta,748,1861,2256,1861,2017,1218,1396,368,17126,522,3199,1754,386,727,558,735,1294,997,1481,2722
Cabo Verde,Malaysia,49,65,170,1262,1166,585,340,515,169,421,346,506,1114,1950,820,1312,1224,856,2072,2411
Cabo Verde,Switzerland,368,518,595,986,1139,401,1474,2709,1957,1916,1777,2672,1443,1651,1978,1969,1150,1457,1354,2411
Cabo Verde,Lithuania,0,0,2,0,116,49,18,34,16,34,18,104,54,63,9,11,6,0,324,2343
Cabo Verde,Paraguay,0,0,0,0,807,0,70,0,71,3044,1804,408,819,0,0,975,90,74,201,2040
Cabo Verde,"Korea, Republic of",400,339,635,1167,1158,889,1471,1076,728,575,835,1695,1431,1524,6714,3964,932,3764,3144,1594
Cabo Verde,Canada,38,688,243,142,928,1275,1068,1841,729,1550,1588,1720,1874,1820,2174,1560,1700,800,1245,1260
Cabo Verde,Argentina,496,1970,2033,1221,6623,1357,2558,8497,5041,3505,2461,4215,2034,5075,7467,5630,5978,6107,0,1035
Cabo Verde,Singapore,1171,964,122,267,628,130,9140,521,1222,690,9834,434,6767,592,341,32,599,724,593,935
Cabo Verde,Romania,190,0,0,0,0,44,189,17,129,37,11,306,1182,774,775,837,382,477,869,933
Cabo Verde,Austria,294,493,196,336,513,405,406,603,2643,828,1446,817,1267,373,616,641,3594,472,1982,920
Cabo Verde,Finland,134,100,268,483,633,283,881,12991,1828,403,15805,433,1016,454,1121,496,301,501,1477,812
Cabo Verde,Greece,35,10,49,0,82,32,9,107,62,95,53,21,85,11248,269,434,487,1487,1295,778
Cabo Verde,Colombia,64,0,0,0,0,0,152,460,141,165,308,172,346,570,247,234,366,277,585,706
Cabo Verde,Ukraine,0,746,0,0,111,0,13,2,0,0,26,103,286,147,115,239,1201,1734,769,515
Cabo Verde,Peru,64,0,173,565,486,1376,543,829,297,466,976,679,775,812,491,998,1085,318,602,487
Cabo Verde,"Hong Kong, China",352,646,133,110,157,58,476,2513,3890,9758,5942,10421,1626,5927,1399,1043,827,1294,415,317
Cabo Verde,Ecuador,0,86,0,17,0,333,0,0,0,118,363,223,276,165,23,88,40,1133,348,315
Cabo Verde,Sweden,468,385,2729,2715,2618,8437,1748,1313,876,808,1403,835,1782,2247,929,862,624,372,735,309
Cabo Verde,Bulgaria,0,0,0,12,19,1960,83,75,170,22,602,4,583,85,395,76,46,66,54,264
Cabo Verde,Chile,0,0,11652,68,61,97,1942,415,3,108,1016,1332,346,0,84,0,262,73,220,256
Cabo Verde,Luxembourg,217,313,76,108,45,108,326,45,80,372,635,74,138,0,27,40,141,149,131,245
Cabo Verde,Norway,60,62,295,468,73,629,196,1367,99,92,335,721,60,48,403,642,586,1866,294,181
Cabo Verde,Slovenia,0,0,182,49,0,0,0,41,381,320,202,207,111,179,158,113,43,75,92,127
Cabo Verde,Czech Republic,8,35,1169,744,888,438,552,718,582,550,254,559,187,168,658,830,64,314,71,93
