reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Cambodia,China,451774,536031,697765,883595,1095543,907061,1347342,2314810,2708103,3409507,3274738,3770011,3963645,4795209,6022950,7981531,8054487,11566149,14184187,12803536
Cambodia,Thailand,722603,914988,1251692,1356853,2034171,1580541,2342094,2905395,3782189,4256280,4525477,4883152,4611870,5255167,7604870,7117779,6018593,6982532,8647607,6377018
Cambodia,Singapore,348759,303042,459627,439638,623264,1115064,2419019,3690129,988208,1106518,1104424,959925,771295,2980159,4782131,2270602,1506045,6622594,7824597,1996590
Cambodia,"Hong Kong, China",452061,496549,556623,611909,608675,470345,586851,699810,810773,936608,905174,1032362,904902,915105,965328,963571,936560,1082797,826533,671372
Cambodia,"Korea, Republic of",126321,144280,205093,281426,294383,273323,332998,450780,593295,614680,654540,652816,572963,603892,661159,696655,567154,623628,641675,575088
Cambodia,"Taipei, Chinese",273091,330597,458598,427523,412414,323141,467428,629737,651949,665231,689092,676674,650641,650411,700928,720008,672988,860145,863049,562870
Cambodia,Malaysia,83540,109279,108333,134124,166001,153957,197573,258250,249019,235435,242932,236253,285657,290166,382532,602593,355834,457193,525888,517616
Cambodia,Japan,79868,78107,81820,111035,184042,112563,159401,205512,234377,209861,255737,302204,307025,358148,422252,562282,485138,579223,515148,502008
Cambodia,United States of America,58938,69653,74498,138841,154134,127224,153825,186568,226405,241226,327933,391095,360731,400112,445919,513939,343851,415555,449191,305348
Cambodia,Germany,10146,12953,14607,28219,27650,20641,35025,46799,58142,75704,97180,133238,162861,282052,155323,158347,169165,219382,149463,236520
