reporter,partner,Exported value in 2001,Exported value in 2002,Exported value in 2003
Comoros,United States of America,10568,5418,4110
Comoros,France,7375,9888,16841
Comoros,Singapore,7100,3550,1568
Comoros,Türkiye,170,6,2
Comoros,Germany,3807,5891,7378
Comoros,Netherlands,1628,2104,776
Comoros,Japan,1769,978,1448
Comoros,Greece,112,1007,645
Comoros,Austria,10,27,259
Comoros,Italy,75,413,4
Comoros,India,589,380,597
Comoros,Poland,115,118,603
Comoros,Switzerland,115,101,99
Comoros,United Kingdom,5188,425,71
Comoros,Brazil,21,11,3
Comoros,Belgium,78,88,65
Comoros,Mayotte,48,165,158
Comoros,Madagascar,110,28,60
Comoros,Sao Tome and Principe,0,0,0
Comoros,Algeria,8,0,0
Comoros,Mauritius,2,73,734
Comoros,Romania,0,1,3
Comoros,Canada,206,136,735
Comoros,South Africa,20,100,36
Comoros,Bangladesh,0,210,98
Comoros,Morocco,1,0,11
Comoros,Sudan (before 2012),0,0,0
Comoros,Albania,0,0,0
Comoros,Slovakia,0,6,6
Comoros,Argentina,0,2,2
Comoros,Denmark,0,87,1
Comoros,Ukraine,0,4,14
Comoros,Finland,33,18,1
Comoros,Mexico,10,5,183
Comoros,Pakistan,,,21
Comoros,Spain,1,28,19
Comoros,Serbia and Montenegro,21,43,
Comoros,Senegal,0,0,0
Comoros,Estonia,6,6,10
Comoros,Norway,0,3,7
Comoros,Russian Federation,117,1,41
Comoros,Bulgaria,7,0,1
Comoros,New Caledonia,0,2,4
Comoros,Togo,0,0,0
Comoros,Cameroon,0,4,2
Comoros,Croatia,2,2,2
Comoros,Czech Republic,40,23,9
Comoros,"Taipei, Chinese",1,12,1
Comoros,Oman,0,0,25
Comoros,French Polynesia,0,2,3
Comoros,"Hong Kong, China",437,0,0
Comoros,Fiji,,0,0
Comoros,Barbados,0,0,0
Comoros,New Zealand,0,0,3
Comoros,Thailand,0,0,22
Comoros,Tunisia,8,6,32
Comoros,Colombia,2,24,0
Comoros,Ireland,0,1,0
Comoros,Côte d'Ivoire,8,0,1
Comoros,"Korea, Republic of",0,0,1
Comoros,Australia,5,9,0
Comoros,Belarus,0,2,0
Comoros,Cabo Verde,0,70,0
Comoros,China,42,0,1
Comoros,Costa Rica,10,32,0
Comoros,Cyprus,3,0,0
Comoros,Dominican Republic,0,0,1
Comoros,Ethiopia,5,4,0
Comoros,Gabon,0,0,1
Comoros,Hungary,16,72,16
Comoros,Indonesia,470,59,1
Comoros,Kenya,8,0,0
Comoros,Lebanon,3,0,0
Comoros,Latvia,0,20,0
Comoros,Lithuania,8,8,2
Comoros,Malawi,0,0,3
Comoros,Malaysia,0,20,11
Comoros,Mali,0,0,12
Comoros,Niger,5,0,0
Comoros,Peru,2,0,0
Comoros,Philippines,0,0,114
Comoros,Portugal,0,23,0
Comoros,Saudi Arabia,0,0,145
Comoros,Slovenia,0,2,0
Comoros,Trinidad and Tobago,0,0,10
Comoros,"Macedonia, North",2,0,0
Comoros,Egypt,0,13,0
Comoros,"Tanzania, United Republic of",0,1,0
Comoros,Burkina Faso,0,3,0
Comoros,Central African Republic,0,0,9
Comoros,Nigeria,80,0,39
