reporter,partner,Exported value in 2001,Exported value in 2002,Exported value in 2003
Cuba,Netherlands,58251,73591,29255
Cuba,Canada,233361,207239,265445
Cuba,China,114049,115687,120507
Cuba,Russian Federation,435455,288014,180627
Cuba,Spain,120335,154160,147649
Cuba,"Venezuela, Bolivarian Republic of",13754,4694,96223
Cuba,Brazil,10566,15063,23927
Cuba,Germany,29892,27663,31621
Cuba,Portugal,18302,18743,21872
Cuba,France,47861,46881,40794
Cuba,Dominican Republic,27633,46724,46666
Cuba,Belarus,13550,26756,17918
Cuba,Kazakhstan,6488,22331,13644
Cuba,Japan,37213,28181,28153
Cuba,Switzerland,20010,21882,22946
Cuba,United Kingdom,24646,16852,20861
Cuba,Mexico,25632,24258,20280
Cuba,Italy,13937,14826,15450
Cuba,Cyprus,9613,6840,13074
Cuba,Finland,760,688,1172
Cuba,Ukraine,9094,4412,14488
Cuba,"Hong Kong, China",6579,7200,8076
Cuba,"Iran, Islamic Republic of",11798,34741,10216
Cuba,Romania,18197,14872,14448
Cuba,Costa Rica,2178,1384,3537
Cuba,Belgium,14791,10856,8512
Cuba,Bulgaria,9310,10196,7366
Cuba,Colombia,13466,3942,4696
Cuba,Tunisia,13496,14015,8861
Cuba,Algeria,3324,10779,5679
Cuba,Jamaica,4606,3993,7351
Cuba,Poland,1653,1005,1127
Cuba,Honduras,2585,1747,2433
Cuba,"Taipei, Chinese",686,2216,5182
Cuba,Australia,4246,5195,3099
Cuba,Andorra,3446,1920,3149
Cuba,India,4981,3730,893
Cuba,Estonia,216,358,1593
Cuba,Sweden,1306,725,1605
Cuba,Austria,2467,2035,3096
Cuba,Czech Republic,903,1054,1754
Cuba,South Africa,1035,1004,1397
Cuba,Singapore,1565,7622,1420
Cuba,Denmark,1230,968,1653
Cuba,Guatemala,3206,3257,2221
Cuba,Trinidad and Tobago,85,221,296
Cuba,Armenia,1779,0,1254
Cuba,"Macao, China",755,784,1398
Cuba,Lebanon,1413,1924,1141
Cuba,Greece,31,154,843
Cuba,Bahamas,1753,671,1922
Cuba,Morocco,80,491,646
Cuba,Serbia and Montenegro,51,86,
Cuba,Argentina,3327,1146,1164
Cuba,Norway,489,451,378
Cuba,Ethiopia,0,25,148
Cuba,Chile,779,1083,1034
Cuba,Sudan (before 2012),50,15,0
Cuba,Israel,197,238,142
Cuba,New Zealand,543,588,546
Cuba,Pakistan,,,747
Cuba,Bahrain,444,514,584
Cuba,Ireland,1090,892,1428
Cuba,Slovakia,285,391,225
Cuba,Nicaragua,687,287,404
Cuba,Thailand,745,665,632
Cuba,Peru,450,336,399
Cuba,Panama,614,143,222
Cuba,Croatia,148,5134,310
Cuba,"Bolivia, Plurinational State of",745,676,433
Cuba,Latvia,27,25,273
Cuba,Saudi Arabia,719,63,140
Cuba,Slovenia,1051,1006,625
Cuba,Senegal,103,149,442
Cuba,"Korea, Republic of",0,0,28
Cuba,El Salvador,164,251,204
Cuba,Ecuador,735,871,367
Cuba,Belize,57857,47209,0
Cuba,Uruguay,197,7190,336
Cuba,Hungary,408,349,441
Cuba,Guyana,111,116,96
Cuba,Barbados,250,287,382
Cuba,Grenada,290,616,415
Cuba,Paraguay,356,226,77
Cuba,Viet Nam,689,153,143
Cuba,Ghana,0,,17
Cuba,Madagascar,40,19,20
Cuba,Mauritius,118,70,79
Cuba,Georgia,0,0,58
Cuba,Malta,245,233,265
Cuba,Malaysia,198,4722,167
Cuba,Kuwait,0,40,115
Cuba,Türkiye,97,162,69
Cuba,Yemen,,,
Cuba,Iceland,31,39,44
Cuba,Azerbaijan,0,314,0
Cuba,United States of America,6,319,314
Cuba,Bosnia and Herzegovina,,,4
Cuba,Jordan,122,59,25
Cuba,Lithuania,65,81,345
Cuba,French Polynesia,11,6,30
Cuba,Saint Lucia,25,8,30
Cuba,Albania,0,0,25
Cuba,Egypt,221,649,0
Cuba,Turks and Caicos Islands,108,12,28
Cuba,"Macedonia, North",2,1,70
Cuba,Uganda,10,15,3
Cuba,Cabo Verde,25,10,0
Cuba,Angola,,,
Cuba,Namibia,6,6,1
Cuba,Qatar,13,27,31
Cuba,Côte d'Ivoire,53,37,7
Cuba,Philippines,157,0,99
Cuba,Oman,59,14,0
Cuba,Bangladesh,0,0,9
Cuba,Guinea,0,8,
Cuba,Seychelles,0,13,5
Cuba,Mayotte,1,2,0
Cuba,Luxembourg,29,15,16
Cuba,"Moldova, Republic of",0,6306,63
Cuba,New Caledonia,1,0,2
Cuba,Faroe Islands,3,2,3
Cuba,Indonesia,258,0,0
Cuba,Kyrgyzstan,66,3,1
Cuba,Cameroon,1,1,0
Cuba,"Tanzania, United Republic of",0,1,97
Cuba,Fiji,,2,1
Cuba,Suriname,129,,
Cuba,Mongolia,3,,3
Cuba,Botswana,0,85,0
Cuba,Brunei Darussalam,4,0,0
Cuba,Sri Lanka,74,0,0
Cuba,Benin,0,17,0
Cuba,Gabon,6,0,12
Cuba,Greenland,0,0,1
Cuba,Kenya,0,1,4
Cuba,Mali,0,5,0
Cuba,Mozambique,146,7,0
Cuba,Saint Kitts and Nevis,19,38,0
Cuba,Saint Vincent and the Grenadines,0,0,0
Cuba,Sao Tome and Principe,3,0,0
Cuba,Zimbabwe,0,0,0
Cuba,Togo,52,9,12
Cuba,Burkina Faso,33,28,0
Cuba,Zambia,0,0,0
Cuba,Nepal,,,43
Cuba,Eritrea,,,1
Cuba,Nigeria,252,12,143
Cuba,Anguilla,1,13,1
