Exporters,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
China,194055,284001,430770,778360,1230719,1252460,1209615,885361,1529870,1868466,2922309,3445410,3247689,2669946,2537682,2323499,2233307,2290951,2216944,2592369
United States of America,302667,455636,137268,167635,301581,275975,773160,689891,1274672,688508,1668976,1555249,826095,877154,1308202,1010789,910939,575132,1094371,1210865
France,43125,84892,85186,82910,113994,140041,152017,197060,104197,238315,135115,252133,476759,939721,727428,784446,528190,478531,332432,365193
Türkiye,77719,109378,91949,145964,163777,229030,174843,275492,394619,371207,336140,383596,404420,338514,320870,380905,231386,354348,334624,307074
Belgium,26695,48373,64131,103498,88288,68034,74906,180088,271068,225485,270132,213805,195414,169867,177078,232997,235413,227494,333850,206303
Italy,111425,182327,193717,246131,269097,211648,194882,283190,338410,362003,349630,340202,359118,313049,275639,228615,219133,208544,188997,196858
United Kingdom,64930,57489,70316,110331,99205,121009,124430,227876,163949,154394,178008,279250,245491,310341,364321,620173,368948,570010,423030,195764
Germany,77554,136417,157649,162741,168295,180897,188397,173114,218680,242790,319897,335870,380886,370256,297694,344070,268854,179736,148291,186997
Netherlands,66936,51183,43918,51739,51883,76235,79648,71504,116737,133955,113280,91057,134877,184192,271780,267067,291739,111130,157185,170225
"Hong Kong, China",2971,3801,4466,5497,10084,3448,15102,26134,46798,24707,49877,200023,141700,213459,159372,202054,417423,253452,135966,132335
Singapore,7448,8593,8308,16025,9603,6737,5593,7065,3760,9644,11812,20740,23195,46400,209321,89895,109276,27312,34732,100571
Malaysia,8876,8472,12506,12746,16671,19483,25002,84373,79668,73458,58456,88303,113383,154810,136918,57077,31695,44243,66326,80294
"Korea, Republic of",19086,35655,63012,73248,93975,79823,50499,106904,107911,94095,154698,113482,96911,113694,104921,92248,111385,140350,62988,80274
Japan,88414,76469,113820,124633,85445,70349,86808,78461,130749,108592,110426,126297,102562,113464,46830,84590,84377,70990,66225,46296
Spain,12528,21733,65733,50715,32532,41288,66577,55056,132275,63978,65812,102966,92776,93825,42988,50845,50476,43882,26489,44181
Thailand,11753,22021,29972,59445,19884,32522,61920,72083,64290,57272,57369,49421,46548,49320,44283,53678,53971,43084,38080,37686
Ireland,7690,7790,7694,9290,12319,12843,27678,22751,18832,26474,24468,32035,34383,38271,36398,41075,29157,27729,30100,37357
Ukraine,22232,39738,25417,94311,42608,43583,65868,91517,133454,160400,133676,138047,124399,109784,93420,170326,140068,278453,54303,34676
South Africa,37559,25555,33959,34019,46263,37166,37242,37925,70372,79077,68048,81359,70296,65733,122104,64374,47369,47580,31485,30904
Denmark,13083,11040,6572,10009,6729,13612,8330,10233,13953,17823,29230,21771,17272,16383,19569,19042,23436,29896,29843,28426
Brazil,22839,35387,54554,37409,32824,46937,48421,34235,55184,62750,20643,21962,13647,30260,25789,16584,11567,11752,28713,23598
Switzerland,12935,20744,22109,24347,26468,27166,28751,27282,30564,35369,42052,47780,56510,47821,24551,42672,64123,43348,17192,21962
Sweden,28809,71298,24137,41786,20892,14196,36976,28295,31780,32816,35840,159896,51162,23342,18857,18732,23387,11626,23758,21744
Canada,11655,22377,13565,15112,52472,10143,168427,17316,121311,20615,123823,25941,62125,67682,100625,115759,126659,66932,68993,19013
Romania,492,2041,724,404,71255,35079,2463,1045,1098,13614,27712,24795,80116,38299,59662,64381,8332,54466,24964,18760
Czech Republic,2218,4099,3316,16213,13145,13640,4088,6021,5555,5353,28486,14851,22001,17199,15239,16037,18908,11154,10964,17129
Madagascar,18,15,1,359,117,23,860,76,10,16,3,78,48,712,3226,4139,1709,2103,11323,12585
Austria,6625,6985,7060,19827,23878,13310,8319,16868,32213,12141,9948,14659,21997,17505,11811,18570,16810,13068,12906,11985
Poland,4470,3882,5079,3553,2346,5352,5339,3155,10813,17491,36285,52879,59947,21547,20316,15311,25453,12092,13166,9274
Greece,5278,9852,5112,8323,6531,4957,5454,8489,6814,8318,10838,21290,15950,12763,5364,6967,6746,13713,10187,8539
Hungary,2096,977,1451,1351,1005,1522,3345,6057,10652,13176,8112,24166,22614,11052,12365,14624,10244,12751,6128,7608
"Taipei, Chinese",2401,2515,4164,4555,4932,4914,4208,3737,11893,19490,25759,23247,23653,25583,22555,16807,14172,9874,8072,6703
Portugal,337,1155,994,1878,12413,4149,3064,3662,2439,7748,5251,12400,10119,9598,13948,10106,5953,6101,3316,5507
Cyprus,1941,2471,2671,3699,4168,3531,5165,5229,7158,10256,7625,4189,5541,5499,5494,7120,5310,9218,3714,4195
Norway,1854,5395,1991,3884,4044,2065,2845,2341,2595,2288,3816,2550,2496,2238,2854,5331,1695,2433,2522,4032
Luxembourg,461,1259,2313,1501,2274,15576,644,3039,889,2033,11409,518,3152,0,1578,3710,1242,2256,11415,3474
Slovakia,4247,9573,6761,3395,3145,1899,2147,4488,5486,2982,3145,1876,6869,5520,774,2169,2130,1320,2051,3308
Croatia,1721,259,179,231,23,119,127,59,226,2055,4078,8664,8056,14275,3677,10627,8069,5777,2330,2797
Slovenia,2900,5028,1164,606,294,277,574,592,680,458,1006,864,3238,2109,4363,4632,2564,2117,1877,2697
Bulgaria,909,363,1368,1093,5961,1293,31148,19286,5011,7198,6659,29950,13752,12895,12012,9479,1113,15984,1550,2659
Finland,30721,12636,15460,10465,8122,4241,1933,8492,6694,14281,2656,7474,28050,19869,4806,5047,2667,2185,13563,2093
Serbia,,,2,2,3,3852,8703,5046,11390,3530,1383,740,612,660,735,397,234,297,121,1204
Estonia,209,222,76,1310,2114,16,49,5722,192,51,98,136,248,74,685,505,1176,729,749,1051
