reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Faroe Islands,Denmark,299814,303748,361090,463127,458863,350132,407358,432820,453816,488455,468029,435606,486382,594002,635318,654444,582951,653503,666839,664335
Faroe Islands,Netherlands,8566,5575,21387,14972,10311,7579,7029,19648,10384,22124,25088,45390,16229,25257,47731,71017,79493,138379,177113,203481
Faroe Islands,Norway,105936,130942,141821,194825,182345,132578,149509,241557,327495,281186,293053,99138,84020,114423,90185,89578,84366,127183,161786,163025
Faroe Islands,Türkiye,546,413,479,574,308,257,165,203,343,480,103,121317,222,265,672,246,752,625,57651,123517
Faroe Islands,Germany,9621,54664,16882,31392,28694,13411,14506,21323,96088,41352,53015,42554,98266,59265,88040,142544,69191,70814,84099,52834
Faroe Islands,Sweden,24399,25989,29522,45562,57894,30740,45320,30032,32204,28553,41491,30340,27615,31184,38109,36007,35541,46051,43561,44567
Faroe Islands,Iceland,27976,33029,41104,33975,39149,25778,26724,33080,54226,51081,44867,31320,51068,33619,59996,36471,56065,46382,59869,42297
Faroe Islands,Poland,12609,232,2214,4034,426,416,4646,5160,1775,4358,11099,7509,35051,39938,37443,20104,35887,39229,23975,37323
Faroe Islands,Belgium,1471,2009,3341,3833,6889,3750,2048,5243,5411,4226,11148,3538,3370,5997,4758,14126,41466,70572,89099,30963
Faroe Islands,United Kingdom,12435,12185,21234,44144,38138,21645,31113,20107,19981,17178,19543,14795,13048,14526,40355,31907,37161,21514,18511,27727
Faroe Islands,Lithuania,10122,290,1348,1668,3313,2233,2949,2620,3260,2334,3322,4082,5558,6778,10031,22649,19814,18698,18672,23019
Faroe Islands,France,1430,1074,1621,1726,1602,866,566,1089,1942,1188,2533,1775,1864,5560,4326,759,74578,1735,1312,12231
Faroe Islands,Italy,6416,1421,10434,2377,17436,1154,1981,1117,1937,1288,1988,14633,17101,4589,4498,4320,4424,3716,3591,5268
Faroe Islands,Czech Republic,89,457,205,420,457,696,570,709,1189,2071,2264,1336,2041,2074,2510,2899,3020,2830,3230,4172
Faroe Islands,United States of America,9286,2528,3969,2800,14340,9870,2130,3561,1627,2454,2361,2337,2582,2035,2409,3170,2793,3038,1553,3213
Faroe Islands,Austria,446,429,2555,3269,1563,608,422,618,374,668,1075,953,1612,1379,1144,937,1137,1601,2107,3054
Faroe Islands,Latvia,71,136,221,339,881,128,336,4416,357,504,1338,1878,2005,2130,2183,4293,3931,6352,4560,2988
Faroe Islands,Portugal,2412,3741,2745,2795,3067,1487,1776,2664,2422,2943,3405,3717,2845,2001,1900,1542,1497,2248,4583,2888
Faroe Islands,Finland,2998,1521,1560,3603,4496,2255,3027,2422,2341,6160,4131,4962,3080,11899,5686,17621,2159,4816,5961,2726
Faroe Islands,Spain,887,51198,1265,8673,3606,2149,1603,2356,2373,2825,5017,1943,2068,1984,3584,2065,2223,3365,4436,2502
Faroe Islands,Slovenia,0,0,1,0,79,146,212,167,875,451,659,388,744,389,597,669,651,893,1601,2147
Faroe Islands,Ireland,5640,328,339,180,142,188,768,428,472,261,309,669,153,453,278,244,812,688,438,1446
Faroe Islands,New Zealand,1241,1599,1673,2307,3129,2147,2648,4042,3597,3503,3565,3015,3217,3200,3112,2774,3243,2379,423,1209
Faroe Islands,Switzerland,287,8685,1085,8168,1177,673,538,924,1047,406,485,473,388,553,1144,584,524,1023,1157,1129
Faroe Islands,Estonia,691,756,722,2150,2179,813,1525,297,1374,1599,713,668,681,3225,1282,1269,2154,605,1043,776
Faroe Islands,Greece,18,5,9,11,39,0,0,9,0,277,15,1,248,107,55,343,127,500,683,699
Faroe Islands,Serbia,,,0,0,0,1,2,1,0,0,0,381,376,287,404,2285,0,415,325,568
Faroe Islands,Luxembourg,78,25,125,634,12,8,14,0,0,4,57,88,67,0,312,781,319,1061,118,389
Faroe Islands,Canada,1601,1991,2144,1731,1826,917,462,548,599,434,1301,463,799,243,385,322,398,392,668,298
Faroe Islands,Romania,44,44,5,240,169,106,377,671,984,1074,858,1296,64,518,112,73,117,317,258,262
Faroe Islands,Hungary,4,0,22,12,0,0,0,4,5,17,320,1924,128,384,259,256,166,161,142,197
Faroe Islands,Singapore,0,0,0,0,0,0,0,0,1027,17,567,1771,1008,896,12,244,829,67,10,149
