reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
France,Germany,64886762,66712113,78032709,88900117,93180436,74210528,80236673,91466126,81711208,84194176,88574293,73935687,72652093,72570697,76813927,73968958,64275219,73092757,73654132,74354919
France,United States of America,32409880,34765549,38082574,42492266,44886714,34582355,38982184,40804611,42533570,46540391,47750027,48873887,47770563,50054586,53634266,58648522,43803792,51501811,59106519,58927206
France,Belgium,35094866,36228691,39081974,45860932,51838328,40908298,43233178,49334110,44602268,46059243,45218602,35669078,35921284,39000307,42973432,41727989,38998305,48676549,57436119,56096037
France,Italy,38599817,38092935,41106409,46662065,48347548,36756081,42501051,46518100,40615045,40512971,40912571,35686743,36249047,39622640,43291591,38992513,35737238,46207856,50712776,50105394
France,Spain,39192651,40840968,42105963,48050273,46500144,33663705,34509760,39759285,35170243,36264476,38888744,33340966,34239347,37701380,40958309,37407363,32583825,40391225,43049829,48689041
France,United Kingdom,37904205,38823135,44720572,45330932,45021986,33934945,37227452,39439263,37745972,40823512,43522747,38703822,35949857,36458563,37854190,38915835,29691287,30701106,34876193,40502296
France,China,7654866,9016839,11288722,13351621,15644105,13031124,17116565,22078793,24124460,23119289,27074420,24989088,22562513,27079913,32330186,32591682,29712268,39126640,35579424,37376147
France,Netherlands,15417085,15921147,17922369,20598848,24876047,18954636,19137119,23351816,22398551,22789575,22978868,18072491,16535828,17989424,19531657,19064965,17023253,22031365,25259267,23381770
France,Switzerland,12292290,13401274,15575250,17547573,18261169,16930882,14992674,17937075,24267756,21264185,18136405,17031505,16638870,18212138,20171776,18945089,17371001,19436840,23328263,21645777
France,Ireland,3686312,3927280,4841892,7447107,6221974,5892702,5297079,6020561,7906582,6847475,9986955,9627299,11027030,14861010,13130444,15296319,11314831,12265271,13782252,18627276
France,Poland,5924085,6094739,6883600,8380469,9946829,6892824,7503654,8725388,7499965,7814893,8068018,7057204,7344838,8396351,9769844,8935241,8788540,11240695,10805479,14194406
France,Singapore,4159456,3811264,5373502,6186279,7891264,8410122,7442244,8490571,9128827,8100208,8103430,7306687,8558948,8938365,11438965,12167788,10224773,11530140,12844243,13796926
France,Türkiye,6201347,5887816,7239950,7849709,9022015,7091795,8176600,9229558,8589896,8650205,8584304,7597687,7364555,8070897,7413025,6760052,6988092,7931527,9429822,11545477
France,Japan,8356790,8528451,8984657,10050954,10642732,9160757,10300605,11853276,12838171,11669664,11469357,9479489,10238380,10406383,11050612,12047297,9246796,11664860,10180418,10588215
France,"Korea, Republic of",2492144,2767483,3244608,4051488,4885112,4013561,4289205,6319790,4927663,6015771,6825087,6162170,5847415,5752466,5873124,5839543,5886930,6643007,7706417,8069070
France,Portugal,5318685,5532335,6000465,7124238,7633032,5982242,5589804,5581717,4773466,5092558,5552049,4954536,5234801,5770487,7292741,8789598,5809187,6593957,7032428,7888227
France,Sweden,5619320,5690584,6023997,7537628,8525547,6075387,6814025,7983845,6902244,6385015,7183677,5922858,5717093,6018350,6310356,5992761,5656559,7109690,6497313,7185913
France,France,5157211,5000066,5344874,6681094,7133680,6600057,7110451,8223974,6358068,6374186,6549220,5253184,5194452,5742697,5703811,6023814,5372866,6259956,7944112,7009729
France,"Hong Kong, China",2395006,2530747,2671960,2978861,3254104,3053750,3878392,5367859,6007306,6381310,5689246,4975480,5355147,6382024,6777377,6693997,5725210,5410700,5724901,6984029
France,Czech Republic,3181926,3468969,4463305,5357723,5784067,4055562,4151365,4911601,4410729,4621360,4924351,4287348,4523738,5117456,6019517,5549980,4988794,6065470,6494496,6768205
France,Canada,4107773,4126280,4554663,4751037,5701051,4950578,5277691,5605036,5020415,5227989,5390799,5307171,4479347,4774775,5554769,6641952,4835513,5669233,5972922,6400881
France,Romania,2316803,2729887,3372568,4484477,4747047,3357919,3674360,4403627,3983108,4209636,4419815,3905156,4135602,4520401,4993490,4749916,4255037,4901951,5155453,5640645
France,Brazil,2365396,2775645,2922911,3636650,4893921,3739784,4981582,5688182,6098164,6710398,5877875,4463343,3682388,3726936,3947522,3474413,4156555,4819321,4966371,5507831
France,Austria,4448732,4844589,4998626,5019937,5427395,4235187,4285709,5232255,4716811,4871940,4733502,3936409,4004212,4408292,5035586,4687856,4253863,5322737,5372418,5397307
France,Hungary,2776299,3259322,3672134,4133376,4729529,3384456,3237860,3693345,3404552,3767308,4938424,4575680,3963024,4198134,4375868,4218213,4276368,4379904,4517387,5053025
France,Australia,3356616,3928617,3212764,4068884,4382431,3321695,3641157,3867854,3935745,3863787,3816007,3277966,3359268,3668267,3974555,4219288,4007542,4432084,4520730,4896892
France,"Taipei, Chinese",2106128,2554840,2228180,2386669,2291093,1787423,2252668,2737341,2967408,2658692,2713691,2660541,3022333,3909350,3705754,3232461,2983697,3541453,3944495,4286956
France,Greece,3382083,3145904,3777125,4222237,4863052,3832062,3235846,3292171,2688495,2853278,2815091,2099481,2075547,2329320,2489928,2588555,2357610,3057429,3477612,3927237
France,Slovakia,1081848,1118547,1408903,2203648,2905947,2368741,2337408,2414280,2179546,2302129,2447929,2301418,2253656,2623019,2909822,3271846,3342217,3711549,3582650,3826269
France,Denmark,3066683,3182972,3755115,3977573,4013617,2744649,2685479,3132984,2741919,2856295,3045204,2607777,2601835,2842214,3054168,2912375,2950512,3574133,3512398,3492249
France,Thailand,1045971,1875831,1477381,1301960,1507824,1853189,1445593,2185810,3217914,4160107,2438143,2726514,2818268,3498759,3798273,3082419,2253794,2477189,2405027,3318904
France,Luxembourg,2331278,2086164,2250020,2596980,3465431,2361783,3035299,3267064,3157604,3139782,3371481,2295985,2202934,2500321,2883245,2688946,2242139,3121750,2797674,2804731
France,Norway,2030533,2203496,2527058,2916028,3205185,2475548,2762905,2950816,2831209,3004359,3071428,2513942,2396870,2526749,2842453,2839088,2549652,2838163,2998802,2752164
France,Malaysia,1456489,1489017,2101114,2247315,2266579,2009712,1950104,3475161,4215101,4274415,3812988,2215066,2292661,3004298,4123184,2622488,1488419,1678504,2199810,2334463
France,South Africa,2890133,2419257,2495441,2680269,2502565,1993185,2440196,2770206,2480165,2324795,2230826,1934066,2257351,2112013,2078534,1998012,1560812,1966399,2103428,2122614
France,Colombia,289997,386102,429735,541187,928788,1514311,1182124,1819195,1154134,1446171,1853550,1918695,828751,949447,1172906,1334400,958543,1474846,2459802,2074163
France,Finland,2352819,2083178,2255084,2884058,3098761,2734048,2670804,2482158,2301776,2537242,2428355,2263989,2411682,2620034,2309021,2357784,2157270,2091627,2040625,2011004
France,Ukraine,652022,799138,990611,1331837,1683877,973504,1108769,1504474,1667216,1730584,1267296,893119,1530592,1563889,1480705,1652959,1468042,1765532,1232001,1759941
France,Lithuania,396818,434823,611978,856130,891212,457609,602333,737439,724702,967495,977162,828304,937341,1173893,1234155,1167107,1104118,1416009,1424220,1564865
France,Bulgaria,765037,851388,955251,1129049,1348809,922846,833047,1055663,958779,1018944,1052550,923330,911545,986500,1039713,1132145,1011503,1219358,1263200,1434758
France,Slovenia,1470256,1436499,1433583,1649983,1791215,1306584,1431802,1393415,1164718,1251701,1157786,984730,1078184,1356543,1532809,1338445,1113461,1366318,1571768,1390200
France,Chile,557128,740604,770461,946360,1080428,744802,820074,1043658,1121995,1182253,1078296,1014573,1141145,1235764,1358011,1360797,912424,1245140,1388158,1197593
France,Croatia,731935,777459,849716,932491,1000655,631763,543212,672197,649647,468249,531106,475741,529454,600400,729926,763913,683951,834912,936490,1148910
France,Serbia,,,342384,579861,741676,522232,481976,537142,516356,604637,575357,533262,576295,637494,720353,783802,728581,884464,1132975,1136087
France,New Zealand,689679,707165,505405,492377,570153,846596,430511,946519,744010,1004036,971507,969165,806924,707616,803829,795956,610249,922518,961913,1074831
France,Argentina,587249,712475,909114,1061117,1482781,811124,1529361,1521188,1591401,1739789,1423431,1450005,1447324,1344843,1110312,885267,781898,1002650,1039012,1049619
France,Malta,706678,361204,511556,580611,412045,299284,448295,520696,471234,375196,296849,259983,287216,259656,351591,516220,387954,472965,562598,630427
France,Latvia,162023,176761,280136,350539,365053,239567,269822,365500,295712,333198,340581,277968,270713,302579,326664,327015,309584,369751,410024,613621
France,Estonia,200261,294997,344754,430241,422706,304317,272799,346684,380404,457124,439891,341428,406555,489291,527146,526473,451775,554513,582723,417988
France,Peru,127513,146467,172202,183067,266815,205717,246880,302804,351324,372764,346798,362167,308675,333281,352527,329093,299247,325748,371507,392172
France,Madagascar,218016,249360,232842,265045,344652,329413,366159,343202,144984,160172,193680,172854,204636,247558,271590,261716,232107,247463,264836,295791
France,Bosnia and Herzegovina,93526,160706,142450,208100,263630,171200,185011,224936,211532,198896,221064,182523,201340,222201,241502,242283,194767,255913,266127,282515
France,Iceland,112285,169241,240574,191095,145707,69838,71596,89170,102187,125599,134533,134985,161501,188894,204131,157564,156521,184248,257774,266007
France,Cyprus,359592,231798,298134,464547,433902,312647,435237,485904,434655,400949,394789,209141,314628,345315,223255,290986,172532,184405,203140,264300
France,Ecuador,68918,63637,70070,75821,89874,98692,89601,230428,163476,211293,240252,120361,132761,159481,228033,228783,167610,197927,221183,238639
France,Costa Rica,90872,157104,225187,196265,118104,76355,88758,90329,91924,95429,105797,120159,113778,129203,125216,123390,133649,138702,150389,159011
France,"Bolivia, Plurinational State of",22433,30951,31253,29585,57116,43044,87140,47685,61923,97000,188587,142111,163212,94909,169353,175870,65511,56800,65761,123194
France,Paraguay,25436,41602,40863,41673,52673,42883,65269,103041,88054,108447,125932,116652,86594,79309,95712,75856,72083,80053,122021,103620
France,El Salvador,67151,89611,66114,75640,68963,56681,48725,61263,34038,78939,63961,37013,34629,39065,22352,28227,43012,42223,86526,95636
France,Guatemala,63183,84791,68024,56383,54423,133561,63437,52393,69221,89654,78240,95322,75974,86925,87201,75141,56669,80371,165053,85401
France,Cabo Verde,10663,9914,14672,70846,15120,11348,14315,17884,12605,11615,15428,15918,10152,30029,20361,15381,10584,30745,15974,37335
France,Belize,768,793,977,783,2629,2779,836,681,1316,1319,825,1118,1061,978,1514,953,1218,3145,4720,2836
France,Cayman Islands,,,,,,,,,,,,,,,,,1951,8206,,
France,Liberia,,,,,,,,,,,,,,8373,12738,6439,21773,12887,11864,
France,Uzbekistan,,,,,,,,,,,,,,102755,110454,134745,129396,256678,266028,
France,Curaçao,,,,,,,,,,,,,,7656,10094,13106,6052,,,
France,"Congo, Democratic Republic of the",,,,,,,,,,,,295431,275214,131884,139533,368168,103972,208322,213089,
France,Tajikistan,,,,,,,,,,,12668,16001,12727,4447,16779,5587,6609,18972,66435,
France,Sierra Leone,,,,,,,,,,,35826,20646,23025,36317,16944,,,,,
France,Iraq,,,,,,,,,,,746900,,,,,,,,,
France,Haiti,,,,,,,,,,75778,85006,60533,58104,48715,,,,,,
France,Palau,,,,,,,,,50,,138,260,135,87,232,,,,,
France,Bermuda,,,,,,,,,7688,5896,7612,8909,8420,12071,9167,10171,7900,9761,11430,
France,Sudan,,,,,,,,,64206,60569,87008,78522,104722,106184,82304,,,,,
France,Myanmar,,,,,,,26420,53285,16441,30070,34638,108097,78784,209732,221636,310079,110451,136769,58335,
France,Lao People's Democratic Republic,,,,,,,2455,45348,130849,6403,10060,8256,4523,16382,11081,13507,14230,32454,,
France,Nepal,,,,,,31223,29881,16501,26422,17206,19298,74511,66444,155801,293074,76049,72242,45267,63486,
France,Djibouti,,,,,,197545,,,,,,,,,,,,,,
France,Tonga,,,,,450,204,82,93,35,1716,98,,,1158,13,171,4061,138,45,
France,Afghanistan,,,,,2630,1785,3753,2147,18700,4190,3473,9767,5402,6664,7407,6606,,,,
France,"Libya, State of",,,,199705,256666,240850,882464,,,,,764179,194939,182422,233782,209958,,,,
France,Congo,,,,477580,363675,551247,534180,563126,603228,761433,635392,661187,675855,358645,402081,336828,278120,293002,349641,
France,"Palestine, State of",,,,23475,26514,38755,43519,52229,62381,51630,53558,66302,68163,79369,110246,88139,83679,94400,96299,
France,Vanuatu,,,6770,6264,,7323,6767,10003,,,,,,,,,,,,
France,Montenegro,,,50175,76284,91596,38370,35491,43551,28459,23269,37574,24850,46284,52617,52113,59268,44199,48580,74579,
France,Central African Republic,,,6505,48722,58524,47984,50627,68239,54841,31991,66449,96843,84568,109048,65973,67230,76546,48473,50805,
France,Nigeria,,,1028960,1245908,1331764,1962446,2587569,2873163,736963,1229408,1120588,812120,1385595,1043627,1048025,957324,1039477,1184080,1950435,
France,Antigua and Barbuda,,6557,,5296,,5422,4823,3874,4441,5222,6559,5700,3980,5681,9055,11944,6772,7255,9049,
France,United Arab Emirates,,2393404,,3100394,3835326,,,,5876946,4169927,4821958,4661971,4454562,6280180,6508627,6764002,4764440,6090134,7059856,
France,Kiribati,,80,,502,0,4579,12,19,21,36,55,614,134,98,32,,35,2,,
France,Lesotho,,0,313,257,250,305,1134,27,529,6831,2920,274,755,763,484,1358,3407,1923,4114,
France,Aruba,,12065,6728,7624,7675,7655,9096,16625,13953,14292,8890,1751,1619,0,0,0,0,0,0,
France,Bhutan,,3527,1777,729,2002,3564,4290,715,700,,,,,,,,,,,
France,Netherlands Antilles,,8767,5156,7701,10576,,,,,,,,,,,,,,,
France,Cook Islands,,68,,,,,,,,,,,,,,,,,,
France,Papua New Guinea,3625,,,,,,,44043,43975,,,,,,,8772,7340,5273,,
France,Turks and Caicos Islands,0,,,,,,,50,255,,,,,,,,,,,
France,Andorra,393336,,380286,361575,376794,305699,271853,281392,249926,248275,241684,205636,212426,205779,210397,186917,138474,167537,214092,
France,Kuwait,386029,,414498,574964,510030,559030,535881,556406,638395,749147,815771,634671,644371,672981,765745,780407,649305,721170,809438,
France,Timor-Leste,0,53,,,,,,,,457,,,,1792,3164,559,889,91,2065,
