reporter,partner,Imported value in 2001,Imported value in 2002,Imported value in 2003
Gambia,China,72507,81899,115968
Gambia,Senegal,26831,33646,42899
Gambia,Brazil,26549,22070,27174
Gambia,United Kingdom,26731,24769,31236
Gambia,Netherlands,21941,20981,24409
Gambia,United States of America,8365,9553,26651
Gambia,Côte d'Ivoire,12063,18078,15950
Gambia,Germany,11419,13603,14540
Gambia,Belgium,25281,17314,13279
Gambia,Malaysia,865,3586,8848
Gambia,India,13184,14357,12345
Gambia,Türkiye,3336,6122,10024
Gambia,France,18207,13700,14299
Gambia,"Hong Kong, China",15489,12087,12933
Gambia,Spain,6188,9315,10075
Gambia,South Africa,6884,2901,4186
Gambia,Italy,9470,10772,12688
Gambia,Morocco,3638,6356,6908
Gambia,Ukraine,185,1032,448
Gambia,Romania,72,620,691
Gambia,Thailand,7675,4808,3593
Gambia,Indonesia,5785,5966,5138
Gambia,Pakistan,,,2553
Gambia,Denmark,1854,1431,2372
Gambia,Papua New Guinea,0,51,16754
Gambia,Japan,4844,6030,4863
Gambia,Greece,152,29,1945
Gambia,Argentina,0,693,988
Gambia,Lebanon,962,988,6200
Gambia,Sweden,1003,1230,1586
Gambia,Syrian Arab Republic,0,0,4629
Gambia,Bulgaria,1941,306,773
Gambia,"Korea, Republic of",1933,1992,997
Gambia,Gabon,192,1021,2506
Gambia,Saudi Arabia,0,473,736
Gambia,"Taipei, Chinese",920,836,903
Gambia,Viet Nam,751,1887,845
Gambia,Egypt,1263,614,567
Gambia,Austria,1198,1484,838
Gambia,Switzerland,858,2722,789
Gambia,Ghana,957,,864
Gambia,Peru,15,0,308
Gambia,New Zealand,16,157,630
Gambia,Portugal,1041,416,507
Gambia,Ireland,755,490,637
Gambia,Poland,106,0,55
Gambia,Tunisia,520,917,516
Gambia,Sri Lanka,248,268,401
Gambia,Malta,0,380,343
Gambia,Bangladesh,46,15,27
Gambia,Botswana,0,0,6
Gambia,Kuwait,0,0,0
Gambia,Latvia,121,100,282
Gambia,"Tanzania, United Republic of",88,94,8
Gambia,Canada,360,364,257
Gambia,Australia,25,109,264
Gambia,Lithuania,0,40,163
Gambia,Colombia,38,89,575
Gambia,Kenya,16,19,93
Gambia,Czech Republic,109,50,99
Gambia,Norway,377,375,294
Gambia,Faroe Islands,0,0,0
Gambia,Malawi,672,80,26
Gambia,Mozambique,0,0,0
Gambia,Finland,103,100,61
Gambia,Cyprus,66,112,128
Gambia,Israel,8,0,82
Gambia,"Iran, Islamic Republic of",274,779,117
Gambia,Mauritius,0,0,0
Gambia,Togo,23,20,154
Gambia,Timor-Leste,,,
Gambia,Oman,0,0,22
Gambia,Slovenia,104,207,221
Gambia,Hungary,11,0,1
Gambia,Slovakia,249,0,11
Gambia,Guinea,346,33,
Gambia,Cameroon,0,60,1496
Gambia,Russian Federation,113,64,135
Gambia,Croatia,30,33,0
Gambia,Mexico,0,0,93
Gambia,Paraguay,0,0,0
Gambia,Mali,17,22,14
Gambia,Luxembourg,203,104,125
Gambia,Benin,0,0,55
Gambia,Trinidad and Tobago,28,101,46
Gambia,Yemen,,,
Gambia,Guinea-Bissau,,,0
Gambia,Cuba,5,20,21
Gambia,Estonia,0,13,0
Gambia,Chile,18,21,37
Gambia,"Bolivia, Plurinational State of",0,0,0
Gambia,Jordan,8,33,13
Gambia,Madagascar,31,0,0
Gambia,Barbados,6,13,4
Gambia,Ethiopia,0,0,7
Gambia,Namibia,40,0,11
Gambia,Fiji,,0,6
Gambia,El Salvador,0,0,0
Gambia,Niger,2,0,9
Gambia,Albania,0,0,1
Gambia,Algeria,0,0,3
Gambia,Belarus,0,0,23
Gambia,Mayotte,0,0,1
Gambia,Georgia,6,2446,0
Gambia,Iceland,0,5,0
Gambia,Philippines,0,3,0
Gambia,Rwanda,0,0,0
Gambia,Singapore,2266,4377,0
Gambia,Zimbabwe,0,7,0
Gambia,Uganda,50,2,0
Gambia,Burkina Faso,0,0,15
Gambia,Uruguay,102,336,32
Gambia,Zambia,1,0,3
