reporter,partner,Imported value in 2001,Imported value in 2002,Imported value in 2003
Germany,Netherlands,55260689,53348195,64216028
Germany,France,41519873,44216500,53413851
Germany,Belgium,34503388,40274021,49785378
Germany,Italy,35701139,34971601,41823073
Germany,United Kingdom,34086816,32876552,33577571
Germany,Austria,21635374,23407087,28383058
Germany,United States of America,29994488,26628846,28830851
Germany,Switzerland,17959243,18802418,21834884
Germany,Czech Republic,12736693,15442116,18025635
Germany,China,9751100,11371850,17442112
Germany,Poland,12377320,13209198,17241534
Germany,Spain,13763106,14463925,19147738
Germany,Japan,15619650,14122267,16422575
Germany,Hungary,10858885,12162077,14595414
Germany,Russian Federation,9194176,8059299,10419866
Germany,Sweden,8060570,8316936,10194615
Germany,Denmark,9166926,10012178,11182088
Germany,Norway,7176747,7562017,8841505
Germany,Türkiye,5366680,5868813,7484931
Germany,"Korea, Republic of",4321707,4287141,5603319
Germany,Ireland,10458368,6385806,7821542
Germany,"Hong Kong, China",6625020,6261555,7219006
Germany,Slovakia,3423690,3764264,6770164
Germany,Finland,5331358,5123508,6217676
Germany,Singapore,4294859,4057335,4378243
Germany,Portugal,4573947,4565464,4704371
Germany,"Taipei, Chinese",4480220,3844504,4200487
Germany,Brazil,2498271,2532480,3126041
Germany,Romania,1781128,2165526,2771025
Germany,Slovenia,2428163,2560895,2948346
Germany,South Africa,2357854,1883689,2439814
Germany,Luxembourg,1913347,2103989,2650502
Germany,Malaysia,2043722,2095744,2406638
Germany,India,1784763,2030031,2357426
Germany,Canada,1893282,1883499,2080686
Germany,Greece,1175166,1077319,1755196
Germany,Mexico,1500467,1155869,1714688
Germany,Ukraine,675400,735655,1423331
Germany,Thailand,1565695,1534904,1797409
Germany,Indonesia,1296979,1269876,1416768
Germany,Philippines,1323511,1386096,1218592
Germany,Bangladesh,574547,602018,1049604
Germany,Israel,1287851,1029867,1123447
Germany,Viet Nam,721797,729029,854714
Germany,Bulgaria,487854,548768,812088
Germany,Australia,752962,867382,831655
Germany,Lithuania,575780,567731,709493
Germany,Chile,546967,444259,622049
Germany,Croatia,689599,611736,733153
Germany,Tunisia,774634,782276,858030
Germany,Argentina,463769,631649,720761
Germany,Pakistan,,,608147
Germany,Latvia,333838,353933,428938
Germany,Iceland,300961,411896,414990
Germany,Belarus,241045,347941,421184
Germany,Estonia,248515,359755,469363
Germany,New Zealand,352488,421248,434124
