reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
Ghana,Switzerland,289362,233010,401772,536566,840073,1032412,108535,110295,1603600,1742071,1732234,1384747,2384264,1824582,1712303,2479938,3079567,2451622,3372088,3422661
Ghana,China,80383,96006,79678,53522,93400,79622,123382,363185,643548,1203330,1452597,1295794,1301207,1850413,2426140,2576406,1774499,1466777,2344008,1805922
Ghana,United States of America,159878,173469,209672,212119,241255,144379,282949,801198,305268,381268,285497,325957,335385,781165,613076,986493,759937,1778609,2836769,1738332
Ghana,Italy,89192,95496,88203,89981,91888,70551,87931,746889,1075518,870008,713929,382223,247172,184037,170666,339924,163137,340051,633316,747974
Ghana,Netherlands,292535,297949,303965,335453,586700,467206,533773,921973,750166,664847,791215,688544,883448,936979,1146072,846045,759732,737413,674476,659550
Ghana,Brazil,473,550,2609,4366,11561,19287,8479,29346,40377,67252,114822,33789,185065,185195,140115,31040,64651,119155,8646,430604
Ghana,France,181573,154795,161427,262775,294190,253821,321465,1868524,1215594,1141981,1012412,655857,320955,361049,532630,482895,347074,324538,322576,403482
Ghana,Türkiye,80602,73208,57468,41061,46453,102095,194358,292273,303476,176443,152234,168907,180478,128019,79300,102274,294085,119283,106047,363428
Ghana,United Kingdom,373534,257271,346171,398570,527804,421265,490662,573530,329765,394654,410475,308200,256365,238581,538165,353020,207802,182407,795209,352300
Ghana,Germany,113360,116495,157913,178618,140367,150776,180597,227542,508794,441714,176538,301425,310583,245231,462957,327925,341880,337579,449036,257381
Ghana,Belgium,117333,148391,160406,156208,126309,124180,229959,301898,228893,209329,251305,213749,272407,170994,136969,196067,235478,281448,268166,250906
Ghana,Portugal,10157,6839,9143,6002,9088,8413,8880,4719,8709,346872,170834,158397,65459,8545,88386,71368,7594,5594,9870,242567
Ghana,Malaysia,24717,49421,111778,117641,166238,96680,141581,210257,317380,139480,344190,283553,164715,211435,251679,176993,204733,465615,337176,227868
Ghana,Spain,68121,64065,182253,106066,103097,86946,121973,135245,106879,208713,131614,105988,97073,164407,406520,170874,203311,295798,244683,190052
Ghana,South Africa,9950,11614,12030,14060,15927,6863,11776,13863,233327,627996,654143,14584,13152,62791,667689,638726,473478,546520,124962,180260
Ghana,Japan,105469,76333,79856,126435,60937,122155,140025,175400,148339,100358,93917,121615,184995,192153,124138,122416,131311,132249,149244,141499
Ghana,Thailand,15652,6179,9175,17659,24556,21162,30068,38710,36417,18116,26728,29462,2999,10993,6921,86377,149595,274882,99229,98045
Ghana,"Taipei, Chinese",1918,1524,2692,3222,12529,4810,4437,3036,2950,216835,954003,111123,82613,49834,1972,1388,48545,2319,1325,79993
Ghana,Canada,23662,23990,47209,20092,32197,24093,20001,56037,20343,22201,21346,39025,50760,51827,59588,75850,78268,81858,71787,73823
Ghana,Sweden,1276,1469,9514,386,923,2507,9768,29619,2849,8920,6772,9558,4124,4286,9471,12329,1530,2769,1626,60846
Ghana,Poland,10018,10202,22144,24229,27278,20691,37595,53165,64855,63447,37717,38365,33325,22449,39679,47140,57452,57893,55408,48291
Ghana,"Hong Kong, China",718,1682,2231,6079,5980,2050,5995,9262,31733,140990,14323,2113,9428,7296,15742,122543,88502,46062,37393,45110
Ghana,Singapore,4606,8862,30476,53341,72935,20640,33760,60674,86911,78112,134856,117698,129316,107887,116926,116887,124670,108078,74758,39417
Ghana,"Korea, Republic of",6991,6909,15406,17801,15881,16577,21371,28273,31549,40707,37760,40089,30814,38337,31215,43910,36066,37134,37497,29171
Ghana,Ukraine,55485,55486,54701,222522,553047,218941,209396,280486,127097,105981,105455,104216,87897,132192,156179,197768,133557,128432,30761,21116
Ghana,Greece,21005,13519,12044,22485,20228,16477,20914,16693,9237,4498,3827,13798,3059,5912,17159,5766,7513,5128,15788,14825
Ghana,Bulgaria,801,431,389,509,1113,2528,4715,2691,1010,8083,23134,45165,36903,24119,7483,5556,6119,5763,10890,13025
Ghana,New Zealand,773,1310,1682,2563,3005,2904,3771,5509,5054,4251,5417,11367,7189,6014,7590,9407,10769,9859,8297,10792
Ghana,Australia,3681,5316,7814,7421,9152,4140,7623,7305,7305,6023,122456,6802,7532,6081,3484,20573,187215,195860,12229,9172
Ghana,Estonia,22150,25512,31312,22301,45410,92724,80152,101800,84234,93492,56631,65225,73478,91121,62450,25865,16200,23576,22087,8837
Ghana,Serbia,,,14677,15676,20590,18447,22876,20433,16511,17885,20369,15615,13218,9577,10239,6817,6555,6305,5808,6793
Ghana,Ireland,18901,39957,27278,36309,26615,25738,18484,16032,17402,6461,2975,2822,2528,7559,1874,3917,6631,9878,5425,6762
Ghana,Peru,15,63,3,466,186,190,248,643,1296,783,2621,471,44,23,1756,366,232,103,5846,6368
Ghana,Hungary,110,23,388,204,578,121,58,54,36,77,5499,56,89,49,221,683,574,246,1312,5406
Ghana,Norway,6548,7645,11055,13638,27713,5330,10755,16436,5174,5625,4536,6704,4878,5961,1296,4467,3561,1546,1749,3404
Ghana,Denmark,33680,8713,4017,4566,4303,2237,1437,7555,7595,10280,12966,8081,1181,10923,18700,11052,10046,3622,2411,2853
Ghana,Madagascar,174,79,9,37,31,2,0,49,1,6848,141,145,69,58,6,13,20,297,40,2263
Ghana,Cabo Verde,589,848,1339,706,1980,312,964,1039,2602,743,1093,1165,324,801,661,524,52,399,465,2169
Ghana,Czech Republic,2177,1771,2508,9069,3834,2607,7094,18822,16768,10110,3245,3454,3368,5654,7939,5935,2206,2820,3491,2133
Ghana,Romania,1664,2621,4295,1310,1145,924,2819,1467,24,133,17,877,133,169,27450,606,648,2470,4290,2089
Ghana,Lithuania,79,419,641,387,211,898,2469,91557,1940,1806,56,43,74,39,373,372,288,845,496,1748
Ghana,Luxembourg,3140,2451,2123,1369,1786,1869,1680,14,2667,416,2083,1732,125,61,151,251,375,245,151,1412
Ghana,Bosnia and Herzegovina,1300,1721,1725,2053,2017,1232,1548,1578,2207,968,3087,5154,5194,3252,1864,1292,1900,1896,1814,1023
Ghana,Austria,9040,10428,6778,3830,4556,20971,14894,37053,23739,20371,39008,60627,22360,4519,22174,20581,16325,28265,13436,984
Ghana,Colombia,114,10,49,11,1092,2,253,125,297,2773,1138,32,286,29,9325,2238,699,3501,3967,884
Ghana,Argentina,30793,16458,870,0,406,212,118,470,19,80,95,1,0,124,207,630,856,2174,2192,668
Ghana,Finland,3553,4535,2580,1146,2207,1630,2903,968,425,548,753,231,236,516,765,1553,1000,1187,1250,583
Ghana,Cyprus,237,220,245,208,127,197,352,105,198,129,44,90,59,109,90,50,24,157,151,556
Ghana,Iceland,66,262,182,478,385,156,80,115,104,568,42,759,60,331,541,728,390,469,402,544
Ghana,Latvia,14,486,2722,3327,3975,3529,3910,4796,3650,6017,6992,4908,1165,2222,1550,758,551,280,241,532
Ghana,Guatemala,0,2,0,46,323,234,0,196,50,0,634,118,522,109,458,555,47,354,314,305
Ghana,Croatia,13234,13275,10752,11068,12520,11308,12495,8617,6883,634,104,11,96,5,7435,427,179,164,126,281
Ghana,Ecuador,9,73,0,40,7,2,184,482,2,165,23,58,13,84,8,2,4,45,11,266
Ghana,Chile,129,15,32,88,223,0,8,25,1513,43,2520,63,110,147,187,100,128,58,359,172
Ghana,Slovenia,671,419,649,465,331,168,357,333,146,349,96,380,2025,542,4302,1238,2889,3170,1405,155
Ghana,El Salvador,0,4,0,0,1,3,0,0,47,2,0,19,0,9,1433,25,0,4,0,49
Ghana,Slovakia,238,183,1165,6555,1591,913,5202,10656,14889,10779,3525,2069,1900,3999,1639,3436,1594,3418,962,28
Ghana,Malta,264,426,730,400,738,565,465,221,302,127,417,1,12314,45,222,203,170,140,5,21
Ghana,"Bolivia, Plurinational State of",0,0,0,10,6,1,40,8,37,0,0,2,3,0,0,0,0,0,0,3
Ghana,Costa Rica,38,28,3,0,0,0,0,9,49,0,1,0,0,7,4,490,4,0,2,1
Ghana,Belize,0,0,0,0,0,0,0,0,0,3,95,0,16,0,0,0,0,0,0,0
Ghana,Paraguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0
Ghana,Cayman Islands,,,,,,,,,,,,,,,,,1,16,,
Ghana,Liberia,,,,,,,,,,,,,,4279,4553,8593,4658,13942,21906,
Ghana,Uzbekistan,,,,,,,,,,,,,,22,180,275,996,2104,3037,
Ghana,"Congo, Democratic Republic of the",,,,,,,,,,,,2786,6394,2144,1548,956,555,1212,2914,
Ghana,Tajikistan,,,,,,,,,,,2,0,0,1,40,23,26,0,0,
Ghana,Sierra Leone,,,,,,,,,,,5484,10948,7693,4067,5564,,,,,
Ghana,Haiti,,,,,,,,,,1610,575,16,0,8,,,,,,
Ghana,Bermuda,,,,,,,,,4,2,4,4,18,10,13,4,6,18,14,
Ghana,Sudan,,,,,,,,,91,179,154,33,10,408,30,,,,,
Ghana,Myanmar,,,,,,,0,0,0,0,0,3,19,1,2,0,0,0,0,
Ghana,Lao People's Democratic Republic,,,,,,,0,0,0,0,1158,0,0,0,0,127,0,0,,
Ghana,Nepal,,,,,,78,0,22,0,1,0,54,478,667,0,10,0,25,0,
Ghana,Djibouti,,,,,,56,,,,,,,,,,,,,,
Ghana,"Libya, State of",,,,128,385,338,174,,,,,0,0,29,16,1,,,,
Ghana,Congo,,,,37853,10433,14290,30134,59172,22488,742649,10877,3746,1956,82554,2976,33751,2165,2082,17591,
Ghana,"Palestine, State of",,,,14,0,38,117,130,149,92,198,279,139,185,210,45,84,113,134,
Ghana,Vanuatu,,,0,0,,1,1,0,,,,,,,,,,,,
Ghana,Montenegro,,,61,29,39,38,39,49,19,27,23,15,13,1,0,5,1,30,30,
Ghana,Central African Republic,,,0,327,243,0,86,291,267,139,1445,176,155,169,133,121,215,44,69,
Ghana,Nigeria,,,54471,70187,45165,26919,6562,512037,73176,276852,99000,66211,67205,54030,41887,59751,55356,50761,49461,
Ghana,Antigua and Barbuda,,5,,12,,8,5,11,16,3,6,47,1,2,5,0,1,1,2,
Ghana,United Arab Emirates,,14881,,44634,63962,,,,1996791,1950276,1339507,536853,2038060,783564,791773,1305719,1637109,1734436,4723057,
Ghana,Lesotho,,0,0,1,0,0,4,0,0,401,63,1,0,47,64,11,48,4680,349,
Ghana,Netherlands Antilles,,0,24,54,3,,,,,,,,,,,,,,,
Ghana,Papua New Guinea,132,,,,,,,695,5,,,,,,,1,1,1,,
Ghana,Andorra,0,,0,0,22,0,0,1,0,0,0,0,203,326,212,0,0,0,0,
Ghana,Kuwait,43,,74,215,1171,307,480,223,437,463,1117,608,1582,1472,1892,377,380,1128,1052,
Ghana,Timor-Leste,8,1,,,,,,,,0,,,,0,0,0,3,10,1,
Ghana,Guinea-Bissau,0,0,,,,,,,,21,69,133,222,139,38,,,,,
Ghana,Suriname,40,0,,0,,0,0,9,0,40,226,16,2,0,0,0,0,4,7,
Ghana,Mauritania,43,4,,61,275,91,11,3893,3474,5581,1335,1704,1192,186,314,889,115,149,2504,
Ghana,Togo,9769,7993,,28408,47714,39429,33446,43741,71865,95082,64096,59229,60993,66894,84146,117706,121673,72732,113534,
Ghana,Comoros,0,32,,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,,
Ghana,Cuba,0,0,0,,,,,,,,,,0,0,0,1,0,0,192,
Ghana,Seychelles,0,40,92,,162,8,188,54,866,3669,20,63,106,106,295,428,227,185,600,
Ghana,Mongolia,0,0,0,0,,,0,0,0,0,0,0,0,14,2,0,0,7,2,
Ghana,Angola,1520,120,138,6086,,25918,3296,10804,9986,7457,23819,4873,4882,2102,833,6226,3220,4364,11071,
Ghana,Saint Lucia,1,5,5,11,5,,,,0,0,0,0,26,0,0,1,0,,,
Ghana,Mali,27236,51114,46080,65296,55662,,74203,107434,100183,,,,84148,58466,65924,79147,84915,103220,111610,
Ghana,Grenada,0,0,0,0,0,,0,1,5,0,0,0,0,0,1,0,0,0,0,
Ghana,Bangladesh,556,199,1112,2346,5279,265,1476,276,1435,294,,5345,,,,,,,,
Ghana,Qatar,66,150,449,1022,519,1120,1138,1020,1504,1612,2258,1264,,887,1028,571,1307,1178,1149,
Ghana,Sri Lanka,77,91,1622,773,90,38,4339,20101,4799,4088,8,42,252,778,,646,514,570,64,
Ghana,Albania,7,50,27,37,52,5,0,27,0,27,149,60,177,112,96,291,34,20,64,
Ghana,Azerbaijan,0,0,3,0,0,0,0,0,65,2,0,0,203,29,6,39,0,24,17,
Ghana,Bahamas,0,0,0,0,0,0,0,0,0,0,5,3,29,7,15,1,2,27,2,
Ghana,Bahrain,0,0,0,0,0,0,73,93,25,762,115,156,239,353,295,258,192,67,145,
Ghana,Armenia,213,129,1568,2398,3146,1846,948,781,416,685,1332,1014,1008,709,700,416,92,465,992,
Ghana,Barbados,4,1,25,31,4,5,30,54,4,64,213,21,155,263,122,30,3,18,69,
Ghana,Botswana,103,211,81,140,135,149,109,156,46,2804,30,89,128,63,200,95,227,43,118,
Ghana,Brunei Darussalam,0,0,0,6,0,0,194,29,1,16,62,4,0,4,1,432,96,0,0,
Ghana,Burundi,13,0,12,76,2,25,1,34,51,19,116,7942,7,24,188,282,1,118,71,
Ghana,Cambodia,0,0,9,1,0,114,0,0,0,432,512,635,303,441,343,311,148,220,195,
Ghana,Benin,63918,64359,68457,8683,25703,3330,8224,12360,14603,25287,28508,20998,20047,21367,29125,51739,49177,41895,35062,
Ghana,Dominican Republic,102,0,43,766,6124,2674,455,463,21,110,36,477,440,309,1263,713,2867,17970,12730,
Ghana,Ethiopia,23,91,200,285,145,251,61,91,213,340,69,530,110,378,150,184,724,888,1420,
Ghana,Fiji,0,1,906,39,0,2,3,0,33,0,13,0,4,3,4,0,1,0,2,
Ghana,French Polynesia,8,41,4,15,22,10,175,90,55,60,32,36,45,50,16,11,13,15,14,
Ghana,Georgia,0,0,0,12569,28133,0,7001,21406,0,0,29,0,0,0,0,12,15,71,19,
Ghana,Gambia,496,282,306,496,390,692,1009,1006,568,611,624,382,2223,384,1123,603,481,448,715,
Ghana,Guyana,16,0,0,10,0,4,1,38,37,195,246,105,48,24,0,768,14,338,2,
Ghana,Indonesia,6598,3643,13320,5111,7404,34099,32850,25996,15698,25622,28718,22372,7549,13184,17916,64720,19156,49290,16858,
Ghana,"Iran, Islamic Republic of",202,51,0,3063,1350,3625,7660,11231,3129,0,0,7396,21956,52311,9522,10123,8808,7473,8174,
Ghana,Israel,987,1755,3348,3499,2003,1274,1464,1796,2842,1503,2825,1564,901,1906,4556,5188,2715,1431,1465,
Ghana,Côte d'Ivoire,12433,10046,30690,44178,47687,35870,15752,20616,67125,76919,67012,45036,53506,70747,93667,116019,159471,222033,174027,
Ghana,Jamaica,122,196,113,213,232,207,331,139,98,296,211,126,13,1512,5,9,2,1,303,
Ghana,Kazakhstan,8176,10064,13259,13683,17568,20142,19989,25396,26282,35029,38287,15692,28585,21976,21065,9485,24096,19846,25087,
Ghana,Jordan,166,341,239,277,524,120,543,228,805,1575,1587,648,971,1187,1401,1571,935,2412,1821,
Ghana,Kenya,0,406,1144,1085,142,410,1066,281,3016,2955,4195,1239,2023,1956,1846,1316,2155,4452,5928,
Ghana,Kyrgyzstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,
Ghana,Lebanon,4768,5433,4374,5429,7741,7154,7818,11662,50336,54037,10300,8154,125536,32221,103660,7456,1440,3119,3409,
Ghana,"Macao, China",1,0,0,0,6,4,0,1,1,0,0,0,1,2,0,0,1,21,89,
Ghana,Malawi,12,20,48,1,7,117,48,45,65,29,159,30,47,35,9,12,27,435,379,
Ghana,Maldives,0,0,0,0,1,0,0,0,2,0,0,0,3,23,7,15,9,109,38,
Ghana,Mauritius,30,1489,0,66,607,59,3,4,71,644,335,599,250,87,261,98,206,19,379,
Ghana,Mexico,1554,6229,2366,2695,1582,1357,5395,8309,1132,1003,524,1088,1810,1336,3685,2424,2277,2877,2376,
Ghana,"Moldova, Republic of",39,5,11,16,8,3,0,1122,199,13,1,1674,1622,2129,1781,37,36,14,15,
Ghana,Morocco,1861,1834,1543,3814,3617,6658,5749,38929,4596,23682,3435,3627,7374,5050,3564,5733,4945,5871,7486,
Ghana,Mozambique,6,6,72,5,38,12,15,78,134,2038,285,1224,417,255,393,2602,570,242,290,
Ghana,Oman,0,0,12,1,83,1,0,13,161,62,64,23,158,295,223,26,2906,172,55,
Ghana,Namibia,724,1238,1563,19,12,67,239,41,26446,8746,487,94,160,38,173,43,12,20,175,
Ghana,Nicaragua,0,1,0,0,0,0,0,38,0,0,0,1,0,1,25,0,0,0,3,
Ghana,Niger,11128,13216,14723,13641,17272,13197,17576,14883,25375,43303,61537,62988,52926,54516,72679,59945,68089,77532,61643,
Ghana,Pakistan,97,919,442,3423,905,915,1812,3096,3667,7846,4919,2345,3065,2257,3815,1462,2025,2550,3562,
Ghana,Panama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,
Ghana,Philippines,0,20,50,20,0,0,500,5,6,16,103,353,751,1788,790,1022,668,305,1091,
Ghana,Rwanda,0,5,218,141,609,934,799,67,250,387,72,36,193,744,169,67,443,349,190,
Ghana,Saint Vincent and the Grenadines,12,2,0,51,6,64,33,0,34,33,35,46,0,23,0,0,2,1,0,
