reporter,partner,Exported value in 2004,Exported value in 2005,Exported value in 2006,Exported value in 2007,Exported value in 2008,Exported value in 2009,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021,Exported value in 2022,Exported value in 2023
Guam,"Hong Kong, China",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2814,2165,1637
Guam,Canada,0,0,0,0,0,0,0,0,0,0,0,201,50,129,162,131,109,54,418,123
Guam,United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,631,13,961,40
Guam,France,0,0,0,0,0,0,0,0,0,0,128,320,62,1597,432,361,314,179,78,35
Guam,China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Guam,Germany,0,0,0,0,0,0,0,0,0,0,0,37,141,110,8,2,59,39,11,8
Guam,Guatemala,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,3
Guam,South Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,6,1,8,1,3
Guam,Ukraine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,48,0,0
Guam,Belgium,17,7,13,0,0,0,5,2,0,0,0,0,3,3,1,3,0,3,0,0
Guam,Chile,0,0,0,0,0,0,0,1,0,1,1,3,1,0,0,201,1,0,0,0
Guam,Costa Rica,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,10,0,0
Guam,Curaçao,,,,,,,,,,,,,,0,0,0,1,,,
Guam,"Palestine, State of",,,,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,
Guam,Nigeria,,,0,0,0,0,0,0,0,0,0,1,3,1,2,2,40,7,0,
Guam,Antigua and Barbuda,,0,,0,,0,0,0,0,0,0,0,19,22,1,1,0,0,0,
Guam,United Arab Emirates,,0,,0,0,,,,0,0,0,0,0,0,5,2,0,0,0,
Guam,Papua New Guinea,0,,,,,,,0,0,,,,,,,20,26,38,,
Guam,Kuwait,0,,0,0,0,2,0,0,0,0,0,4,2,17,0,0,0,15,0,
Guam,Timor-Leste,0,0,,,,,,,,0,,,,0,0,0,2,0,2,
Guam,Mongolia,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,5,
Guam,Mali,0,0,0,0,0,,0,0,0,,,,0,0,0,0,0,6,0,
Guam,Sri Lanka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,
Guam,Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,
Guam,Bahrain,0,0,0,0,0,0,0,0,0,0,0,4,91,8,45,4,279,2,0,
Guam,Brunei Darussalam,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Guam,Fiji,0,0,0,0,0,0,0,0,0,0,0,1,4,3,0,0,41,48,16,
Guam,Guyana,0,0,0,0,0,0,0,0,0,0,0,17,1,1,37,242,0,0,0,
Guam,Indonesia,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Guam,Côte d'Ivoire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,
Guam,Kazakhstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,
Guam,Lebanon,0,0,0,0,0,0,0,0,0,0,0,6,7,112,144,0,0,0,0,
Guam,Malawi,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,10,0,0,0,
Guam,Maldives,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,
Guam,Mauritius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
Guam,Pakistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,
Guam,Panama,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,
Guam,Saint Vincent and the Grenadines,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,
Guam,Saudi Arabia,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,9,0,37,
Guam,Trinidad and Tobago,0,0,0,0,8,44,0,0,0,0,0,0,17,0,0,0,0,4,0,
Guam,Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Guam,Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,11,0,0,
Guam,Russian Federation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Guam,Guinea,0,0,0,0,0,25,0,0,0,0,0,1,0,,,,,,,
