reporter,partner,Imported value in 2004,Imported value in 2005,Imported value in 2006,Imported value in 2007,Imported value in 2008,Imported value in 2009,Imported value in 2010,Imported value in 2011,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021,Imported value in 2022,Imported value in 2023
Kenya,China,348794,456915,621040,948149,1249333,1277439,1786303,2368775,2788762,3217481,4930627,5918049,5668583,5045166,5204944,5009266,5409543,6732052,8249079,7977277
Kenya,Malaysia,41383,51836,78302,101860,112516,63078,78938,96102,126787,279078,739660,368599,172688,242420,234956,362884,536731,1126655,1155225,1173249
Kenya,Japan,257832,250122,353706,552295,626633,535451,620843,626071,658614,914188,953460,926298,744263,763185,897752,854751,719834,1028196,971122,947320
Kenya,South Africa,449897,458705,471042,643258,709892,872405,780051,850114,719916,803488,719877,655753,559042,719223,760498,786785,454705,571799,541296,611847
Kenya,Netherlands,110363,153893,154599,178298,200252,374165,441067,279331,231805,303278,247046,313448,270497,347285,337442,324056,518343,684603,606082,577906
Kenya,United States of America,347523,573365,526014,584217,474374,654377,375349,461442,568584,635689,1640899,943454,397473,453959,365422,401300,372172,561643,599743,493662
Kenya,United Kingdom,342621,350572,398934,437571,360231,409724,398377,571596,611654,704041,672414,552487,418849,443197,513805,441577,334908,395107,380873,302853
Kenya,Germany,167202,191709,246289,286949,345508,283784,380169,353974,396373,404799,426583,406372,368332,345698,437043,392944,300293,296474,273348,289292
Kenya,"Korea, Republic of",61861,71039,204858,136742,156364,164653,232687,214947,262966,258044,344539,256533,162333,204895,239195,151137,220156,258444,456604,269981
Kenya,Türkiye,17837,50600,85419,98044,233052,70094,86360,199203,138001,150329,135697,131265,127906,152256,207789,230509,228005,329594,284184,263722
Kenya,Singapore,21653,40841,48620,48035,159056,105449,180156,170642,111277,273653,124288,80049,64889,51753,65724,120010,118880,152903,141577,260476
Kenya,Belgium,93217,99085,111155,159490,174651,133256,142444,217701,192679,163105,171248,166241,165063,150715,220931,152843,263294,295419,259129,223551
Kenya,Thailand,58819,65757,72250,105515,130632,122748,129574,190555,186162,208945,199835,154226,147746,227367,241586,221657,132529,205068,226468,192092
Kenya,France,133204,130051,134128,230787,229527,202158,213759,238161,302969,210591,204164,209488,169571,193256,198027,193526,170580,184634,181007,179465
Kenya,Italy,116457,111234,183829,200222,299697,186663,203352,175896,201194,240779,231039,225125,233374,205631,268739,232124,364312,191064,190617,148419
Kenya,Australia,29059,32477,42929,44138,53993,24919,34997,58215,46150,93898,77677,55340,49908,96252,59421,51743,53533,199635,167854,132719
Kenya,Brazil,20220,76321,47625,59149,78542,89430,121333,251005,289256,242318,56013,60675,58927,169501,124015,56941,46062,59881,68530,125849
Kenya,"Hong Kong, China",67404,65194,67974,82585,107324,119172,231767,145827,172267,160973,161451,212607,173157,210181,183526,177128,127148,105775,97925,98411
Kenya,Switzerland,23371,25798,42663,59340,54947,52014,50577,61434,73564,78825,91221,73303,94437,86445,102167,89457,91744,108127,103917,90376
Kenya,Finland,19745,13145,29531,58994,75860,26978,105352,20470,12629,32294,70701,23395,25771,18736,28811,45056,46869,64277,68721,88458
