reporter,partner,Imported value in 2001,Imported value in 2002,Imported value in 2003
Kiribati,Australia,17424,23000,19634
Kiribati,Fiji,,4394,4380
Kiribati,Japan,1807,7729,2702
Kiribati,New Zealand,1435,3141,4108
Kiribati,France,27,1528,788
Kiribati,United States of America,6025,3789,1333
Kiribati,Thailand,61,348,519
Kiribati,China,497,490,891
Kiribati,Germany,107,505,312
Kiribati,Philippines,0,0,0
Kiribati,Spain,13,13,352
Kiribati,"Taipei, Chinese",807,942,813
Kiribati,"Korea, Republic of",250,229,134
Kiribati,Malaysia,86,109,280
Kiribati,Papua New Guinea,3,30,218
Kiribati,India,125,352,172
Kiribati,Indonesia,395,259,146
Kiribati,"Hong Kong, China",319,246,274
Kiribati,Viet Nam,7,31,0
Kiribati,Denmark,668,176,224
Kiribati,Sweden,115,112,116
Kiribati,Ireland,0,0,0
Kiribati,Chile,106,250,448
Kiribati,United Kingdom,107,255,52
Kiribati,Canada,103,0,211
Kiribati,Brazil,0,0,32
Kiribati,New Caledonia,0,0,2
Kiribati,Albania,0,0,0
Kiribati,Poland,0,0,0
Kiribati,Kenya,0,0,0
Kiribati,Belgium,4,1,12
Kiribati,Solomon Islands,0,0,0
Kiribati,Netherlands,5,57,54
Kiribati,Luxembourg,29,0,1
Kiribati,Finland,0,1,0
Kiribati,Pakistan,,,2
Kiribati,Serbia and Montenegro,0,9,
Kiribati,Colombia,0,0,0
Kiribati,Switzerland,0,0,3
Kiribati,Cuba,0,0,0
Kiribati,Senegal,0,0,0
Kiribati,South Africa,4,7,0
Kiribati,Austria,0,11,234
Kiribati,Sri Lanka,11,13,0
Kiribati,Greece,4,449,0
Kiribati,Italy,383,68,112
Kiribati,Mexico,22,0,0
Kiribati,Peru,162,18,17
Kiribati,Singapore,173,736,0
Kiribati,Slovakia,0,57,0
Kiribati,Togo,9,0,0
Kiribati,Uganda,11,0,0
Kiribati,Samoa,0,22,18
Kiribati,Tonga,1,0,0
