reporter,partner,Imported value in 2001,Imported value in 2002,Imported value in 2003
"Korea, Rep.",Japan,25296856,28569755,34806426
"Korea, Rep.",China,12518778,15534561,20094765
"Korea, Rep.",United States of America,22180578,22575714,24072540
"Korea, Rep.","Hong Kong, China",3427761,4210894,5908679
"Korea, Rep.",Germany,3999004,5140213,6311880
"Korea, Rep.",Singapore,4686247,5208618,6058057
"Korea, Rep.",Australia,4925112,5431902,5267086
"Korea, Rep.","Taipei, Chinese",3275490,3871576,4568343
"Korea, Rep.",Indonesia,3772463,4107221,4323757
"Korea, Rep.",Malaysia,2935708,3110931,3039355
"Korea, Rep.",Qatar,2143847,1737072,2477744
"Korea, Rep.",United Kingdom,2129730,2379302,2412538
"Korea, Rep.",France,2121799,2250531,2247859
"Korea, Rep.",Italy,1810881,2035308,2281468
"Korea, Rep.",Russian Federation,1108095,1271152,1323618
"Korea, Rep.",Netherlands,984854,1184599,1487489
"Korea, Rep.",Thailand,1228788,1397993,1589648
"Korea, Rep.",Chile,596021,728323,1021316
"Korea, Rep.",Canada,1303315,1285401,1428880
"Korea, Rep.",Brazil,736309,845895,1222377
"Korea, Rep.",Switzerland,698926,901744,1005863
"Korea, Rep.",Philippines,1044382,1338788,1313535
"Korea, Rep.",Belgium,616194,716096,710110
"Korea, Rep.",India,457427,623122,663287
"Korea, Rep.",Oman,1996205,1886823,335
"Korea, Rep.",New Zealand,605276,637867,578016
"Korea, Rep.",Ireland,623269,604775,576254
"Korea, Rep.",Norway,365200,599844,495192
"Korea, Rep.",South Africa,479829,478077,580101
"Korea, Rep.",Brunei Darussalam,416038,417954,463723
"Korea, Rep.",Sweden,412301,508028,602048
"Korea, Rep.",Viet Nam,406082,468716,492125
"Korea, Rep.",Austria,274787,330995,381169
"Korea, Rep.",Denmark,273004,336357,337273
"Korea, Rep.",Saudi Arabia,62978,141915,329290
"Korea, Rep.",Spain,271145,349272,385411
"Korea, Rep.",Israel,322355,318120,286768
"Korea, Rep.",Finland,342994,338061,358166
"Korea, Rep.",Ukraine,130844,182269,182233
"Korea, Rep.",Argentina,396381,355446,434131
"Korea, Rep.",Peru,110592,168082,176344
"Korea, Rep.",Pakistan,,,206023
"Korea, Rep.",Egypt,50720,48657,96393
"Korea, Rep.",Kazakhstan,43400,48866,55494
"Korea, Rep.",Ecuador,238201,296081,241890
"Korea, Rep.",Yemen,,,
"Korea, Rep.",New Caledonia,17601,25495,60298
"Korea, Rep.","Iran, Islamic Republic of",61858,20813,42085
"Korea, Rep.",Mexico,208509,161846,181410
"Korea, Rep.",Hungary,36687,52989,39907
"Korea, Rep.",Dominican Republic,29869,29172,98345
"Korea, Rep.",Romania,40343,43766,75561
"Korea, Rep.",Colombia,43647,46576,75558
"Korea, Rep.",Türkiye,62364,54830,57928
"Korea, Rep.",Poland,25540,34781,54732
"Korea, Rep.",Syrian Arab Republic,56301,115978,62359
"Korea, Rep.",Czech Republic,47009,36901,38274
"Korea, Rep.","Bolivia, Plurinational State of",1845,3412,16952
"Korea, Rep.",Papua New Guinea,8849,15297,24996
"Korea, Rep.",Estonia,21668,28318,29730
"Korea, Rep.",Luxembourg,12737,15541,27201
"Korea, Rep.",Greece,33152,31257,74545
"Korea, Rep.",Algeria,88969,105859,134819
"Korea, Rep.",Bahrain,24239,42371,46774
"Korea, Rep.",Bangladesh,22113,19867,23856
"Korea, Rep.","Venezuela, Bolivarian Republic of",4568,16261,14596
"Korea, Rep.",Morocco,12083,29491,27110
"Korea, Rep.",Sudan (before 2012),77514,6657,19322
"Korea, Rep.",Portugal,16973,19622,25804
"Korea, Rep.",Guatemala,93955,85581,59526
"Korea, Rep.",Cambodia,1007,1452,1616
"Korea, Rep.",Malta,27874,28447,27164
"Korea, Rep.",Slovakia,5087,9723,12441
"Korea, Rep.",Lithuania,4060,29046,11649
"Korea, Rep.",Sri Lanka,28235,33172,27090
"Korea, Rep.",Slovenia,10800,14802,21990
"Korea, Rep.",Bulgaria,6267,10654,14340
"Korea, Rep.",Uruguay,5498,6206,6082
"Korea, Rep.",Solomon Islands,4323,111,5883
"Korea, Rep.",Lebanon,4785,7466,8539
"Korea, Rep.",Costa Rica,17141,16430,11310
"Korea, Rep.",Belarus,12305,9546,9801
"Korea, Rep.",Namibia,188,456,314
"Korea, Rep.",Mongolia,19972,,7472
"Korea, Rep.",Zimbabwe,22,2724,4677
"Korea, Rep.",Jordan,7195,7890,5545
"Korea, Rep.",Trinidad and Tobago,467,402,223
"Korea, Rep.",Ghana,2139,,2050
"Korea, Rep.",Latvia,536,1416,2511
"Korea, Rep.",Kuwait,330432,2165,3291
"Korea, Rep.",Côte d'Ivoire,2562,1359,5090
"Korea, Rep.",Iceland,3312,4449,2936
"Korea, Rep.","Macao, China",1732,3241,2713
"Korea, Rep.",Paraguay,817,133,145
"Korea, Rep.",Mali,24,311,12501
"Korea, Rep.",Azerbaijan,1189,1,966
"Korea, Rep.",Honduras,9176,3719,4292
"Korea, Rep.",Cuba,148,1373,1109
"Korea, Rep.",Gabon,89139,24574,93537
"Korea, Rep.",Angola,,,
"Korea, Rep.",Cyprus,442,940,430
"Korea, Rep.",Panama,360,50,136
"Korea, Rep.","Macedonia, North",4,40,117
"Korea, Rep.",Tunisia,2319,1046,1613
"Korea, Rep.",Croatia,1827,2725,2027
"Korea, Rep.",Uganda,267,18,839
"Korea, Rep.",Ethiopia,406,352,807
"Korea, Rep.",Malawi,18,1,1113
"Korea, Rep.",Senegal,4,0,5834
"Korea, Rep.",El Salvador,259,2757,1098
"Korea, Rep.",Nicaragua,0,2,1786
"Korea, Rep.",Mauritius,1502,7925,8490
"Korea, Rep.",Kenya,471,573,884
"Korea, Rep.",Guyana,9,6,105
"Korea, Rep.",Georgia,90,1542,340
