reporter,partner,Imported value in 2001,Imported value in 2002,Imported value in 2003
Andorra,Total,944487,1165626,1475024
Andorra,Spain,545379,741314,958827
Andorra,France,272279,296481,357322
Andorra,Germany,32480,34612,33517
Andorra,Italy,24410,24567,36176
Andorra,United Kingdom,24811,11035,15342
Andorra,Netherlands,6638,11204,15994
Andorra,United States of America,8234,10994,8191
Andorra,Austria,1338,2765,2703
Andorra,Belgium,5526,5297,5663
Andorra,Switzerland,6943,6899,7767
Andorra,Portugal,2632,2831,3090
Andorra,Japan,1567,1206,9719
Andorra,Cuba,2,0,1567
Andorra,Russian Federation,159,52,144
Andorra,China,173,275,868
Andorra,Honduras,0,52,4318
Andorra,Luxembourg,993,1204,988
Andorra,"Hong Kong, China",0,0,1149
Andorra,"Korea, Republic of",1877,3584,789
Andorra,Indonesia,77,513,2196
Andorra,Czech Republic,278,166,241
Andorra,Gabon,0,0,0
Andorra,Denmark,627,910,959
Andorra,Sweden,184,845,1023
Andorra,South Africa,303,1133,392
Andorra,"Taipei, Chinese",191,453,107
Andorra,Finland,579,429,208
Andorra,Norway,71,17,192
Andorra,Slovenia,151,159,265
Andorra,Colombia,204,172,101
Andorra,Ireland,786,626,411
Andorra,Türkiye,59,7,167
Andorra,Romania,34,222,242
Andorra,Peru,77,150,128
Andorra,Philippines,681,301,323
Andorra,Malta,24,0,0
Andorra,"Bolivia, Plurinational State of",0,2,0
Andorra,India,201,322,40
Andorra,Uruguay,0,56,195
Andorra,"Macedonia, North",7,1,379
Andorra,Tunisia,88,65,44
Andorra,Poland,398,435,0
Andorra,Thailand,297,416,60
Andorra,Lebanon,0,24,56
Andorra,Greece,15,11,27
Andorra,French Polynesia,21,28,20
Andorra,Slovakia,110,815,68
Andorra,Yemen,,,
Andorra,Argentina,0,59,48
Andorra,Malaysia,85,93,102
Andorra,Canada,111,95,148
Andorra,"Iran, Islamic Republic of",3,435,11
Andorra,Israel,7,1,1
Andorra,Zimbabwe,0,0,0
Andorra,Bangladesh,47,5,18
Andorra,Mauritania,0,0,126
Andorra,Namibia,4,1,103
Andorra,Côte d'Ivoire,0,0,0
Andorra,Brazil,27,8,40
Andorra,Mexico,0,23,2004
Andorra,Botswana,0,4,17
Andorra,Ukraine,54,15,45
Andorra,Uganda,0,2,47
Andorra,Albania,0,0,0
Andorra,Rwanda,0,0,0
Andorra,Cyprus,0,0,0
Andorra,Latvia,6,0,1
Andorra,Lithuania,0,0,0
Andorra,Sri Lanka,0,0,0
Andorra,Chile,161,0,0
Andorra,Bosnia and Herzegovina,,,15
Andorra,Fiji,,0,15
Andorra,Bulgaria,0,0,23
Andorra,Dominican Republic,15,90,64
Andorra,Ecuador,57,0,0
Andorra,Ethiopia,0,0,32
Andorra,Estonia,126,191,13
Andorra,Guyana,0,20,38
Andorra,Hungary,5,4,26
Andorra,Kazakhstan,7,0,0
Andorra,Kenya,3,4,0
Andorra,Malawi,0,18,0
Andorra,Mauritius,0,4,4
Andorra,Morocco,27,1,6
Andorra,Saint Vincent and the Grenadines,0,0,5
Andorra,Singapore,2591,1519,0
Andorra,Viet Nam,247,335,0
Andorra,"Tanzania, United Republic of",0,49,0
Andorra,"Venezuela, Bolivarian Republic of",0,0,79
Andorra,Samoa,0,0,0
Andorra,Nepal,,,15
